admin2Name,admin2Pcod,Year,ET,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,ET_7,Avg_ET,PET,PET_1,PET_2,PET_3,PET_4,PET_5,PET_6,PET_7,Avg_PET
Mueang Tak,TH6301,2012,142.09168957496303,89.1884753647706,105.77699302178053,104.33123281877778,105.97595686191583,122.9034891097484,82.39638401353353,52.87379995770778,100.69225259039968,142.09168957496303,125.32839923873972,110.2553816874604,112.07274265172344,105.97595686191583,127.4033410869106,96.94920702051176,92.46189469232397,114.06732660181862
Ban Tak,TH6302,2012,140.75536723163842,88.22508474576269,101.94866290018832,101.07137476459512,105.30824858757062,123.88105461393596,81.40112994350284,42.82644067796611,98.177170433145,140.75536723163842,124.1447834274953,109.7065536723164,111.02723163841809,105.30824858757062,126.3761581920904,95.75838041431264,91.81792843691149,113.11183145009416
Sam Ngao,TH6303,2012,140.9488417939872,75.31084277969443,84.57023164120257,84.93859043863971,106.95101034992608,124.03060620995564,81.63006407097092,47.44026614095614,93.22755667816658,140.9488417939872,126.78708723509116,111.47072449482503,112.78654509610648,106.95101034992608,126.6677673730902,94.97796944307542,90.86047313947758,113.9313023656974
Mae Ramat,TH6304,2012,130.41355882352943,109.43714705882354,96.69552941176472,100.17323529411767,97.97335294117649,119.14508823529414,75.83526470588237,43.64317647058824,96.66454411764704,130.41355882352943,112.1428823529412,96.69552941176472,100.17323529411767,97.97335294117649,122.95735294117648,94.4374117647059,93.5798235294118,106.04664338235295
Tha Song Yang,TH6305,2012,129.27636363636364,109.83454545454546,95.4818181818182,98.10181818181816,97.79272727272726,112.75636363636366,74.29454545454546,54.68363636363637,96.52772727272728,129.27636363636364,109.83454545454546,95.4818181818182,98.10181818181816,97.79272727272726,121.4090909090909,94.49818181818182,94.05818181818182,105.05659090909091
Mae Sot,TH6306,2012,129.6430325680726,109.34058996262682,94.53012546716498,97.8088093966898,96.2594634276562,122.8183529097704,78.72086225306995,55.68096636412174,98.10027529364656,129.6430325680726,109.60347036839296,94.53012546716498,97.8088093966898,96.2594634276562,123.26528296849972,96.7814602242392,94.7531900694074,105.33060431126536
Phop Phra,TH6307,2012,129.14258016405668,108.5228374347502,94.1921327367636,97.16588366890376,94.80119313944816,122.0383482475764,79.59226323639074,57.27384414615958,97.84113534675616,129.14258016405668,108.5228374347502,94.1921327367636,97.16588366890376,94.80119313944816,122.0383482475764,96.8478933631618,94.82367636092468,104.69181813944816
Umphang,TH6308,2012,131.2042643923241,108.31002132196164,94.46503198294243,97.8631130063966,94.76076759061834,122.80063965884864,81.34861407249467,57.82835820895523,98.5726012793177,131.2042643923241,108.9987206823028,94.46503198294243,97.8631130063966,94.76076759061834,122.80063965884864,97.46950959488274,94.9639658848614,105.31575159914712
Wang Chao,TH6309,2012,139.46687475614513,104.23472493172062,105.82891143191571,108.29543503706594,102.62996488490052,124.01603589543508,83.07592664845885,55.452009364026544,102.87498536870856,139.46687475614513,120.3099102614124,105.82891143191571,108.29543503706594,102.62996488490052,126.5456106125634,97.77491221225128,94.19496683573936,111.8808232539992
Mueang Loei,TH4201,2012,145.09470554926386,123.11803510758776,118.71820498301246,120.28094563986411,115.45164212910532,125.12010192525484,71.69204416761042,38.161325028312575,107.20462556625142,145.09470554926386,131.04306342015855,118.71820498301246,120.28094563986411,115.45164212910532,126.35300113250284,90.36534541336351,85.07669875424688,116.5479508776897
Na Duang,TH4202,2012,144.64674017257914,120.4813039309684,120.48130393096838,121.27056567593482,114.95057526366254,122.50949185043146,67.36164908916587,32.99194630872484,105.58669702780443,144.64674017257914,132.13302972195592,120.48130393096838,121.27056567593482,114.95057526366254,126.46869606903164,90.87468839884949,87.04827420901246,117.2342341802493
Chiang Khan,TH4203,2012,144.05019338203695,124.54297378599055,116.69119037387196,119.4067898581865,116.17752470992696,126.5155135367426,76.72883541039967,42.37902879243663,108.311506231199,144.05019338203695,129.8464546626558,116.69119037387196,119.4067898581865,116.17752470992696,126.5155135367426,90.31877954447788,83.38770949720673,115.79926944563816
Pak Chom,TH4204,2012,142.4,128.2,114.95000000000002,119.25,115.05,125.25,76.35,46.25,108.4625,142.4,128.2,114.95000000000002,119.25,115.05,125.25,90.35,83.65,114.88750000000002
Dan Sai,TH4205,2012,141.37014127529594,115.56006109201988,115.0622756777396,116.49194348988163,112.53455517373044,111.06349751813671,66.25563192058038,43.69091256204659,102.75362733867888,141.37014127529594,127.83757159221078,115.0622756777396,116.49194348988163,112.53455517373044,123.94440626193204,89.53547155402826,82.92974417716687,113.7132636502482
Na Haeo,TH4206,2012,142.45162241887903,113.82153392330385,115.85339233038349,117.1014749262537,113.39941002949853,111.552802359882,66.80619469026549,43.1377581120944,103.01552359882008,142.45162241887903,129.9755162241888,115.85339233038349,117.1014749262537,113.39941002949853,125.2693215339233,90.22005899705016,83.45014749262538,114.7151179941003
Phu Ruea,TH4207,2012,140.40507880910684,113.89159369527144,115.48879159369528,116.63476357267952,112.51033274956217,114.89404553415062,66.03581436077057,41.36059544658495,102.65262697022769,140.40507880910684,128.00936952714534,115.48879159369528,116.63476357267952,112.51033274956217,123.42924693520136,89.35166374781086,83.61348511383538,113.6803415061296
Tha Li,TH4208,2012,143.97821491485612,126.7758661186142,116.5155020551967,117.80792718731652,115.5958308866706,122.4602466236054,73.13875513799178,46.25531415149736,107.8159571344686,143.97821491485612,129.80140927774514,116.5155020551967,117.80792718731652,115.5958308866706,126.54521432765708,90.362184380505,82.66136230182032,115.40845566647094
Wang Saphung,TH4209,2012,147.81759209344116,117.60569631626235,120.21008086253372,121.48592991913748,115.7343216531896,117.26894878706202,65.22619946091645,33.92053908355796,104.9086635220126,147.81759209344116,132.4820485175202,120.23991015274036,121.48592991913748,115.7343216531896,127.6695058400719,90.51983827493262,87.0111410601977,117.8700359389039
Phu Kradueng,TH4210,2012,145.05800144822592,100.57461984069516,113.8816075307748,122.08247646632876,115.30702389572774,109.87371469949314,56.79163649529328,23.943627805937723,98.43908852280956,149.33392469225203,135.1279507603186,123.6499637943519,122.75474293989863,115.30702389572774,129.31513396089787,91.06708906589428,89.10973931933381,119.45819605358436
Phu Luang,TH4211,2012,147.92215758857748,116.43902696985722,119.78662083553677,120.67662612374409,115.21686938127976,115.17239555790589,64.37181385510313,37.67065044949762,104.65702009518776,147.92215758857748,132.09413008989952,119.78662083553677,120.67662612374409,115.21686938127976,127.47551560021157,91.29518773135908,86.59185616076152,117.6323704389212
Pha Khao,TH4212,2012,149.072939528368,106.3081951902872,114.76441746439414,122.816763950502,116.224165304693,110.18657483072614,58.19869250525335,21.212631333177683,99.8480475134252,149.15423768386646,135.2085687602148,123.12769087088492,122.88900303525573,116.224165304693,129.17347653513897,91.56231613355128,89.84718655148265,119.64833060938598
Erawan,TH4213,2012,147.1376315789474,115.26415204678364,120.30005847953218,122.1395614035088,115.46169590643277,115.7929239766082,62.908654970760246,28.333362573099414,103.41725511695908,147.1376315789474,132.9560233918129,121.31833333333334,122.1395614035088,115.46169590643277,127.47692982456142,91.09959064327488,88.11356725146202,118.21291666666669
Nong Hin,TH4214,2012,148.26995029371898,110.74500677812924,120.60126525079076,121.41089019430642,115.10451875282423,113.71296882060554,60.94957071848171,30.389109805693632,102.64791007681882,148.2702214188884,133.61839132399464,121.0679620424763,121.41089019430642,115.10451875282423,128.04821509263448,91.23497514685944,87.46854948034346,118.27796543154092
Mueang Satun,TH9101,2012,124.26281208935612,112.13561103810774,116.80473061760844,122.9329829172142,109.29737187910644,113.86491458607097,97.10210249671483,100.83561103810776,112.15451708278582,124.26281208935612,119.96438896189224,118.7324572930355,122.9329829172142,109.29737187910644,113.86491458607097,97.10210249671483,100.83561103810776,113.37408015768726
Khuan Don,TH9102,2012,126.61111111111111,112.07222222222222,115.75555555555556,125.07777777777775,110.35,115.5277777777778,97.58333333333334,101.90555555555557,113.11041666666668,126.61111111111111,121.9277777777778,120.12222222222223,125.07777777777775,110.35,115.5277777777778,97.58333333333334,101.90555555555557,114.88819444444444
Khuan Kalong,TH9103,2012,127.6614973262032,113.746294881589,117.70725744843396,126.8571428571429,111.08204736440034,116.28762414056531,98.56913674560734,103.368525592055,114.40994079449963,127.6614973262032,123.04797555385794,121.84576012223071,126.8571428571429,111.08204736440034,116.28762414056531,98.56913674560734,103.368525592055,116.08996371275784
Tha Phae,TH9104,2012,126.78007662835248,115.17777777777778,119.54814814814812,126.46985951468707,110.80459770114942,116.06807151979564,98.67049808429118,102.63627075351216,114.51941251596423,126.78007662835248,122.82464878671774,121.70089399744572,126.46985951468707,110.80459770114942,116.06807151979564,98.67049808429118,102.63627075351216,115.74436462324394
La-Ngu,TH9105,2012,127.03043981481484,120.13194444444446,122.075,129.28020833333335,111.0939814814815,117.10717592592592,100.61342592592594,106.49664351851852,116.72860243055555,127.03043981481484,124.33969907407406,122.0800925925926,129.28020833333335,111.0939814814815,117.10717592592592,100.61342592592594,106.49664351851852,117.25520833333334
Thung Wa,TH9106,2012,,,,,,,,,,,,,,,,,,
Manang,TH9107,2012,128.56864161849708,114.76054913294796,118.60881502890174,129.47312138728324,112.21372832369944,117.0700867052023,99.98829479768784,104.63656069364164,115.66497471098268,128.56864161849708,124.00101156069366,122.29465317919076,129.47312138728324,112.21372832369944,117.0700867052023,99.98829479768784,104.63656069364164,117.280762283237
Mueang Trang,TH9201,2012,129.84838709677422,124.59498207885306,125.55507765830347,134.09880525686978,113.62102747909202,122.85997610513743,102.35818399044209,108.28375149342892,120.15252389486264,129.84838709677422,128.37395459976105,125.55507765830347,134.09880525686978,113.62102747909202,122.85997610513743,102.35818399044209,108.28375149342892,120.62489545997612
Kantang,TH9202,2012,132.20000000000002,125.0,126.9,135.3,114.2,123.7,104.6,113.1,121.87500000000004,132.20000000000002,129.3,126.9,135.3,114.2,123.7,104.6,113.1,122.41250000000002
