admin2Name,admin2Pcod,Year,EVI,EVI_1,EVI_2,EVI_3,EVI_4,EVI_5,EVI_6,EVI_7,EVI_p75
Mueang Tak,TH6301,2012,0.2860337204412189,0.5160928297287077,0.4958112001000144,0.4427637669638329,0.4907167648892701,0.5357784653102701,0.4554215497134288,0.3171642731103057,0.4168455387758565
Ban Tak,TH6302,2012,0.2880616654719415,0.4835229291668804,0.4733252147607344,0.4245703216136405,0.484322240843301,0.53467655221727,0.4516751248932399,0.3361665457063317,0.4203825418421135
Sam Ngao,TH6303,2012,0.2665725444829351,0.561219987655075,0.5102939005488846,0.3892707022957096,0.4141428849499042,0.5060826765685714,0.4570841273501868,0.3526500646851161,0.4064926108149823
Mae Ramat,TH6304,2012,0.2975784971923855,,0.5833241322258562,,0.5136635326704053,0.5495446738774536,0.4767742456801775,0.4828701678696706,0.5280080796118458
Tha Song Yang,TH6305,2012,,,0.5155811959613101,,0.5898700646414766,0.5539115984207845,0.5229725409926876,0.4894013808331562,0.5447225821584589
Mae Sot,TH6306,2012,0.2442456687240741,,0.5878842308657888,0.5375831852910283,0.4057952495855401,0.5011990059062839,0.4463709393890375,0.340325557858593,0.4551440880138881
Phop Phra,TH6307,2012,0.2477578348537055,,0.5615725919361143,0.5076183248357242,0.4075248460440794,0.4737774727638537,0.4820997203272533,0.3572710779813234,0.4006191083849391
Umphang,TH6308,2012,0.3069668974315691,,0.6603913799652632,0.6110659076084589,0.5162717995532107,0.4698643596824863,0.4207115405878746,0.3911636833893286,0.431815778637986
Wang Chao,TH6309,2012,0.3183979665675611,,0.5045558078676361,0.5388518454082929,0.5325701328750085,0.5414608512593313,0.4842962129074656,0.4627470124358026,0.4719291966162976
Mueang Loei,TH4201,2012,0.3381129161848236,0.4095058712989047,,,,0.5360785957280603,,0.3868525135747842,0.4177830054047276
Na Duang,TH4202,2012,0.2860111570886863,0.4364772230284556,,,,0.512031657683386,0.5714076688056987,0.3642559298818038,0.3751819921758774
Chiang Khan,TH4203,2012,0.3255358652069117,0.353772377735275,,,,0.5430013139788954,,0.4237239461959258,0.4353065107339313
Pak Chom,TH4204,2012,0.3023824909838443,0.4695664231209608,,,0.5482499978602255,0.5046025491043994,,0.3600376163259393,0.3978852357898849
Dan Sai,TH4205,2012,0.2773091737384962,1.0653247626768798,,,,0.5347793170784411,,0.3989940271430876,0.4791464330455726
Na Haeo,TH4206,2012,0.3267861251878168,0.617769083104599,,,,0.5404896465821103,,0.4160440299506489,0.3948221038466783
Phu Ruea,TH4207,2012,0.3191926725272933,0.7187361241754582,,,,0.5465531756360323,,0.4104346850302807,0.4788157631116724
