admin2Name,admin2Pcod,Year,GCI,GCI_1,GCI_2,GCI_3,GCI_4,GCI_5,GCI_6,GCI_7,GCI_p75
Mueang Tak,TH6301,2012,1.5584572849687306,2.424410580957067,3.112533790498617,2.8830602606197675,3.985916659405593,4.319972020336323,3.826613735029428,2.634674650651061,3.153284857023266
Ban Tak,TH6302,2012,1.7159926293631451,1.4250327221985457,2.713089601909723,2.741821103141761,3.345112637728299,4.230927515095986,3.95939897086351,2.827775202020516,3.160464135725089
Sam Ngao,TH6303,2012,1.6744512125218118,1.6801247689126295,2.377140875566733,2.443284271736574,3.0731986204482324,3.9760263948475214,3.985310054727957,2.890590093833004,3.1069068997528237
Mae Ramat,TH6304,2012,1.5277435762754166,,1.945660131814473,,3.2937458678170275,4.132785962093521,3.444336124615169,4.883218874669144,3.9185787851290086
Tha Song Yang,TH6305,2012,,,2.112710943978753,,4.239222861102525,4.822280763185887,4.723808065832654,5.3778837541601865,4.718804620170929
Mae Sot,TH6306,2012,1.4394401740084255,,2.666259296410604,2.3947075919843925,2.8548877333948024,3.5304781753448795,3.239326275253525,3.0028689846444387,3.172885449362703
Phop Phra,TH6307,2012,1.767014835405093,,3.4288256558711714,2.60402095763854,3.096843319045381,3.8049103310180152,3.7595507361841354,3.0927797056609947,3.044300200079521
Umphang,TH6308,2012,2.104853355615301,,4.604346392395878,3.53124251149562,3.6636849119813766,4.026596856240354,3.571841304978148,3.502858972435046,3.444228351043424
Wang Chao,TH6309,2012,1.9204361827903187,,3.084277844475848,3.579643846925613,4.325016464509794,4.12218932159266,4.152190011604772,3.72821570757128,3.538237308626249
Mueang Loei,TH4201,2012,2.758131623597821,2.534946373795445,,,,3.976964420128733,,2.46918280326797,2.938677094239557
Na Duang,TH4202,2012,2.2410186061150297,1.8752484936551617,,,,3.596669239237594,5.792412859166496,1.9065834367638437,2.5491711984303715
Chiang Khan,TH4203,2012,2.5209888814685595,1.9804358224215928,,,,4.027879359763832,,2.2831080997638598,3.09123566181074
Pak Chom,TH4204,2012,2.372028723163877,2.2087605087902227,,,2.917219476425443,4.097237430648055,,2.727489049143628,3.121649576305213
Dan Sai,TH4205,2012,2.253869629930385,1.0713022732832256,,,,3.626036878425036,,3.032521675592584,2.515447605719874
Na Haeo,TH4206,2012,2.6134127456455274,1.1982427931126105,,,,3.629396950384419,,3.583763866143136,2.864153742001493
Phu Ruea,TH4207,2012,2.653202976427236,1.7993425594957968,,,,3.945376453662305,,3.1602116808836227,2.8652271900918502
