admin2Name,admin2Pcod,Year,LAI,LAI_1,LAI_2,LAI_3,LAI_4,LAI_5,LAI_6,LAI_7,LAI_p75
Mueang Tak,TH6301,2012,0.9168700005563268,1.7492238579584507,1.675844921961853,1.483919308875145,1.6574132553693743,1.8204464874925623,1.529715166863178,1.0295003401130869,1.3901471592910577
Ban Tak,TH6302,2012,0.9242071056774842,1.6313859577257708,1.5944906270043409,1.418095423598155,1.634277867371061,1.8164597659220607,1.5161606018637457,1.0982505623655063,1.4029440363847574
Sam Ngao,TH6303,2012,0.8464594659392591,1.912493915336064,1.7282433321858663,1.2903814009058747,1.3803689577487506,1.713007123825097,1.5357303727529807,1.1578879340307524,1.3526902659285982
Mae Ramat,TH6304,2012,0.9586390028420476,,1.9924667103931477,,1.7404346612015291,1.8702526300886155,1.606969220870878,1.6290242673524673,1.7923332320356653
Tha Song Yang,TH6305,2012,,,1.7473727669880312,,2.016149893872861,1.886052163086388,1.7741146533115373,1.6526541958543597,1.8528063022492829
Mae Sot,TH6306,2012,0.7656808294436955,,2.0089651472724266,1.826975964382939,1.3501672130004674,1.6953380033689296,1.496970058709553,1.1132978683323898,1.528711310434267
Phop Phra,TH6307,2012,0.7783878465007036,,1.9137696376248767,1.7185630992556382,1.356424892987521,1.5961268964596225,1.6262367881440294,1.1746067601364287,1.3314399341367134
Umphang,TH6308,2012,0.9926062349074176,,2.2712960127143185,2.0928364537274047,1.7498713707835194,1.5819692533312442,1.4041343538469266,1.297230206502597,1.4443094871122348
Wang Chao,TH6309,2012,1.0339638430414149,,1.7074829128650988,1.8315659766872256,1.8088387407418145,1.8410053598562848,1.6341836982992162,1.55621869099272,1.5894398333578157
Mueang Loei,TH4201,2012,1.105292530756687,1.3635922423593865,,,,1.821532359344101,,1.2816323941135772,1.3935389135543337
Na Duang,TH4202,2012,0.916788366346885,1.4611745929169335,,,,1.7345305374984692,1.9493529457390184,1.199877954312365,1.2394084476922973
Chiang Khan,TH4203,2012,1.059788760318639,1.1619484626462249,,,,1.8465787539756195,,1.4150332373368342,1.4569389558353385
Pak Chom,TH4204,2012,0.9760198523795482,1.5808913188516382,,,1.865568492258296,1.7076520226597245,,1.1846160958672305,1.321548783087815
Dan Sai,TH4205,2012,0.885304590585873,3.7363449913650086,,,,1.8168315691897912,,1.3255603902036808,1.615551794758895
Na Haeo,TH4206,2012,1.0643122009295294,2.117088542672417,,,,1.837491541334076,,1.387247300361443,1.310466371717267
Phu Ruea,TH4207,2012,1.036839089203761,2.482387297266827,,,,1.859429389451172,,1.3669526904395497,1.6143554309380268
Tha Li,TH4208,2012,1.1382195747854384,1.9445432505802545,,,,1.9038555036821452,,1.5815871348594754,1.6547362580282787
