admin2Name,admin2Pcod,Year,NDVI,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDWI,NDWI_1,NDWI_2,NDWI_3,NDWI_4,NDWI_5,NDWI_6,NDWI_7,NDVI_p75,NDWI_p75
Mueang Tak,TH6301,2012,0.3563393799393349,0.5671424071658848,0.6129234391576858,0.5768384291262787,0.6984817658060075,0.7252723876793407,0.670347894789934,0.5114222740260219,0.1549070245653641,0.4956887365828304,0.4780520267545846,0.3949389748372429,0.5626789784539996,0.5607231491307202,0.4933306609968154,0.2644751423515328,0.5870176530345165,0.4012640827345707
Ban Tak,TH6302,2012,0.3855775476180464,0.4380910708554644,0.5574070955745318,0.5511527550993198,0.6576690833092811,0.7207977004445738,0.6681443884172877,0.5429571277020554,0.1837759611597983,0.4898707513558005,0.4197273587865139,0.3850052275282303,0.5597682886420333,0.6104247751165608,0.5125840231154364,0.346740937498859,0.5886057358281837,0.4310472724788994
Sam Ngao,TH6303,2012,0.3695899166165888,0.4885895967583543,0.5346187728001387,0.5038287766189783,0.5898284317173019,0.6833617941983818,0.6569825950753184,0.5394948241595964,0.14646092106083,0.4987183328242038,0.4748165907245369,0.323608669168369,0.4807118520212345,0.5570527839503313,0.4895844676569745,0.3217158133783327,0.5681381244478589,0.3970347443196186
Mae Ramat,TH6304,2012,0.380120342468339,,0.542190843158298,,0.6301152731747455,0.7240986047329001,0.6664753134916707,0.736942180053295,0.1596618964952323,,0.5366528431574503,,0.5131016295672817,0.5597474410776386,0.5097653704317214,0.4775212855811333,0.7037986698595426,0.5422586935987832
Tha Song Yang,TH6305,2012,,,0.5297196724326838,,0.7219370545246885,0.7629989293145661,0.7465557544804077,0.7401416642325265,,,0.4961635810387537,,0.5887384250270857,0.5756414279842171,0.5468338892561222,0.4959050225360052,0.7513792295887773,0.5671170015211257
Mae Sot,TH6306,2012,0.3303316086814962,,0.5908851025207098,0.5848513254195968,0.5661895764381654,0.6695588625100353,0.6441008405903622,0.5623279011681354,0.1384987231345347,,0.5335602704431318,0.5182451280210748,0.4207836049260096,0.5099131617988746,0.4835347253187121,0.2886916137927424,0.6220677794644365,0.4637300084278855
Phop Phra,TH6307,2012,0.3652765771702773,,0.6390419371875976,0.5770107768488651,0.5845483548443973,0.6729841253319385,0.6704370732904469,0.5743812276125477,0.1420159101525213,,0.524812123762606,0.4596205740571704,0.4187492099002891,0.4750934199919641,0.4943615016773853,0.3239966584459402,0.5689404329375808,0.3761936774009504
Umphang,TH6308,2012,0.4364124292837497,,0.7329716643234547,0.6770341579758591,0.6643244719128435,0.6944138709331109,0.6436835322485281,0.626114850557101,0.1566041358179926,,0.6041274267305299,0.5634338377801955,0.5351007028683418,0.5043040589473556,0.4323524366532689,0.4215545785983208,0.6198469442301721,0.4158579993909347
Wang Chao,TH6309,2012,0.4401425713666712,,0.613709945090308,0.6513291160217285,0.7145947791859718,0.6991844863341248,0.6913424866943015,0.6571321274561626,0.279975500412836,,0.459038219811737,0.4697561908000212,0.5344983221823111,0.5006000466951792,0.477855329307162,0.4486638492046392,0.6325705889715296,0.4433424156907312
Mueang Loei,TH4201,2012,0.5306155755622638,0.518807573750012,,,,0.7154488472222443,,0.5345516166945432,0.2951711120357344,0.4139110868116501,,,,0.5411803278136348,,0.3720680992187929,0.5737784019618744,0.4022868198302762
