admin2Name,admin2Pcod,Year,Tot_Prec,Tot_Prec_1,Tot_Prec_2,Tot_Prec_3,Tot_Prec_4,Tot_Prec_5,Tot_Prec_6,Tot_Prec_7,Total_Precipitation
Mueang Tak,TH6301,2012,322.6403415240222,147.6667118902213,134.1774342585514,81.38904494333687,356.5890987103423,135.51210327687582,72.90550483798529,26.99995050134898,1277.880189942684
Ban Tak,TH6302,2012,319.02325932341154,133.7272949334172,112.15967692712071,66.28712128222259,331.9565181517565,144.73749892686388,95.44695221728529,24.66981946682605,1228.0081412289037
Sam Ngao,TH6303,2012,319.8423772408412,111.60772993499876,100.90766448753452,75.89324200584878,321.5981875911557,158.8031220500825,125.69136023737188,19.22468706924991,1233.5683706170832
Mae Ramat,TH6304,2012,284.2231384699251,299.99079682289386,288.15638621881897,194.04377259319904,246.02711194227723,176.73191643439088,65.79158628302461,12.739448264884016,1567.7041570294136
Tha Song Yang,TH6305,2012,308.5443959236145,342.51808738708496,298.5825276374817,298.23791885375977,222.3974471092224,175.66565895080566,78.90760612487793,21.178485870361328,1746.0321278572085
Mae Sot,TH6306,2012,250.42500349802137,243.37118236729552,383.8796397848662,228.67684157049175,264.2857576258152,147.0655842564593,50.44256716088624,8.05444103758909,1576.2010173014244
Phop Phra,TH6307,2012,273.6349032284484,217.2701171709649,447.3674189862744,228.4424851652004,311.13093707095635,134.5529299026984,38.79707482468262,10.719616992470373,1661.9154833416958
Umphang,TH6308,2012,282.5889478793511,272.34626243297873,454.0816142192254,276.05769395828247,377.8848947891823,148.56195088533255,71.08977735317671,14.44590579729814,1897.0570473148275
Wang Chao,TH6309,2012,240.005449185907,145.77284078119288,242.6789754482197,100.21601378953244,328.469258908012,153.3466988889645,98.0719442569001,35.79704975714503,1344.358231015874
Mueang Loei,TH4201,2012,290.50899024339054,159.76909002409838,149.87253738436664,130.66975002603846,250.93665755147944,104.66890424599929,14.445199915494392,6.1088239164477205,1106.9799533073149
Na Duang,TH4202,2012,265.67316229391645,194.80577420843815,164.46974643358604,155.91118509438684,262.9833302098202,100.1237699186182,7.2598197584207345,0.6110632078496018,1151.8378511250362
Chiang Khan,TH4203,2012,327.92626810209964,188.7240926831479,168.7829887780771,144.7923760949488,277.2261028199055,101.81541783144996,15.61392299137606,10.774164349776466,1235.6553336507816
Pak Chom,TH4204,2012,,,,,,,,,
Dan Sai,TH4205,2012,301.0124278319742,138.94511123593767,130.93575795498884,150.91604409949397,354.56444611611084,70.52045929321741,23.1318951577444,5.992198975161132,1176.0183406646286
Na Haeo,TH4206,2012,,,,,,,,,
Phu Ruea,TH4207,2012,283.1869091306414,137.44981949669975,106.08524203300476,125.77199830327716,301.4840018408639,87.93138667515346,17.533780574798588,6.542634453092303,1065.9857725075317
