admin2Name,admin2Pcod,Year,SM,SM_1,SM_2,SM_3,SM_4,SM_5,SM_6,SM_7,F_SM
Mueang Tak,TH6301,2012,70.894459716642,54.97593571579615,64.99213364347644,66.68741805878624,192.98094734616205,185.2591034045253,161.80905053922606,110.08134912243608,113.46004969338132
Ban Tak,TH6302,2012,57.82806026365349,35.94090395480226,36.76448210922787,33.959924670433146,112.5980790960452,108.28500941619586,85.12192090395482,43.42154425612053,64.23999058380414
Sam Ngao,TH6303,2012,58.59009364218828,34.983587974371616,26.11508132084771,20.7819122720552,113.60418925579104,109.09088220798424,87.60837851158207,41.17230162641695,61.49330335140464
Mae Ramat,TH6304,2012,76.38605882352941,103.85420588235291,136.13150000000002,136.20650000000003,136.20650000000003,129.64973529411768,100.28220588235295,57.49185294117648,109.52606985294116
Tha Song Yang,TH6305,2012,133.34,162.54545454545453,269.1727272727273,320.42,341.80909090909097,327.0036363636364,294.6018181818182,240.79454545454544,261.21090909090907
Mae Sot,TH6306,2012,135.35096102509343,206.3129871863321,283.9359450080086,285.64042979177793,285.64042979177793,284.86205285638016,254.0621329418046,199.29276561665773,241.88721302722905
Phop Phra,TH6307,2012,165.21327367636093,216.44478001491424,361.0148956002981,376.3565622669649,377.2360365398956,377.2360365398956,347.5945376584638,290.78732289336307,313.9854306487695
Umphang,TH6308,2012,175.2991471215352,215.45906183368868,373.5759061833689,386.5153518123667,400.6880597014926,400.6880597014926,372.955223880597,315.9368869936034,330.13971215351813
Wang Chao,TH6309,2012,81.19418650019509,74.47877487319549,133.53070620366756,161.1442060085837,232.83991416309016,228.4793991416309,203.983417869684,149.8076082715568,158.1822766289504
Mueang Loei,TH4201,2012,101.56715741789353,98.4466874292186,111.66746885617214,128.3660249150623,191.0154586636467,193.2120045300113,176.32567950169872,138.81367497168742,142.42676953567386
Na Duang,TH4202,2012,77.48758389261745,73.49827420901248,77.01006711409397,90.89904122722916,142.4539309683605,139.58700862895498,123.02722914669224,90.54472674976031,101.81348274209012
Chiang Khan,TH4203,2012,152.2027073485174,149.61989686291363,160.46476149548775,193.45242801890848,254.95857327030512,271.10880962612805,256.33008165019345,215.0468844005157,206.6480178341212
Pak Chom,TH4204,2012,162.5,170.2,204.85,252.2,306.90000000000003,319.05000000000007,300.75,255.45,246.4875
