admin2Name,admin2Pcod,Year,SR,SR_1,SR_2,SR_3,SR_4,SR_5,SR_6,SR_7,SR_p75
Mueang Tak,TH6301,2012,2.296059596722177,3.899893163032579,4.696819100285747,4.195756744791459,6.548410118526966,7.26827966034633,5.944860626659003,3.629133116995594,4.846620911969429
Ban Tak,TH6302,2012,2.4662245325529737,2.6558820858843384,4.170211200637508,4.02210168938083,5.564141067290709,7.417939475661214,6.4638421008791385,4.128830253055349,5.058595568728841
Sam Ngao,TH6303,2012,2.406928093564056,2.96679416825022,3.67049753207077,3.495797189382539,4.9533013622384985,7.048995023783706,6.454461753353311,4.070110250914311,4.944596429464336
Mae Ramat,TH6304,2012,2.4656972519533142,,3.4074178098404206,,5.340878953450745,7.099906769700004,5.819220240666201,7.821311780520564,6.723085698476796
Tha Song Yang,TH6305,2012,,,3.561481330386081,,8.394919706644764,8.54440357502915,8.309635105973426,6.882774657867851,8.380463743841092
Mae Sot,TH6306,2012,2.2057836363294125,,4.196913224079792,3.941510902719173,4.356706309399255,5.845175941427608,5.181595257330066,4.220588801369048,5.151272563779575
Phop Phra,TH6307,2012,2.4699297219881693,,5.303683544100503,4.035606145724183,4.711491473206628,5.986991785890949,5.793118946265281,4.173244281045974,4.589211509508315
Umphang,TH6308,2012,2.9601311973475988,,7.642216191786635,5.42751569646676,5.89893037732942,6.598456103615957,5.371542583090385,5.1537636917133725,5.306589223937726
Wang Chao,TH6309,2012,2.848673075604696,,4.6081654108911785,5.283459766223015,6.922604436318889,6.574452555650661,6.412433909871725,5.719202609676077,5.439417504754129
Mueang Loei,TH4201,2012,3.934383855351125,3.7734979111440903,,,,6.590731993292298,,3.729384006607239,4.509229967209647
Na Duang,TH4202,2012,3.077474498689269,2.94588023603496,,,,5.725869416771366,10.019713300883913,3.1334088989690456,3.827720815280425
Chiang Khan,TH4203,2012,3.5339444257923627,2.9714955779422243,,,,6.642238665010933,,3.5834989230586056,4.826870579172655
Pak Chom,TH4204,2012,3.242616669661276,3.421585859223772,,,4.506799186858034,6.514575955306925,,3.784763684701545,4.631566691123301
Dan Sai,TH4205,2012,2.992062922872613,2.02163595843161,,,,5.6839252598038055,,4.512155515733139,3.7410490751995424
Na Haeo,TH4206,2012,3.4705463271839867,2.238656664249719,,,,5.683315437029855,,4.98417139163873,3.99821303040128
Phu Ruea,TH4207,2012,3.592776350200572,2.925267701646902,,,,6.3818753746085966,,4.566326712359717,4.289707030244891
Tha Li,TH4208,2012,4.141494748848819,3.8351205026849535,,,,7.001615663350334,,3.6545682415678535,4.9121424576858095
Wang Saphung,TH4209,2012,3.581743406919168,3.434807954770827,,,,6.331024913893758,,3.752074307850106,4.292806792644445
Phu Kradueng,TH4210,2012,4.151783087015649,3.904588197970004,,,,6.9323269898885735,6.604076920043572,3.808413341127956,4.870906346617365
Phu Luang,TH4211,2012,3.397338942226498,3.299623584605764,,,,7.010740393920014,,3.1727440813884678,4.674909739934009
Pha Khao,TH4212,2012,3.348468270814585,3.308606330561541,,,,6.929119058772549,5.944362974925665,3.875384452831376,4.54342449333422
Erawan,TH4213,2012,3.064801554997924,3.3243258670090143,,,,6.711659184682998,6.646661446285942,4.493791448487541,4.384252099685948
Nong Hin,TH4214,2012,3.595502993027424,3.405363567675918,,,,6.782842667062793,,3.596197521558594,4.648510283115095
Mueang Satun,TH9101,2012,,,,,,9.521729674395212,8.117885481846582,,8.86058843747448
Khuan Don,TH9102,2012,,,,,,8.595686939904315,7.547284644137685,,8.160256191753271
Khuan Kalong,TH9103,2012,,,,,,11.723514714044146,9.724991118799622,,10.930222383625606
Tha Phae,TH9104,2012,,,,,,11.792689190250146,9.624627152792328,,10.91534395986288
La-Ngu,TH9105,2012,,,,,,8.377422038014942,8.15275886721643,,8.144306999803208
Thung Wa,TH9106,2012,,,,,,8.22647846622994,10.51350046147726,,8.132931050856653
Manang,TH9107,2012,,,,,,12.302598687402783,10.526314390834818,,11.71171386415101
Mueang Trang,TH9201,2012,,,,,,7.411397988309306,,,7.411397988309306
Kantang,TH9202,2012,,,,,,7.564436752769988,,,7.564436752769988
Yan Ta Khao,TH9203,2012,,,,,,9.574612766980138,,,9.574612766980138
Palian,TH9204,2012,,,,,,8.39394523468076,8.900423711175966,,8.39713551424562
Sikao,TH9205,2012,,,,,,7.73762278688377,,,7.73762278688377
Huai Yot,TH9206,2012,,,,,,7.273664802322807,,,7.273664802322807
Wang Wiset,TH9207,2012,,,,,,8.908840676330543,,,8.908840676330543
Na Yong,TH9208,2012,,,,,,5.2245731605071,,,5.2245731605071
Ratsada,TH9209,2012,,,,,,7.35126665602764,,,7.35126665602764
Hat Samran,TH9210,2012,,,,,,7.868171313192059,,,7.868171313192059
Mueang Yala,TH9501,2012,,5.842527871317544,6.086241044690145,3.9132824614211,,6.201919882596805,5.720151043874585,6.993998016883692,5.922173014331468
Betong,TH9502,2012,,10.471451186879255,11.992152094456062,7.1585151080877205,,11.068029897051163,9.956691499716866,12.629611747641176,10.939961441684575
Bannang Sata,TH9503,2012,,8.666510651399301,10.976439384001438,8.44899135051348,,11.006164816460428,9.209309557241273,15.19003976956238,10.469425985700632
Than To,TH9504,2012,,3.968363120648909,8.217273919792754,5.727765262528413,,9.2685607354875,10.59095973319448,8.412127698633325,8.058656800690594
Yaha,TH9505,2012,,,,,,6.62124608456056,8.43177927799287,,7.909325663883219
Raman,TH9506,2012,,4.963945118824369,4.77955781509178,4.065349542231419,,6.000507160745946,5.36627145121292,6.826421347771067,5.311910736316504
Kabang,TH9507,2012,,,,,,9.878547323619433,10.267294722506682,,10.371873964493414
Krong Pinang,TH9508,2012,,9.59476773398763,6.906103337577305,6.000221811036695,,9.776896813451229,7.747071050446388,17.193073937157873,9.578882096219234
Mueang Trat,TH2301,2012,,,10.500432699630862,5.570050246085801,,9.0255227075724,9.0357750726262,5.08958191783602,8.943588730487136
Khlong Yai,TH2302,2012,,,7.249114621337801,,,6.5563719254405886,5.31377363144502,,6.5295643818393385
Khao Saming,TH2303,2012,,,11.379651453566709,6.026335625034269,,7.707919169525855,8.145067197306734,5.431918630560245,7.776632775636903
Bo Rai,TH2304,2012,,,9.3048629806569,5.6677806189037225,,8.703867942948568,8.987755065178769,7.276280829236294,8.61021599946541
Laem Ngop,TH2305,2012,,,3.421974721224221,5.675796887628965,,9.694715747446155,9.408092062338987,6.4085109004753855,8.657721287326327
Ko Kut,TH2306,2012,,,14.656656204722369,5.0002726924991645,,9.52570001172567,7.412453172627393,,11.1373697480058
Ko Chang,TH2307,2012,,,,4.927119002211621,,10.670613348997552,11.434935225231683,,10.767696680359636
Mueang Phrae,TH5401,2012,3.0268056709396127,3.428336373325199,3.2071725114507945,,5.861161397766028,7.033464100700696,4.066600240298937,2.714157491638936,4.391280034040491
Rong Kwang,TH5402,2012,3.5044353352507702,3.395341334475717,4.231960542691219,,5.415934449059821,5.808061591704065,4.15760142056383,3.249537355990881,4.286872135112368
Long,TH5403,2012,2.528007971375899,3.823561346284397,4.289546079831533,5.376262342487205,6.749777613230577,7.83028409909832,5.3082062008725215,4.079717449442135,5.109548315253806
Sung Men,TH5404,2012,2.4269355605234955,2.4646891094642087,,4.039609772984916,6.153669148439183,6.482297598205945,2.8964073393173533,2.7206030287863467,4.076522730973008
Den Chai,TH5405,2012,2.90011677034518,2.234526156204326,5.985503281734577,4.723464694442271,5.91786711980717,6.33459476534609,4.083562541983588,3.104285978965609,4.335668416829774
Song,TH5406,2012,3.1191431275858497,3.4295079480878163,3.824638670025895,,4.776031287114944,5.550937727081844,4.582157570195652,3.3711995859560018,4.191354699655723
Wang Chin,TH5407,2012,2.408614024520896,2.680300488030441,4.736402086156119,4.752550081366189,6.920870525528061,7.560113663927201,5.918185037353576,4.1779169042058,5.087179203361234
Nong Muang Khai,TH5408,2012,3.015238325242717,2.849716716211426,2.9296245806037686,,5.555737599703223,5.371474973591325,3.679149519292455,3.065762101864429,3.9387051083446303
Mueang Nan,TH5501,2012,4.713928912390818,3.41468558816859,3.7978042632305873,,4.444312225175294,6.955691949203736,4.633684330592249,3.3814408864625647,4.57352405509095
Mae Charim,TH5502,2012,4.479410811440676,3.5642264272750825,3.469295646304003,,7.1233761545088194,8.217806655425713,5.2273461678107,6.129302055950308,5.8077816981876325
Ban Luang,TH5503,2012,3.996708412548952,3.665942263730367,4.10478838114909,,4.474083157814599,6.928503529099023,5.636885751941028,3.456043800463678,4.518480213714882
Na Noi,TH5504,2012,3.114097775701227,3.6815116596336095,3.0484129288199475,,5.938600340197649,6.317628547338233,3.878915764516531,3.729699509320586,4.264743009038729
Pua,TH5505,2012,4.5446273634320535,3.4670488932215777,2.7962294430585404,,5.802912615253286,5.777550712832694,4.363261403072867,3.997962964532923,4.758303994528857
