admin2Name,admin2Pcod,Year,T_MAX,T_MAX_1,T_MAX_2,T_MAX_3,T_MAX_4,T_MAX_5,T_MAX_6,T_MAX_7,F_T_Max,T_Min,T_Min_1,T_Min_2,T_Min_3,T_Min_4,T_Min_5,T_Min_6,T_Min_7,F_T_Min,T_Mean,T_Mean_1,T_Mean_2,T_Mean_3,T_Mean_4,T_Mean_5,T_Mean_6,T_Mean_7,F_T_Mean
Mueang Tak,TH6301,2012,33.02072069012594,30.05249681288389,29.252969357991372,28.57395760461702,30.069957720173143,30.007369223326958,31.142973193104496,30.59182264601749,30.33903340603004,25.14383290909857,24.633551701592207,24.02436808256431,23.69231344106489,23.65085148763401,22.79643940464621,22.826702101398443,21.020311610367607,23.473546342295776,28.59002369799979,26.8810248525157,26.27512712368005,25.782129732767764,26.321521427324694,26.24476428178209,26.871280407395457,25.85588338862679,26.60271936401154
Ban Tak,TH6302,2012,32.15861387128073,29.023187092163575,28.211753938755336,27.629358190777683,29.697808738503905,29.83906192706465,31.48532186340101,30.693751177607723,29.842357099944323,24.456567086466645,23.809289942481996,23.054506171800192,22.842487817523143,23.15773603651261,23.0504805641613,23.361144329670317,21.559922777999628,23.161516840826977,27.708696655452872,25.915480170609275,25.19066168223612,24.773656494072444,25.752787377855665,26.234623524847333,27.1927847276398,26.05767048781992,26.103295140066678
Sam Ngao,TH6303,2012,31.327579577215808,28.340829976399764,27.70722605387372,27.272695922851582,28.944184366862,28.664995829264345,29.88468933105471,28.870501273018995,28.87658779131761,23.61987957132276,23.123000590006534,22.48031463623049,22.24494934082033,22.50994364420575,22.11683349609377,22.100693257649763,19.70961696079801,22.238153937140925,26.89623945828145,25.21239975823298,24.639587338765484,24.31105225880943,24.964997651841927,25.057394112481024,25.580877431233752,24.204849333990204,25.10842466795453
Mae Ramat,TH6304,2012,29.179034758358405,25.83469934831588,25.151332251833217,24.903881600363235,27.50441166820863,28.488947451942867,30.145923994097814,29.797339792352,27.625696358184005,22.67183353043297,21.92930437697028,21.4777939346046,21.272136417857407,21.651691796018387,20.64095728609857,21.04523300866916,18.327414153364398,21.12704556300197,25.043104875798832,23.25678066900601,22.75864855952572,22.425759033069298,23.700793635942805,24.16801023775516,25.19994014253674,23.96446836202906,23.814688189457947
Tha Song Yang,TH6305,2012,28.76800295073413,25.317447408040387,24.82806396484377,24.721522013346377,27.346846008300805,28.414439392089868,29.247426859537786,28.241799926757835,27.11069356545637,22.18414748619345,21.67884216308596,21.22722066243492,21.064616902669293,21.25596059163414,20.359392801920595,20.36764068603518,17.255232892717657,20.6741317733364,24.493772234861893,22.84144706726076,22.37680522070993,22.131796073913588,23.28139033847388,23.81750967237686,24.389161936442097,22.77539899916878,23.26341019290097
Mae Sot,TH6306,2012,28.892596979851383,25.795920384094437,25.133950693369968,24.722876936166813,27.227264918327734,28.42508485892402,30.083579369747305,29.60510910067639,27.485797905144757,22.574515398924195,21.90000097942092,21.440637307315328,21.256587989083545,21.561555605861745,20.439088417122303,20.767712744630657,18.266418965057078,21.02581467592697,24.912300415400427,23.262371709123794,22.77876797618166,22.3931301591091,23.60253684308984,24.026761439489967,24.998340336462984,23.749458908837717,23.715458473461933
Phop Phra,TH6307,2012,27.290320842189555,24.75425382647023,24.139596443066672,23.52606291222849,25.729840560891187,26.4944627230195,27.301833966682725,26.62486119058922,25.7326540581422,20.83442023546037,20.444085624300225,19.97004185873889,19.82405108857431,19.99973524904802,18.83620908068517,18.94434339424662,16.89917920493142,19.469008216998127,23.24249610296093,22.025866384981256,21.547505191642227,21.089340115689705,22.049602843244436,22.16245794332806,22.568698172733725,21.39959971172667,22.01069580828837
Umphang,TH6308,2012,26.294028387112625,23.713705745088905,23.2895012410482,22.604501661217757,25.082470915421226,26.471277456974654,27.287880611696124,27.13696299298212,25.23504112644269,20.3224758005214,19.909797166465008,19.49771765004036,19.330704973746062,19.598274085003418,18.684895287112937,18.873640638710818,17.424124143612335,19.20520371815154,22.49666369684575,21.20665406784576,20.876991534210084,20.364073705442884,21.434022115440207,21.94729905096232,22.48686992774266,21.791768036678487,21.575542766896017
Wang Chao,TH6309,2012,32.61369580030355,29.77493592288818,28.945401824363064,28.385069676793385,29.762000953734244,29.874031299969563,31.166874962751585,30.765694620033862,30.160963132604675,24.635259153029093,24.363348497585456,23.791827526541823,23.51238898114596,23.31856106874521,22.297979653553845,22.4108643275172,20.72450217885615,23.13184142337184,28.153953236030635,26.67641804804272,26.069822630381967,25.58027630287952,26.07508944825223,26.00644287020432,26.64338084676284,25.71419811507451,26.364947687203596
Mueang Loei,TH4201,2012,31.264523066603697,29.893066702983187,29.2835150006602,28.71642365627638,29.140991100024717,28.828047589891057,29.8919372728274,27.69118131136296,29.338710712578703,23.891193330961247,24.053653905965295,23.558518352462016,23.12045242479253,22.81110264586991,22.02345795099868,21.77122938064565,19.132442837167225,22.54525635360782,27.02941575231284,26.58636621413661,26.047892929548272,25.431175107829212,25.507113509889063,25.266494331225385,25.72882928540465,23.37753703687789,25.62185302090299
