system:index,admin2Name,GCI,GCI_1,GCI_2,GCI_3,GCI_4,GCI_5,GCI_6,GCI_7,GCI_p75
00000000000000000025,Mueang Tak,2.230876255760409,2.409956660111653,2.249096218659303,3.2580828680301304,3.329690615636748,5.451778771022386,5.382096054088238,3.431772392003667,3.470212558424335
00000000000000000026,Ban Tak,2.445729312492314,2.7979819776710326,2.256407299694585,3.4840845034946413,3.2571470286327138,5.146831649179196,5.066817388594492,3.5754529182689403,3.4859111816778423
00000000000000000027,Sam Ngao,2.1298159667209724,2.769932882382215,2.5045048737708373,3.5197617504759346,3.4386954913095216,4.879324825007675,4.834701253708063,3.7019005619941328,3.456282405505741
00000000000000000028,Mae Ramat,1.6120539271888255,1.6899294693994218,2.3946496443836587,,2.465748916520112,3.780340466474106,4.614374187548247,3.3966393549069394,3.0033937750132313
00000000000000000029,Tha Song Yang,1.7294054976588757,2.084819194009467,3.0622189443646226,,4.5599248432899975,4.833663320910694,5.8823619481599945,4.546792910483379,3.845840636824932
0000000000000000002a,Mae Sot,1.5730373693192816,1.9638834180076852,3.2780582585236737,1.20707343713057,3.656787919081577,3.32656802069892,4.51582532173964,3.5288370124680206,3.240478349698306
0000000000000000002b,Phop Phra,2.1882974257531123,2.979249736478551,4.592541049290001,1.9744551424916443,4.078105421559523,3.6378467554502465,5.949594567898602,4.884064924773046,4.211837263442756
0000000000000000002c,Umphang,2.3344031646157797,2.854587869987306,3.813270376020085,4.297461712361953,5.358113200795325,5.495600005793347,4.617008740611823,3.6856207203766895,3.974344265998783
0000000000000000002d,Wang Chao,1.9594017694504944,2.3502948142991382,2.4363062217813476,2.9548128011888344,3.97065416715182,5.1465529073676075,5.719781179121533,4.248738948280261,3.725831805335723
000000000000000002c4,Mueang Loei,2.496770811859258,2.6116955662967247,3.5925797953383936,,4.922948158719088,4.145505413445441,5.728925355707674,4.0723071284573855,4.227447982264125
000000000000000002c5,Na Duang,2.2777381545679733,2.191371819942367,3.9389227796244866,3.668586456930229,4.7093620569128225,3.747751723529488,5.910657452369206,4.1517037173745885,4.190869556589551
000000000000000002c6,Chiang Khan,2.5856047505776516,2.7430097624760887,3.8910695868581637,,5.126533192292107,4.194962761591695,5.333150644170404,3.8183182054469773,4.182418711509836
000000000000000002c7,Pak Chom,3.0455905114306985,3.3676246034485766,3.6848464341209732,,4.977146419801131,3.987000732942625,5.446984879133962,4.161894013868952,4.330340161821134
000000000000000002c8,Dan Sai,2.6429047138144184,2.388977146603874,3.3658003295938856,,4.689520036067627,3.6237336945276626,5.497965990734382,4.174485494864437,4.114507293065542
000000000000000002c9,Na Haeo,2.7887724582216085,2.8170866309324776,3.123749784825679,,4.786933744071958,3.561957676477372,5.31754208707043,4.544895855785277,4.215361504946755
000000000000000002ca,Phu Ruea,3.004526688204654,2.4781555023072355,3.098811161362307,,5.022297943955653,3.2548452477711507,5.894127857171191,4.249053426656164,4.464917773992687
000000000000000002cb,Tha Li,2.4885020519634216,,3.49639268791412,,5.046850722121927,3.5390158131019733,6.044764784830664,4.036254008680921,4.3793601161849995
000000000000000002cc,Wang Saphung,2.2852935621648,2.22308368554647,4.9657154471967795,4.862410239440784,4.489329743966663,4.874533928671753,5.580274128238511,3.9631328532392565,4.103261638905231
000000000000000002cd,Phu Kradueng,2.611550912046972,3.223926019314156,3.863298591893374,4.351878691982546,4.723519021181922,5.285567395208444,5.202514402535405,3.7336574861240392,4.082231922972462
000000000000000002ce,Phu Luang,2.2504614305519004,2.2007077380286177,,,4.474151183428922,5.28688541590486,5.633863796400764,3.981117080794565,4.155870619783572
000000000000000002cf,Pha Khao,2.2907496794111633,3.0902884093344887,3.6749187970943544,3.9368909239105667,4.368401400583858,5.302135503416786,5.266154470207323,3.755169484756732,3.9363615310843967
000000000000000002d0,Erawan,2.0471894737023844,2.4899614644844226,3.8673010791918725,3.6633591398568046,4.669350080691047,4.897046453106687,5.914763277606361,4.191876390928149,3.9990880784129605
000000000000000002d1,Nong Hin,2.3935786017482443,2.4795061981748594,4.176756110551028,3.8468573180608074,4.3681900433637875,4.914848373007127,5.326019126940974,3.7296388087415835,3.944922474171937
000000000000000000ef,Mueang Satun,3.2462701613110863,6.462164300257992,4.642090817278477,4.927040423554403,5.72100120125582,5.958333573390831,3.703558074790324,5.05096049292574,4.926411310507928
000000000000000000f0,Khuan Don,3.371447483158381,5.041556707591386,4.8805613414906395,3.547547772909738,5.143053634864832,4.817926573088034,3.909020074233621,5.346375727355848,4.826961735170071
000000000000000000f1,Khuan Kalong,4.9904171970158435,5.580629585899898,6.211290310609081,6.442781478515785,6.854594526568147,5.73438285303148,4.301897712920833,5.654882309591658,5.725912977155828
000000000000000000f2,Tha Phae,4.9958080770127005,6.063678026228618,6.351474818412479,6.3020756604243315,5.799578103165759,5.6569839379853075,4.35808429531391,5.777768631326036,5.6741129433094555
000000000000000000f3,La-Ngu,4.258973232762907,4.6247082098743135,5.6987535701328,5.727433397400548,6.391303950215981,4.659502145911117,4.038871566372161,6.444104504519112,5.288040668117954
000000000000000000f4,Thung Wa,4.189047314652707,4.753932230610963,5.588005309288009,5.903134997275785,5.141272803146583,5.410634365037958,3.651027051305366,5.377127506961271,5.005733210798873
000000000000000000f5,Manang,5.887739419008009,5.512728595015277,6.696297419243674,7.02467632842566,7.9135487801070115,5.084965972990469,4.541398747979618,6.0904324726938555,6.202629373322083
000000000000000000f6,Mueang Trang,4.800861361750062,1.4984854193677626,5.701418275783846,6.273138726010089,4.885959006665791,5.306581930903305,4.077542260735013,5.865777877799998,5.241675475996789
000000000000000000f7,Kantang,4.865558965853799,3.5818654086782997,5.771441573635691,5.945855285790773,5.2474061171706765,4.711842788687472,3.884619392866879,5.801035012593503,5.21740158637259
000000000000000000f8,Yan Ta Khao,5.768827575075869,4.741326727280393,6.248044813023054,6.94602946210118,5.578770632948852,4.2297672779161335,4.233863748200241,5.320437636176147,5.522647655149693
000000000000000000f9,Palian,4.487852697768516,4.551047447835543,6.163440984159499,6.32767886463383,5.086996196696038,4.75744751314698,4.111087306205336,5.013927949091272,5.145937200614644
000000000000000000fa,Sikao,5.223583456330293,,5.966892970703629,6.613337038096805,5.281769356654939,5.317334291029555,3.8039493692719173,6.1235415773851125,5.5339931029082825
000000000000000000fb,Huai Yot,5.3967611379404605,3.640379756449101,5.901432749750459,6.682855921850029,5.211787119837892,5.922705801121852,4.313579834907425,5.926428217005468,5.490555185289023
000000000000000000fc,Wang Wiset,5.278049699270988,1.859377696262327,5.685360050564055,6.184099390318119,5.1467244425616165,5.323707551034813,4.207937356592305,6.1134577203428275,5.418081556438505
000000000000000000fd,Na Yong,4.719764916931541,4.647064118343187,5.389991901401872,6.17859173125462,5.4040361092878895,4.855627277044977,4.428732259592904,5.950503887018336,5.250511209077763
000000000000000000fe,Ratsada,5.295220284183522,3.5319749153805935,6.151266593163821,5.949810014501499,3.7853878526880846,5.823736019859025,3.8691956934890865,5.569892035607795,5.215517549752391
000000000000000000ff,Hat Samran,3.9271925363782523,,5.637125012694469,5.839493161202272,5.775488490899224,4.2681302734694855,4.0245745755995275,6.710381862087222,5.705067152394455
00000000000000000117,Mueang Yala,4.08868521647228,4.997602396139386,4.6823867099938985,4.897925331828823,4.106364556373517,3.699829502764067,4.479362611783345,5.030572806126593,4.617083346258352
00000000000000000118,Betong,5.526067111523678,4.3754630497476965,5.256325503670855,5.167417738553446,5.3624996952445665,4.794933016989481,4.169759879862149,5.08101019734259,4.991205763246409
00000000000000000119,Bannang Sata,4.518650689383099,5.678599207008772,6.156297604101844,6.261178376357193,5.390817242556325,5.4567241469350405,5.596466651589804,5.844082588675834,5.596854309541893
0000000000000000011a,Than To,3.801727268644072,3.9444257364830864,5.085135851011284,4.764608829011403,4.071114931025939,3.9283881645372163,3.7597722866317946,4.6974044381101985,4.2581650640773825
0000000000000000011b,Yaha,5.695909769856982,5.772299909501835,4.8259133206544,5.5025822333043095,3.9698751178185723,3.8729842941902675,5.385071717625189,5.553140038046177,5.487073781696509
