system:index,admin2Name,SM,SM_1,SM_2,SM_3,SM_4,SM_5,SM_6,SM_7
00000000000000000025,Mueang Tak,20.522080462703084,18.344522412179973,16.554933231266485,92.18602109381652,173.1908394998725,178.67177000935624,116.48798162796635,70.45901590541808
00000000000000000026,Ban Tak,12.026381599259029,10.827192034578575,9.866309046001854,56.860080271688794,109.11570700833595,115.31748996603892,55.178156838530406,33.853357517752414
00000000000000000027,Sam Ngao,10.671177827750359,9.620697409538273,8.764703133670166,30.7317017610467,97.02116468561083,103.34171315090099,44.42489705324029,28.860564819952696
00000000000000000028,Mae Ramat,13.11138202892497,20.208818461859764,20.3734036443377,99.17978906698688,122.64192032579751,122.65119302459145,62.542024748081246,39.149992168328716
00000000000000000029,Tha Song Yang,73.2118527042578,89.8837950024659,87.93444435311525,175.95614006246922,261.2478259082689,302.73189215847447,255.10502219299696,206.60152885089596
0000000000000000002a,Mae Sot,33.27998981670061,48.90609470468432,70.87077393075354,200.2587372708758,248.80276985743373,248.80276985743373,184.9157484725051,132.83997454175147
0000000000000000002b,Phop Phra,62.08923164577568,72.7067719355364,95.47475988930489,236.7300911606707,346.8583998046557,346.8583998046557,286.13996418687935,229.20214064789198
0000000000000000002c,Umphang,128.15425462568325,170.5751859466146,212.93379130521993,335.7738020023734,438.60262080262083,438.7577562720421,376.4580370723227,318.2334319477178
0000000000000000002d,Wang Chao,31.637122557726446,29.253297069271767,26.145004440497342,121.19235124333925,242.71529751332156,242.71529751332156,181.60102131438725,127.30892539964476
000000000000000002c4,Mueang Loei,35.90300477747046,92.43075810912748,80.25161553935125,227.43791802866485,280.1674566255972,295.590897661554,232.48363716369118,177.48838948956504
000000000000000002c5,Na Duang,31.022832250034583,32.35172175356106,28.643576268842484,173.64386668510582,223.2761443783709,271.0435347808049,207.61489420550413,153.3554556769465
000000000000000002c6,Chiang Khan,49.03793070806512,89.68489208633089,78.84770920106018,232.37492427110934,294.7470087088224,365.0215638015903,303.83801590306695,248.23366149185915
000000000000000002c7,Pak Chom,51.521731985868044,65.28242543751539,67.26555747268094,237.23401528222826,306.8134746528633,363.6123408101224,302.34214115520484,247.4018650891463
000000000000000002c8,Dan Sai,47.151838407494154,81.59110655737703,70.1643442622951,222.02293325526932,274.2688524590164,314.0806381733022,252.85769320843096,199.69710772833722
000000000000000002c9,Na Haeo,52.53437139561707,62.94176598744072,58.31919774445726,180.8616685890042,222.54416250160196,257.8331795463283,206.49295142893763,162.77129309240033
000000000000000002ca,Phu Ruea,41.04103929924242,85.43098958333336,72.77843276515152,212.81751893939395,262.56438210227276,301.65369318181814,239.3697561553031,185.73517992424246
000000000000000002cb,Tha Li,44.4698584512906,134.06944213155705,117.01587962412276,277.1200190317592,320.8255858213393,334.5622457475913,271.76230522183886,216.8590222433687
000000000000000002cc,Wang Saphung,33.14077733381765,83.36881946966946,71.97442789683981,225.08041409371594,263.7950817290229,274.3007700690156,209.19296767163092,154.94647293861243
000000000000000002cd,Phu Kradueng,27.754515960230247,58.086855049712206,47.16301412872841,158.83724751439036,220.314275248561,256.4155520669807,191.1808267922554,135.95013082155938
000000000000000002ce,Phu Luang,35.797554347826086,95.4276601830664,82.88355263157898,230.23022025171625,274.9779462242563,282.6860697940503,216.81152745995422,161.6596538901602
000000000000000002cf,Pha Khao,27.945026695669377,37.2044492782282,31.758730472612235,167.5221277437216,205.40350009887285,251.06495946213172,185.473897567728,130.46982400632788
000000000000000002d0,Erawan,28.30557683101963,32.04688846337962,28.1183820009574,178.0635232168502,219.8967927237913,255.669459071326,189.80811393011015,135.46400191479177
000000000000000002d1,Nong Hin,31.44156472986748,74.12234964322121,60.02612130479103,200.00112130479107,253.1707441386341,266.7485983690112,200.77008154943928,145.9545107033639
000000000000000000ef,Mueang Satun,167.71196564123056,239.19864163004408,239.22017578905323,235.72042548941275,239.22017578905323,239.22017578905323,239.22017578905323,239.08244107071525
000000000000000000f0,Khuan Don,145.6336377473364,228.57130898021316,232.55833333333334,232.44265601217657,232.55833333333334,232.55833333333334,232.55833333333334,232.55833333333334
