system:index,admin2Name,T_MAX,T_MAX_1,T_MAX_2,T_MAX_3,T_MAX_4,T_MAX_5,T_MAX_6,T_MAX_7,T_Min,T_Min_1,T_Min_2,T_Min_3,T_Min_4,T_Min_5,T_Min_6,T_Min_7,T_Mean,T_Mean_1,T_Mean_2,T_Mean_3,T_Mean_4,T_Mean_5,T_Mean_6,T_Mean_7
00000000000000000025,Mueang Tak,33.83288131009618,30.661738960461765,29.23501834184698,29.185558014698543,31.153354931953643,31.504167311448338,31.425586324056017,30.680776923684544,24.427367937136943,24.366128253643353,24.132876294258338,23.82591583095455,23.679547757662288,23.20889554537262,21.653867733686422,19.871718836995836,28.295773029033978,26.94927415270685,26.254614520733195,25.985710806039688,26.807773066594073,26.73111242049782,25.958704372308215,24.853473147569225
00000000000000000026,Ban Tak,33.214288050047934,30.281166953897678,29.07785374216375,28.874868854422715,30.90265901544123,30.894456924838536,30.448662935749894,29.536128849551474,23.8099222390393,23.93394112747709,23.681554415699267,23.417901639902663,23.389703534872815,22.851442729935687,21.15913433403561,19.291420908724344,27.563759844490676,26.481353091122084,25.899260108747754,25.579526842667395,26.478409807869582,26.245393563031275,25.268305712067708,23.951762598898764
00000000000000000027,Sam Ngao,31.469493573427055,29.142480344513533,28.222770489166432,27.94107852370358,29.89977094189693,29.58471885261724,28.88712108402347,27.64891135782485,22.31601634705824,22.818630068254063,22.752556503391485,22.508448774514324,22.274898984055618,21.44058823661833,19.461613519571713,17.61860045543487,26.024848090631746,25.299211083440728,24.949800562211543,24.651865824976166,25.396480052207377,24.863238194093345,23.663296002286483,22.18344327731523
00000000000000000028,Mae Ramat,31.189794782099852,28.07223730305681,26.843874997825736,26.71295888575587,29.455880224795763,29.912531641603447,29.56729168297379,28.420463249915716,22.24346456746111,22.59067348645239,22.27336654468956,22.12641948476701,22.161694966867092,21.397929341556477,19.500188160670646,17.875009206661385,25.833998830081875,24.656412541047324,24.00968810219803,23.855161271811156,25.024266034774215,24.8802000419481,23.94732442957756,22.642106325229204
00000000000000000029,Tha Song Yang,30.916086192358126,27.298505356198284,26.39959628241404,26.161444801754442,28.923266754453167,29.849588170127284,30.483386881389336,29.614214000114227,22.279519405062256,22.518831089564756,22.373441882360567,22.2255077543713,22.270959219856888,21.78585689332752,19.913666855342825,18.290466239672767,25.870650635068394,24.397518952687598,23.917381990523584,23.770766712370396,24.875692216176855,25.070577439807725,24.628388354891847,23.430144144907736
0000000000000000002a,Mae Sot,32.598071412027124,28.46406131693152,27.065459122617046,27.054630865485993,29.793504000001214,31.062090227921242,31.073026134970743,30.235565177656113,23.22346331697683,23.212710826533787,22.834582808311776,22.639673516689225,22.78893026461388,22.169200497581873,20.223193799066625,18.803032638461058,27.007667906671532,25.24699403345951,24.464603844201342,24.333207480927843,25.58806854732455,25.828852689601003,24.958622989491545,23.977975559214094
0000000000000000002b,Phop Phra,31.47026584101661,27.91227729348578,26.40740459666535,26.45555835200293,28.97538026697498,30.183603653253314,29.697878714168798,28.811550177339885,22.419967172660105,22.48975087782918,22.191411749147925,21.95280929565432,22.04465028650623,21.46932685702457,19.483162548588794,18.157697245983954,26.034585577272924,24.583075579474976,23.844655651017757,23.674499110801577,24.79450157315126,25.008227314668567,23.830333781522885,22.903269010761644
0000000000000000002c,Umphang,29.918837704838992,26.83706698329845,25.141125410458674,25.170989356536055,27.830880372279637,29.436583826605137,28.753490143038462,27.712100161741112,21.288397516352155,21.53474140611167,21.211114045517398,21.028347793143688,20.993727467885723,20.663844186597185,18.59442226685536,17.477267765928186,24.611039012792375,23.545601753647162,22.772427490456746,22.657672616958255,23.63235541326127,24.176169370470994,22.939408798233238,22.05285459642621
0000000000000000002d,Wang Chao,31.20658629150393,29.106040974934917,27.605905517578144,27.80739892578127,29.652047139485695,29.977279410807313,29.24953875732424,28.321137397317347,22.83581347656252,23.12372150472007,22.966954715983093,22.632107914225283,22.374357588704452,21.798528564453143,19.892994258626324,18.406687995461883,26.230048246256533,25.520132271321636,24.906788248697936,24.683688789876324,25.460562304687517,25.272486519368513,23.94705946044924,22.850647223977507
000000000000000002c4,Mueang Loei,32.139033457096815,31.925094606767946,31.240942143860572,31.135590072961843,31.664733260892227,31.69990953279024,30.994983642942273,29.703353788263183,23.79845318435114,24.8298614752284,24.84132919823566,24.546864474735386,23.999868064385424,23.093375332439084,20.624899767620388,18.82285889531301,27.289498917297347,27.781666845994444,27.59299754257262,27.25079174795587,27.332042983678836,26.841266854532993,25.284629750091785,23.959879445646912
000000000000000002c5,Na Duang,32.28540491117104,32.11096020134131,31.44339845618426,31.266126951879407,31.914772371045608,31.978572414683672,31.250007878517643,29.76195251904475,24.02960433440957,25.059334610919585,25.122771718550723,24.809601063631042,24.20207250166915,23.29619206538819,20.73607562837149,18.788489719313045,27.500423613048756,28.005770604140118,27.85185690120777,27.46998629926827,27.58253528828526,27.076270714584687,25.478081725243833,24.04759022230721
000000000000000002c6,Chiang Khan,32.28652800830954,31.957472710321433,31.58912299580758,31.263802308630915,31.817012897807228,32.10073752179244,31.49048719982175,30.050957248957342,23.82089662487877,24.988891478672944,25.01020969672493,24.692971388712316,24.08690860074107,23.216159218056376,20.884605817346785,18.829624622102525,27.41072844093547,27.93053497041367,27.795267546310274,27.369443762862463,27.471961749800126,27.01767739929611,25.539971456165034,23.978485292961064
