,admin2Pcode,year,district,area_planted_rai,area_harvested_rai,production_ton,yield_planted_kg_rai,yield_harvest_kg_rai
0,TH1003,2012,หนองจอก,66777,66521,45101,675,678
1,TH1003,2013,หนองจอก,66490,66174,44800,674,677
2,TH1003,2014,หนองจอก,59422,59395,39438,664,664
3,TH1003,2015,หนองจอก,51256,49434,33467,653,677
4,TH1003,2016,หนองจอก,53404,52884,34903,654,660
5,TH1003,2017,หนองจอก,51952,51432,34511,664,671
6,TH1003,2018,หนองจอก,50043,49834,33189,663,666
7,TH1003,2020,หนองจอก,51120,51100,34850,682,682
8,TH1005,2012,บางเขน,915,897,509,556,567
9,TH1005,2013,บางเขน,1022,1022,585,572,572
10,TH1005,2014,บางเขน,743,743,418,563,563
11,TH1005,2015,บางเขน,662,662,371,560,560
12,TH1005,2016,บางเขน,743,743,461,620,620
13,TH1005,2017,บางเขน,635,635,409,644,644
14,TH1005,2018,บางเขน,544,544,325,597,597
15,TH1005,2020,บางเขน,470,470,320,681,681
16,TH1010,2012,มีนบุรี,4135,4063,2917,705,718
17,TH1010,2013,มีนบุรี,3873,3805,2721,703,715
18,TH1010,2014,มีนบุรี,3332,3326,2358,708,709
19,TH1010,2015,มีนบุรี,2745,2745,1916,698,698
20,TH1010,2016,มีนบุรี,2976,2956,2031,682,687
21,TH1010,2017,มีนบุรี,2810,2790,1947,693,698
22,TH1010,2018,มีนบุรี,2034,2029,1428,702,704
23,TH1010,2020,มีนบุรี,2795,2795,1937,693,693
24,TH1011,2012,ลาดกระบัง,15863,15689,10261,647,654
25,TH1011,2013,ลาดกระบัง,15638,15599,10171,650,652
26,TH1011,2014,ลาดกระบัง,12582,12582,8090,643,643
27,TH1011,2015,ลาดกระบัง,9256,9238,6005,649,650
28,TH1011,2016,ลาดกระบัง,12302,12246,7911,643,646
29,TH1011,2017,ลาดกระบัง,12168,12168,8359,687,687
30,TH1011,2018,ลาดกระบัง,11158,11158,7710,691,691
31,TH1011,2020,ลาดกระบัง,11690,11685,8121,695,695
32,TH1023,2013,หนองแขม,117,117,79,678,678
33,TH1023,2014,หนองแขม,136,136,89,654,654
34,TH1023,2015,หนองแขม,80,80,52,650,650
35,TH1023,2016,หนองแขม,73,73,47,644,644
36,TH1023,2018,หนองแขม,54,54,34,630,630
37,TH1023,2020,หนองแขม,106,106,58,547,547
38,TH1027,2016,บึงกุ่ม,10,10,7,700,700
39,TH1027,2017,บึงกุ่ม,20,20,14,700,700
40,TH1032,2013,ประเวศ,62,62,40,651,651
41,TH1032,2014,ประเวศ,62,62,39,629,629
42,TH1032,2015,ประเวศ,62,62,38,613,613
43,TH1032,2016,ประเวศ,62,62,38,613,613
44,TH1032,2017,ประเวศ,62,62,39,629,629
45,TH1032,2018,ประเวศ,62,62,36,581,581
46,TH1032,2020,ประเวศ,90,90,62,689,689
47,TH1035,2012,จอมทอง,20987,20060,12598,600,628
48,TH1035,2013,จอมทอง,19164,18187,11531,602,634
49,TH1035,2014,จอมทอง,14827,14827,9015,608,608
50,TH1035,2015,จอมทอง,14518,14425,8727,601,605
51,TH1035,2016,จอมทอง,12149,12056,7306,601,606
52,TH1035,2017,จอมทอง,12235,12154,7487,612,616
53,TH1035,2018,จอมทอง,13003,12929,7822,602,605
54,TH1035,2020,จอมทอง,16614,16546,9845,593,595
55,TH1040,2013,บางแค,36,36,24,679,679
56,TH1040,2014,บางแค,36,36,24,667,667
57,TH1040,2016,บางแค,43,43,28,651,651
58,TH1042,2012,สายไหม,2248,2225,1540,685,692
59,TH1042,2013,สายไหม,2019,1963,1353,670,689
60,TH1042,2014,สายไหม,2000,2000,1310,655,655
61,TH1042,2015,สายไหม,1523,1469,1002,658,682
62,TH1042,2016,สายไหม,1346,1330,876,651,659
63,TH1042,2017,สายไหม,1120,1120,703,628,628
64,TH1042,2018,สายไหม,931,931,596,640,640
65,TH1042,2020,สายไหม,1090,1090,732,672,672
66,TH1043,2012,คันนายาว,392,385,275,702,714
67,TH1043,2013,คันนายาว,325,325,231,711,711
68,TH1043,2014,คันนายาว,367,367,252,687,687
69,TH1043,2015,คันนายาว,108,108,75,694,694
70,TH1043,2016,คันนายาว,173,173,119,688,688
71,TH1043,2017,คันนายาว,218,218,146,670,670
72,TH1043,2018,คันนายาว,240,240,163,679,679
73,TH1043,2020,คันนายาว,45,45,31,689,689
74,TH1044,2012,สะพานสูง,385,378,263,683,696
75,TH1044,2013,สะพานสูง,397,397,277,698,698
76,TH1044,2014,สะพานสูง,251,251,171,681,681
77,TH1044,2015,สะพานสูง,189,189,124,656,656
78,TH1044,2016,สะพานสูง,155,155,101,652,652
79,TH1044,2017,สะพานสูง,59,59,39,661,661
80,TH1044,2018,สะพานสูง,104,104,69,663,663
81,TH1044,2020,สะพานสูง,90,90,63,700,700
82,TH1046,2012,คลองสามวา,21785,21572,14971,687,694
83,TH1046,2013,คลองสามวา,18187,17856,12499,687,700
84,TH1046,2014,คลองสามวา,16694,16688,11615,696,696
85,TH1046,2015,คลองสามวา,14277,14189,9734,682,686
86,TH1046,2016,คลองสามวา,16714,16509,11127,666,674
87,TH1046,2017,คลองสามวา,15383,15383,10260,667,667
88,TH1046,2018,คลองสามวา,15475,15443,10347,669,670
89,TH1046,2020,คลองสามวา,15110,15090,10276,680,681
90,TH1048,2012,ทวีวัฒนา,802,790,525,655,665
91,TH1048,2013,ทวีวัฒนา,1282,1282,873,681,681
92,TH1048,2014,ทวีวัฒนา,884,884,576,652,652
93,TH1048,2015,ทวีวัฒนา,624,624,412,660,660
94,TH1048,2016,ทวีวัฒนา,885,885,582,658,658
95,TH1048,2017,ทวีวัฒนา,836,836,556,665,665
96,TH1048,2018,ทวีวัฒนา,497,497,308,620,620
97,TH1048,2020,ทวีวัฒนา,495,495,331,669,669
98,TH1050,2013,บางบอน,33,33,22,677,677
99,TH1102,2012,บางบ่อ,36975,36829,29426,796,799
100,TH1102,2013,บางบ่อ,24585,24435,19597,797,802
101,TH1102,2014,บางบ่อ,28669,28594,22932,800,802
102,TH1102,2015,บางบ่อ,15802,15733,11611,735,738
103,TH1102,2016,บางบ่อ,14112,14009,10787,764,770
104,TH1102,2017,บางบ่อ,15283,15226,11450,749,752
105,TH1102,2018,บางบ่อ,14352,14331,10333,720,721
106,TH1103,2012,บางพลี,210,210,176,838,838
107,TH1103,2013,บางกลํคglyphูํภา,1873,1850,797,426,431
108,TH1103,2014,บางกลํคglyphูํภา,1973,1973,805,408,408
109,TH1103,2015,บางกลํคglyphูํภา,1785,1745,715,401,410
110,TH1103,2016,บางกลํคglyphูํภา,1861,1846,803,431,435
111,TH1103,2017,บางกลํคglyphูํภา,1464,1439,619,423,430
112,TH1103,2018,บางกลํคglyphูํภา,1671,1671,752,450,450
113,TH1106,2012,บางเสาธง,7954,7954,6443,810,810
114,TH1106,2013,บางเสาธง,7953,7913,6425,808,812
115,TH1106,2014,บางเสาธง,9720,9693,7590,781,783
116,TH1106,2015,บางเสาธง,5688,5536,4235,745,765
117,TH1106,2016,บางเสาธง,4656,4650,3501,752,753
118,TH1106,2017,บางเสาธง,5040,5033,3800,754,755
119,TH1106,2018,บางเสาธง,4149,4140,2915,703,704
120,TH1106,2020,บางเสาธง,4166,4158,3044,731,732
121,TH1201,2012,เมืองนนทบุรี,25,25,19,760,760
122,TH1201,2013,เมืองนนทบุรี,25,25,19,760,760
123,TH1201,2014,เมืองนนทบุรี,25,25,18,720,720
124,TH1201,2015,เมืองนนทบุรี,25,25,18,720,720
125,TH1201,2016,เมืองนนทบุรี,25,25,18,720,720
126,TH1201,2017,เมืองนนทบุรี,25,25,18,720,720
127,TH1201,2018,เมืองนนทบุรี,25,25,18,720,720
128,TH1201,2020,เมืองนนทบุรี,25,25,18,720,720
129,TH1202,2012,บางกรวย,1699,1695,1219,717,719
130,TH1202,2013,บางกรวย,1339,1339,969,724,724
131,TH1202,2014,บางกรวย,1223,1223,857,701,701
132,TH1202,2015,บางกรวย,1100,1100,750,682,682
133,TH1202,2016,บางกรวย,1174,1174,790,673,673
134,TH1202,2017,บางกรวย,1300,1300,896,689,689
135,TH1202,2018,บางกรวย,960,960,643,670,670
136,TH1202,2020,บางกรวย,900,900,622,691,691
137,TH1203,2012,บางใหญ่,18077,17960,13183,729,734
138,TH1203,2013,บางใหญ่,17023,16921,12674,745,749
139,TH1203,2014,บางใหญ่,14574,14574,10348,710,710
140,TH1203,2015,บางใหญ่,10050,10030,6740,671,672
141,TH1203,2016,บางใหญ่,11691,11614,7805,668,672
142,TH1203,2017,บางใหญ่,11764,11707,8136,692,695
143,TH1203,2018,บางใหญ่,10615,10598,7207,679,680
144,TH1203,2020,บางใหญ,11636,11595,8314,715,717
145,TH1204,2012,บางบัวทอง,20125,20022,14796,735,739
146,TH1204,2013,บางบัวทอง,19021,18909,13974,735,739
147,TH1204,2014,บางบัวทอง,18597,18420,12931,695,702
148,TH1204,2015,บางบัวทอง,11739,11716,8084,689,690
149,TH1204,2016,บางบัวทอง,12489,12345,8358,669,677
150,TH1204,2017,บางบัวทอง,12633,12633,8742,692,692
151,TH1204,2018,บางบัวทอง,9339,9322,6386,684,685
152,TH1204,2020,บางบัวทอง,13069,13043,8987,688,689
153,TH1205,2012,ไทรน้อย,73311,72503,52130,711,719
154,TH1205,2013,ไทรน้อย,70855,70855,51441,726,726
155,TH1205,2014,ไทรน้อย,63969,63969,44650,698,698
156,TH1205,2015,ไทรน้อย,63745,63684,44642,700,701
157,TH1205,2016,ไทรน้อย,59333,58844,40661,685,691
158,TH1205,2017,ไทรน้อย,59914,59879,41077,686,686
159,TH1205,2018,ไทรน้อย,61795,61751,41435,671,671
160,TH1205,2020,ไทรน.อย,60243,60220,40889,679,679
161,TH1206,2012,ปากเกร็ด,6087,6005,4222,694,703
162,TH1206,2013,ปากเกร็ด,5305,5305,3772,711,711
163,TH1206,2014,ปากเกร็ด,3841,3841,2696,702,702
164,TH1206,2015,ปากเกร็ด,3091,3084,2143,693,695
165,TH1206,2016,ปากเกร็ด,3094,3071,2159,698,703
166,TH1206,2017,ปากเกร็ด,2570,2570,1853,721,721
167,TH1206,2018,ปากเกร็ด,2805,2805,1978,705,705
168,TH1206,2020,ปากเกร็ด,2931,2907,2035,694,700
169,TH1301,2012,เมืองปทุมธานี,17347,17297,12350,712,714
170,TH1301,2013,เมืองปทุมธานี,15638,15638,11197,716,716
171,TH1301,2014,เมืองปทุมธานี,18210,18165,12498,686,688
172,TH1301,2015,เมืองปทุมธานี,17302,17186,11686,675,680
173,TH1301,2016,เมืองปทุมธานี,16160,16062,10986,680,684
174,TH1301,2017,เมืองปทุมธานี,19392,19367,13363,689,690
