admin2Name,admin2Pcod,Year,ET,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,ET_7,Avg_ET,PET,PET_1,PET_2,PET_3,PET_4,PET_5,PET_6,PET_7,Avg_PET
Mueang Tak,TH6301,2016,169.16111228589557,111.63861281454852,106.85449355043353,108.14140410234722,104.0178050327765,118.49995770776063,106.94855149080145,64.70824698667796,111.24627299640517,174.6809050539226,123.21882004652142,114.1599703954325,108.14140410234722,104.0178050327765,118.49995770776063,106.94855149080145,101.3375555085642,118.87562116726582
Ban Tak,TH6302,2016,168.4277589453861,102.98067796610172,102.5280979284369,107.58749529190207,103.98990583804144,118.04365348399249,105.96994350282485,63.13190207156308,109.08242937853107,175.2835404896422,122.46090395480228,113.16907721280604,107.58749529190207,103.98990583804144,118.04365348399249,105.96994350282485,99.80538606403013,118.28873822975518
Sam Ngao,TH6303,2016,166.80542138984723,83.42508624938392,79.54307540660425,108.31315919172006,106.0685066535239,118.71513060620994,105.24682109413504,63.281419418432726,103.92482750123213,176.68289797930015,124.48708723509118,114.5503203548546,109.57762444553967,106.0685066535239,118.71513060620994,105.24682109413504,98.92695909314935,119.28191843272548
Mae Ramat,TH6304,2016,165.1202647058824,113.06714705882354,101.95238235294121,97.00158823529414,96.09194117647058,114.23652941176474,105.30776470588238,63.64447058823531,107.05276102941176,165.1202647058824,113.06714705882354,101.95238235294121,97.00158823529414,96.09194117647058,114.23652941176474,105.30776470588238,99.77717647058823,111.56934926470585
Tha Song Yang,TH6305,2016,166.38909090909092,112.42545454545456,101.52727272727273,96.72545454545454,97.07818181818183,113.45818181818181,105.90545454545455,63.812727272727265,107.16522727272726,166.38909090909092,112.42545454545456,101.52727272727273,96.72545454545454,97.07818181818183,113.45818181818181,105.90545454545455,99.62727272727274,111.64204545454545
Mae Sot,TH6306,2016,162.6934730379071,110.99320608649228,99.97083555792848,94.27430592632142,93.51288040576617,113.70846235985051,107.51195942338494,64.38392952482648,105.88113154030967,162.6934730379071,110.99320608649228,99.97083555792848,94.27430592632142,93.51288040576617,113.70846235985051,107.51195942338494,100.89903897490659,110.44552022156971
Phop Phra,TH6307,2016,159.27632363907531,109.14052945563012,99.11129753914987,93.07162565249813,91.30093214019386,111.96854958985828,107.03055555555554,64.2985085756898,104.39979026845636,159.27632363907531,109.14052945563012,99.11129753914987,93.07162565249813,91.30093214019386,111.96854958985828,107.03055555555554,100.94623415361671,108.98075596569723
Umphang,TH6308,2016,157.3262260127932,109.23688699360342,99.16311300639659,93.54818763326226,91.10724946695098,112.08656716417912,107.20000000000002,64.39189765458423,104.25751599147124,157.3262260127932,109.23688699360342,99.16311300639659,93.54818763326226,91.10724946695098,112.08656716417912,107.20000000000002,101.33710021321961,108.87566631130065
Wang Chao,TH6309,2016,168.70499414748346,119.4117050331643,110.48591494342567,104.14896605540385,100.20963714397192,116.9491611392899,107.97151775263363,65.26285602809209,111.64309403043308,170.27729223566138,119.4117050331643,110.48591494342567,104.14896605540385,100.20963714397192,116.9491611392899,107.97151775263363,102.45329691767462,116.48843640265318
Mueang Loei,TH4201,2016,165.19014722536807,129.17126274065686,124.60583238958097,117.20087768969422,106.13406002265006,113.6960362400906,91.17341449603624,62.27383918459795,113.68068374858436,165.19014722536807,129.17126274065686,124.60583238958097,117.20087768969422,106.13406002265006,113.6960362400906,101.28032276330691,99.8928652321631,119.64642553793884
Na Duang,TH4202,2016,163.33154362416107,129.8653403643337,125.60627996164912,117.86045062320231,105.15057526366252,113.35062320230108,88.72310642377758,61.84352828379676,113.2164309683605,163.33154362416107,129.8653403643337,125.60627996164912,117.86045062320231,105.15057526366252,113.35062320230108,102.0215723873442,101.07991371045064,119.78328739213808
Chiang Khan,TH4203,2016,163.91993983669963,129.01731843575422,123.9892565535024,116.80511388053291,106.38315427589171,114.31920928233778,93.66944563816074,62.24645466265579,113.79373657069188,163.91993983669963,129.01731843575422,123.9892565535024,116.80511388053291,106.38315427589171,114.31920928233778,100.47554791577137,97.67529007305546,119.07310378169318
Pak Chom,TH4204,2016,160.35000000000002,127.85,122.25,116.25,104.5,112.95000000000002,90.20000000000002,61.1,111.93125,160.35000000000002,127.85,122.25,116.25,104.5,112.95000000000002,100.15,96.95,117.65625
Dan Sai,TH4205,2016,163.3372279495991,124.6922107674685,120.45979381443301,112.24627720504012,104.59812905689198,112.87136311569303,84.43745704467355,60.72802596410845,110.42131061473847,163.3372279495991,124.6922107674685,120.45979381443301,112.24627720504012,104.59812905689198,112.87136311569303,100.28449789996183,99.55502100038184,117.25556510118368
Na Haeo,TH4206,2016,165.3755162241888,125.67699115044248,120.5542772861357,113.05221238938053,106.1731563421829,114.6424778761062,87.12153392330384,61.40265486725664,111.74985250737463,165.3755162241888,125.67699115044248,120.5542772861357,113.05221238938053,106.1731563421829,114.6424778761062,100.57138643067847,99.12772861356933,118.14671828908556
Phu Ruea,TH4207,2016,161.59220665499126,124.8816112084063,120.87346760070051,112.99028021015761,104.19448336252191,111.74387040280212,84.51147110332751,60.619176882661996,110.17582092819615,161.59220665499126,124.8816112084063,120.87346760070051,112.99028021015761,104.19448336252191,111.74387040280212,100.07381786339755,99.57329246935201,116.99037872154118
Tha Li,TH4208,2016,166.46382853787438,128.23129770992367,123.59776864357018,115.26283029947153,107.21473869641808,114.84216089254255,89.64198473282444,61.38954785672343,113.33051967116852,166.46382853787438,128.23129770992367,123.59776864357018,115.26283029947153,107.21473869641808,114.84216089254255,100.82783323546683,98.36928948913682,119.3512184380505
Wang Saphung,TH4209,2016,167.30722371967659,129.68681042228215,125.35141060197667,118.22080862533694,107.04434860736748,114.58740341419589,88.09672955974845,62.46012578616354,114.09435759209344,167.30722371967659,130.31717879604673,125.35141060197667,118.22080862533694,107.04434860736748,114.58740341419589,102.51730458221027,102.92711590296496,121.03409928122194
Phu Kradueng,TH4210,2016,165.0506154960174,111.60738595220855,121.49337436640118,119.27744388124547,107.31162201303404,116.01965966690804,81.67150615496018,54.30832729905864,109.59249185372919,167.8921071687183,132.59797248370745,127.36871832005794,119.31654598117306,107.31162201303404,116.01965966690804,103.85340333091963,105.9690441708907,122.54113414192612
Phu Luang,TH4211,2016,167.82876784769962,129.91295610787944,125.04912744579589,117.46171337916448,107.01639344262294,114.78884188260179,85.90671602326813,61.76964569011106,113.71677022739294,167.82876784769962,130.0657852987837,125.04912744579589,117.46171337916448,107.01639344262294,114.78884188260179,103.39344262295083,103.2988894764675,121.11287017451085
Pha Khao,TH4212,2016,167.30469297221578,118.67261265468133,123.8784730329209,119.36233948167174,107.52283446182584,115.5913611954238,83.77893999533038,56.627317300957266,111.59232138687838,167.30469297221578,132.481811814149,126.90016343684336,119.36233948167174,107.52283446182584,115.5913611954238,104.20275507821621,105.81396217604484,122.39749007704881
Erawan,TH4213,2016,165.84622807017547,128.8313450292398,125.96192982456144,118.62190058479533,106.26447368421054,114.12511695906434,87.55853801169592,61.84959064327486,113.63239035087722,165.84622807017547,130.5977485380117,125.96219298245617,118.62190058479533,106.26447368421054,114.12511695906434,103.01880116959066,103.17622807017548,120.95158625730997
Nong Hin,TH4214,2016,167.3799367374605,126.06000903750568,125.67207410754634,118.09561680976053,106.73727971079983,114.99290555806597,85.9641211025757,61.13425214640759,113.25452440126529,167.3799367374605,131.35802078626304,125.6913239945775,118.09561680976053,106.73727971079983,114.99290555806597,103.55173971983734,103.78676005422504,121.44919792137375
Mueang Satun,TH9101,2016,127.06333771353484,116.39842312746386,119.5,123.89894875164258,122.89737187910644,116.66438896189226,107.26859395532195,106.80210249671485,117.56164586070958,127.06333771353484,116.39842312746386,119.5,123.89894875164258,122.89737187910644,116.66438896189226,107.26859395532195,106.80210249671485,117.56164586070958
Khuan Don,TH9102,2016,129.68888888888893,117.85000000000002,120.14444444444445,126.00555555555556,123.72777777777779,118.10555555555554,107.79444444444444,107.22222222222223,118.81736111111111,129.68888888888893,117.85000000000002,120.14444444444445,126.00555555555556,123.72777777777779,118.10555555555554,107.79444444444444,107.22222222222223,118.81736111111111
Khuan Kalong,TH9103,2016,130.8712757830405,118.68326967150496,121.91558441558443,127.70741023682203,124.62964094728801,118.5525592055004,108.9210847975554,108.66546982429337,119.99328686019864,130.8712757830405,118.68326967150496,121.91558441558443,127.70741023682203,124.62964094728801,118.5525592055004,108.9210847975554,108.66546982429337,119.99328686019864
Tha Phae,TH9104,2016,129.79744572158367,118.65185185185186,122.31034482758622,127.11545338441888,124.47675606641124,118.36232439335889,109.10089399744574,108.17011494252873,119.74814814814816,129.79744572158367,118.65185185185186,122.31034482758622,127.11545338441888,124.47675606641124,118.36232439335889,109.10089399744574,108.17011494252873,119.74814814814816
La-Ngu,TH9105,2016,131.04814814814816,120.10115740740741,123.37418981481483,129.8880787037037,124.84837962962963,119.16064814814817,111.11469907407408,112.00462962962965,121.44249131944447,131.04814814814816,120.10115740740741,123.37418981481483,129.8880787037037,124.84837962962963,119.16064814814817,111.11469907407408,112.00462962962965,121.44249131944447
Thung Wa,TH9106,2016,,,,,,,,,,,,,,,,,,
Manang,TH9107,2016,131.8458092485549,119.19913294797688,122.02745664739884,130.71806358381502,125.76401734104044,119.18323699421966,110.5219653179191,109.71893063583815,121.12232658959539,131.8458092485549,119.19913294797688,122.02745664739884,130.71806358381502,125.76401734104044,119.18323699421966,110.5219653179191,109.71893063583815,121.12232658959539
Mueang Trang,TH9201,2016,136.51600955794507,120.41505376344087,124.08458781362009,133.10071684587814,125.42962962962964,121.18016726403823,112.89151732377539,111.64372759856633,123.15767622461173,136.51600955794507,120.41505376344087,124.08458781362009,133.10071684587814,125.42962962962964,121.18016726403823,112.89151732377539,111.64372759856633,123.15767622461173
Kantang,TH9202,2016,139.0,122.7,126.4,134.3,126.4,122.7,115.5,116.80000000000001,125.47500000000002,139.0,122.7,126.4,134.3,126.4,122.7,115.5,116.80000000000001,125.47500000000002
Yan Ta Khao,TH9203,2016,138.4534759358289,121.7974450386215,125.86423054070114,133.0669043374926,127.31925133689842,123.42430184194892,113.7673796791444,111.99150326797385,124.46056149732624,138.4534759358289,121.7974450386215,125.86423054070114,133.0669043374926,127.31925133689842,123.42430184194892,113.7673796791444,111.99150326797385,124.46056149732624
