admin2Name,admin2Pcod,Year,EVI,EVI_1,EVI_2,EVI_3,EVI_4,EVI_5,EVI_6,EVI_7,EVI_p75
Mueang Tak,TH6301,2017,0.4187182745517074,0.49766445322633124,0.5005059955141353,0.5540401108420993,0.5732574212561917,0.5782021298994046,0.5274518913155163,0.40697975425266764,0.5036883688848116
Ban Tak,TH6302,2017,0.46303992468080696,0.5404398438546795,0.44377445251248915,0.4855063620522784,0.5230636162515765,0.5853183144811557,0.5372792668221072,0.41968507697826435,0.5043329092056291
Sam Ngao,TH6303,2017,0.496148216497768,0.549000465482123,0.5363553809331656,0.5331014794671611,0.5308890694934855,0.5281438135795191,0.46874861230680875,0.42881476792295636,0.5061998109740207
Mae Ramat,TH6304,2017,0.2654327594269154,0.4927846210850144,,0.6577250098271628,0.523898129541625,0.5640153175817382,0.4845126597777214,0.3476636439886555,0.4477139540915984
Tha Song Yang,TH6305,2017,0.34120618576382905,,,0.5049881729797734,0.6285287038270292,0.640860185123236,0.547118221420222,0.4586858994826845,0.5184471578983587
Mae Sot,TH6306,2017,0.29180065976216363,0.46128537752587206,,0.5452561660380659,0.5239029763883288,0.546899051150137,0.4780956555899999,0.34257936891194274,0.4381312439769683
Phop Phra,TH6307,2017,0.32639667849580295,0.35050970798554265,,0.4963680790236914,0.4729993031006921,0.5015961446868746,0.5054767654970861,0.39940754566852993,0.43964076441694677
Umphang,TH6308,2017,0.38208231292666245,0.5072426503615328,,0.6211740089200251,0.5847576852195211,0.5209333238879371,0.4854055931908707,0.3681784390596595,0.49036753296250035
Wang Chao,TH6309,2017,0.4341105519383072,0.48479879650113683,0.471502982380472,0.5897097626051859,0.5651311072240653,0.5644216701997544,0.5212103429714977,0.44628659429064416,0.5133546712142184
Mueang Loei,TH4201,2017,0.39173444878818625,0.49206230468911183,,0.5405942871758151,0.5254023696670174,0.5658794174907062,0.43699178825170015,0.38650989541896114,0.45690602898705507
Na Duang,TH4202,2017,0.362450965179208,0.466405804332571,,0.5619304868300259,0.5476334457191274,0.67516646745256,0.48246705659387706,0.40494317743523445,0.4856153334890686
Chiang Khan,TH4203,2017,0.38343481407382846,0.45376291748767894,,0.5162356528967936,0.541002222862528,0.5638164917531103,0.4844921780694437,0.3675328153844999,0.46449582215419427
Pak Chom,TH4204,2017,0.6418281634023201,0.4752369297790354,,0.5479178719503126,0.5266823641855218,0.5882497583548807,0.47745170240743484,0.3608927231703217,0.5117193790356749
Dan Sai,TH4205,2017,0.4040274729713233,0.4359837496110274,,0.6251971677750155,0.5488204918289117,0.5339533318921048,0.4463513741039309,0.3850871223058487,0.46116501893053685
Na Haeo,TH4206,2017,0.4178976442239357,0.5131468404325468,,0.6267450470569201,0.5849057749977085,0.5617789081780729,0.5166839569425614,0.42524756857483414,0.4975138129271594
Phu Ruea,TH4207,2017,0.4221305360644343,0.5098458763965723,,0.5978575418658366,0.5385513356182109,0.5422632399338578,0.4437207190556482,0.3823746043822958,0.4609876111967117
Tha Li,TH4208,2017,0.40717490913126236,0.4908559255471131,,0.5880174654854251,0.5236760568587407,0.5916725467091465,0.4777484385892393,0.37218872068536596,0.4702207321846454
Wang Saphung,TH4209,2017,0.36784041151475505,0.4527686715150553,,0.543715492757069,0.5085384750872283,0.5643902938298951,0.4504981690348399,0.41515345537562054,0.444614635664444
Phu Kradueng,TH4210,2017,0.41825125446082995,0.4759852534493456,,0.5450350282792349,0.5399244684646061,0.623783700298604,0.4620883356879917,0.3807924989262158,0.476613326194934
Phu Luang,TH4211,2017,0.37597967452129943,0.451555599199524,,0.5378000234110785,0.5085864359274564,0.5841573280361143,0.45195582164174614,0.40872994917326566,0.44573119316938836
Pha Khao,TH4212,2017,0.36436000443048777,0.44972893046696266,,0.5576495857189623,0.5643951338061116,0.7705174055357076,0.508579630444973,0.4111837054629314,0.5050335084219288
Erawan,TH4213,2017,0.35029869032912386,0.4580814096290837,0.5558384542846491,0.6180417873252981,0.5723157997970771,0.6731022130265062,0.5011682694211556,0.4623262962826683,0.49669356001533865
