admin2Name,admin2Pcod,Year,GCI,GCI_1,GCI_2,GCI_3,GCI_4,GCI_5,GCI_6,GCI_7,GCI_p75
Mueang Tak,TH6301,2016,1.668852772153114,2.703737715031731,3.6599537344420603,3.9972884830625763,3.747472297021864,5.235675309953614,5.953233447566661,4.158617174709026,3.946717639544321
Ban Tak,TH6302,2016,1.8888004671934082,2.46130548785193,3.4738173495116658,3.4131689790699733,4.116713363303857,5.579516842681365,5.579624231061029,3.8201258328406005,3.9925028049333644
Sam Ngao,TH6303,2016,2.0320518352097863,2.3978991236540734,3.176702208739397,3.9288833337455142,4.519236810203683,5.28677630034213,4.867466124348106,3.9078490893211035,3.986966773870063
Mae Ramat,TH6304,2016,1.5573475278621813,1.872471350727055,7.06708013885351,4.702079713626969,5.004952598198667,4.55460903863161,4.170810377586883,3.172818071391006,3.488654504396218
Tha Song Yang,TH6305,2016,1.776917851755425,2.009709313084534,2.426045104111461,4.536788143810773,5.106290663868972,5.47653313971105,5.003380787569742,4.6779351576088155,4.1653113481511665
Mae Sot,TH6306,2016,1.5096620164035284,1.5125951472669987,3.412475070758054,3.7790320487469793,4.17852919251696,4.297930373818617,4.419225894676825,2.992487185298175,3.33990859691575
Phop Phra,TH6307,2016,1.9378996615654969,1.8707084794179178,3.1843426896894713,3.9337364293273156,4.099130178959616,4.106594747534663,5.067163902531979,4.168600308605401,3.8095170629209494
Umphang,TH6308,2016,1.6824888579727235,1.503813790064701,3.792132003025777,5.350489701406635,5.651441898995856,5.11367810815595,4.255218880862782,3.4474847081951148,3.899626598053083
Wang Chao,TH6309,2016,1.7206565659020412,2.58576943335163,3.8705830945425754,3.983261938099089,4.029297896382396,5.109574579124875,5.840137467754508,4.721985135230428,4.100590685406772
Mueang Loei,TH4201,2016,2.1994659757920334,3.280670854304143,4.308133382286961,3.797585281537244,5.193887329340291,5.477806518124433,5.2852496500408535,4.933866878558096,4.29749071087236
Na Duang,TH4202,2016,1.9578766436601212,3.305861382522147,4.428145602228102,3.911954999412545,5.136915330756222,5.495572760574803,5.468967166955082,4.992498611681675,4.393911664990956
Chiang Khan,TH4203,2016,2.2561703513332882,3.1292960541522934,3.984386743545237,3.0701683111918756,4.739906135620736,5.099428402715226,5.075151539576282,4.706459697318798,4.079451847559716
Pak Chom,TH4204,2016,2.862308413414453,3.5887652675392325,4.52855474041676,3.7597741973860894,4.320859469374896,4.898521192155163,5.143245096000856,4.7186527516219225,4.238588387935759
Dan Sai,TH4205,2016,2.024095827738856,2.8332000862621416,4.131159173890856,4.3780189110904875,4.252236958173891,4.994010457652452,4.682846838344971,4.408658586914991,4.003901209328562
Na Haeo,TH4206,2016,2.3859765068092704,3.499803476146339,3.98968758492899,3.463352307710947,4.328347468262819,5.208560580545716,5.132309139249606,4.42649582157166,4.08843379744711
Phu Ruea,TH4207,2016,2.3035072388645275,3.311255472801144,4.44506752354139,4.081089169924028,3.0285780230317383,5.197225472898988,5.2198599613622,4.952761352101345,4.250642339944287
Tha Li,TH4208,2016,2.4181072610649106,3.5140647659553848,4.396451015232214,4.022465008901598,5.042745501352509,5.607835123801532,5.422218411615969,4.964113447947319,4.416540134616598
Wang Saphung,TH4209,2016,1.830336963679169,2.9059012890016134,3.948807766556455,3.932712478634556,4.764107412280671,5.239322799091349,5.0462553171947375,4.575759133244886,4.005039770092911
Phu Kradueng,TH4210,2016,1.9600562901291447,2.8581365806649623,3.846327343219407,4.115373045733448,4.297630467684988,5.27531408162151,4.8882370129038994,4.520687020986069,3.9563619612009675
Phu Luang,TH4211,2016,1.6185989429890277,2.777083308553204,3.7182436676108095,3.6760204289243488,4.2938301464374335,5.281368540398822,5.276585318051594,4.7957828597423555,3.947070634978273
Pha Khao,TH4212,2016,2.134379699082605,3.091716904927944,3.918422568299975,4.43114185368756,4.315102611093112,5.263187888444773,4.9635299244300555,4.343789348611603,4.039672783083806
Erawan,TH4213,2016,2.121934837522459,3.162784016594823,4.441317584363915,4.316552764023975,4.50526820759414,5.589731345016437,5.43486797714452,4.927278959599237,4.326044546839676
Nong Hin,TH4214,2016,1.8786952784831283,3.1078002425956686,3.820540332214441,3.8821247536942827,3.8437073406749986,5.1060798796848275,4.7443530415331345,4.516874135065173,3.9099298299828624
Mueang Satun,TH9101,2016,2.522194292093879,3.797350545471403,4.293880995002859,3.9862133554197627,4.429924466988471,4.240824048930951,4.9490111848251885,5.3606539438697025,4.591512994601286
