admin2Name,admin2Pcod,Year,LAI,LAI_1,LAI_2,LAI_3,LAI_4,LAI_5,LAI_6,LAI_7,LAI_p75
Mueang Tak,TH6301,2014,1.0837336080710651,1.4777512862413287,1.5374231972504775,1.728019900219781,1.6694846060445854,2.063206823853754,1.8255711256154252,1.2856305905702199,1.6088279727555816
Ban Tak,TH6302,2014,1.0905281917949703,1.334178946107909,1.750883778857654,1.3762454352547844,1.6613919477386925,2.01285155873271,1.8617163274346955,1.3375071773103795,1.6086797306051073
Sam Ngao,TH6303,2014,1.213004097097277,1.452366533035054,1.7506023459692426,1.4717792316342457,1.5165332416716522,1.881708048798262,1.823233632842536,1.4393077607255267,1.5694732238336697
Mae Ramat,TH6304,2014,0.7091122428968812,,,,1.8840150389736645,1.8299898663891687,1.5615796675238576,1.062626683616012,1.3286330503265442
Tha Song Yang,TH6305,2014,0.9255547029967468,,,,2.186249279094709,2.25935473330337,1.9561143169032327,1.4015742466645102,1.7169941927936272
Mae Sot,TH6306,2014,0.6391251593387853,,,1.839102149848419,1.567712000526449,1.7379616951385144,1.5927885163512476,1.0874369817348797,1.3073519516633851
Phop Phra,TH6307,2014,0.7153547511271878,,,1.7876527155189539,1.3210016684269066,1.6464558662412472,1.7627250813486361,1.3643105632871184,1.4199871012799778
Umphang,TH6308,2014,0.9383798167727488,1.1185605407466077,1.9808383505939466,2.1983220070302236,1.819065865025569,1.7905516276537445,1.5992924832909972,1.2529106523422706,1.4438959091271475
Wang Chao,TH6309,2014,1.0102413382749418,,1.6918254815527818,2.1198099391422827,1.8783473173363012,2.271907238401199,2.0389359197738246,1.5167763652528041,1.6937874281832606
Mueang Loei,TH4201,2014,1.2693761102089696,,,,1.8459096370429118,1.934787078038019,1.645490308484423,1.25166547634954,1.5617071882462104
Na Duang,TH4202,2014,1.201800753106553,2.209977882858674,,,1.9049544420136755,1.8498897605513123,1.697259280043963,1.29359922809321,1.5531113380010613
Chiang Khan,TH4203,2014,1.2237372054790723,,,,1.8944985401259864,1.9501515941621186,1.5444791868286216,1.1858235837938835,1.5289159676442714
Pak Chom,TH4204,2014,1.4666000392390315,,,,1.7813434593690285,1.7574610174600125,1.5963130413338418,1.2291298856179407,1.5631356034269501
Dan Sai,TH4205,2014,1.1946726312225158,,,,1.9900360666305277,1.8265926290238244,1.602577385526714,1.1580194074229757,1.513217440301315
Na Haeo,TH4206,2014,1.4862026454634516,,,,2.074492245898448,1.9107645332618524,1.6687856005391535,1.1837831086293162,1.5866032314601706
Phu Ruea,TH4207,2014,1.3323858894471754,,,,1.9439108832137837,1.9291471361110915,1.6321499145649145,1.1887381187997756,1.5513330729136676
Tha Li,TH4208,2014,1.456498544651939,,,,1.9260583809087874,2.089711942571834,1.7422785466967765,1.2440896263431251,1.6687804771505808
Wang Saphung,TH4209,2014,1.297736511849942,,,,1.822204516522401,1.9545795466022302,1.7521163847894936,1.345457659610894,1.6144400878594563
Phu Kradueng,TH4210,2014,1.3549307408664886,1.5322336312191758,1.3040251934278833,,1.896206334434734,1.8895687316154353,1.7185423804775768,1.2001452342074626,1.5357125573866182
Phu Luang,TH4211,2014,1.1530793816983507,,,,1.8154181046210571,1.9325328444223326,1.7529539105898595,1.2547663989731401,1.5642313408353046
