admin2Name,admin2Pcod,Year,Tot_Prec,Tot_Prec_1,Tot_Prec_2,Tot_Prec_3,Tot_Prec_4,Tot_Prec_5,Tot_Prec_6,Tot_Prec_7,Total_Precipitation
Mueang Tak,TH6301,2020,83.64040408557383,115.0584713575016,65.25637068727086,151.4678326623619,204.6860782619901,229.01749637890444,47.64223437667013,0.2937481448548665,897.0626359551278
Ban Tak,TH6302,2020,76.71151617521058,112.43524032213504,56.20677970173951,135.7615783262361,196.00516535961683,245.27421931131164,57.261419345620524,0.0,879.6559185418703
Sam Ngao,TH6303,2020,78.26474920323128,86.51353899723264,54.568504592344766,149.87718511706564,201.06265049822187,213.58408570073846,70.78877892293777,0.0,854.6594930317724
Mae Ramat,TH6304,2020,63.496416203239384,214.7130039587325,131.4442361114656,269.95105847026787,225.5870092366256,232.5715712514578,45.49881189338059,0.0,1183.2621071251692
Tha Song Yang,TH6305,2020,84.52026671171188,235.81160283088684,150.3373775780201,326.67839908599854,238.78803396224976,204.2019166946411,43.783916145563126,0.0,1284.1215130090714
Mae Sot,TH6306,2020,58.36831357645418,191.10278957364253,165.1527472320037,274.0825618296937,214.49512259787122,213.3842319916092,34.527491599608425,0.02646064478197226,1151.139719045665
Phop Phra,TH6307,2020,87.587177681713,185.48430245866467,187.7296131303906,235.96685892567572,277.672831927967,241.90965893718297,26.257010709356848,1.7073600508179294,1244.3148138217687
Umphang,TH6308,2020,120.46570616868827,222.40493408716642,222.65898637404808,239.44409635617185,325.7345457040347,231.96458035248978,25.155491539033562,0.0,1387.8283405816326
Wang Chao,TH6309,2020,97.72151031228114,114.64753939340977,82.84725946638268,129.51201347328322,238.216513113165,230.30879141914676,49.86244904122521,0.5932853801349997,943.7093615990289
Mueang Loei,TH4201,2020,180.68263143035512,187.53625462322165,180.62589698981338,360.85417871432264,267.1500053936604,191.53647159517502,43.3351711001789,0.0,1411.7206098467273
Na Duang,TH4202,2020,200.6518385860937,206.41695268167922,208.04474629453154,437.24572293331164,318.87768209015013,205.608416916318,48.163873049737404,0.0,1625.0092325518217
Chiang Khan,TH4203,2020,206.4636690849412,233.80175568556132,181.03993411306877,437.92295474806474,270.4437679677323,174.0554767505653,35.761022227304984,0.0,1539.4885805772387
Pak Chom,TH4204,2020,,,,,,,,,
Dan Sai,TH4205,2020,131.95176616989338,184.99117836273535,125.0172175869704,249.41917460793275,239.13238360040071,215.6630483206892,52.780791221479184,0.0,1198.955559870101
Na Haeo,TH4206,2020,,,,,,,,,
Phu Ruea,TH4207,2020,143.50461339764297,164.32128061567033,112.51840450082508,276.3181677886418,223.0769807611193,196.4828908102853,49.102007802043644,0.0,1165.3243456762284
Tha Li,TH4208,2020,167.34313605833196,253.76145562316066,162.37078081005572,340.8231477711689,252.2510931714126,174.23951858627203,56.817429003204275,1.3151227218246087,1408.9216837454308
Wang Saphung,TH4209,2020,156.46661955778174,158.39008773072933,186.4160609755146,341.88098990060274,281.73255888678466,230.77490686244624,48.680490264698356,0.0,1404.3417141785576
Phu Kradueng,TH4210,2020,171.13075175082844,203.07343406882023,207.22928521603893,304.63712636663865,303.84061988160653,234.18616353646377,54.34863376195079,0.0,1478.4460145823473
Phu Luang,TH4211,2020,157.8015195036217,167.9778146499459,187.2987346719938,334.33907804927225,299.59702660203413,237.5961974401778,48.86682721138423,0.0,1433.4771981284298
Pha Khao,TH4212,2020,147.33434501015424,182.3095712123835,193.9542019937481,308.8659746653959,288.9881490809721,240.84718124425646,48.27257776366542,0.0,1410.5720009705756
Erawan,TH4213,2020,163.30234302379185,186.40469707404415,212.79481363513437,380.1156377056792,278.31902053249695,224.91625088665296,47.52924216563935,0.0,1493.3820050234385
Nong Hin,TH4214,2020,157.16112273497387,172.26907804287924,192.41163010679918,343.4156273530397,312.08340147892176,239.34434252005775,48.67510920575243,0.0,1465.3603114424238
Mueang Satun,TH9101,2020,271.14792862534523,429.7125024795532,508.34553933143616,373.459064245224,469.93900844454765,448.12186098098755,253.2568621635437,234.96202063560486,2988.9447869062424
Khuan Don,TH9102,2020,243.65919762849808,377.30364418029785,377.72470211982727,270.3072438240051,347.2316401004791,397.57366728782654,258.0007827281952,309.70772075653076,2581.50859862566
Khuan Kalong,TH9103,2020,260.2334301899333,404.3117290033113,393.4405394729124,299.31205599111155,350.2324727239959,401.8481911514877,273.0371113169084,334.93715126842534,2717.352681118086
Tha Phae,TH9104,2020,250.73086264697832,386.34524540298816,381.23387870625317,271.60524742268336,348.60551803878377,396.8112306749666,256.7343853181481,293.60383821969333,2585.6702064304945
La-Ngu,TH9105,2020,287.90955555628716,493.06945862377984,415.1443239561126,286.47535679764076,357.9647298385673,423.3640647048343,250.03637842664034,303.8271004401088,2817.790968343971
Thung Wa,TH9106,2020,,,,,,,,,
Manang,TH9107,2020,231.51648807525635,445.3766384124756,360.8640866279602,268.0389003753662,287.1451471596956,365.2453842163086,276.67080450057983,355.7519202232361,2590.6093695908785
Mueang Trang,TH9201,2020,248.45772033401678,389.0415104672878,343.09962691989125,258.69900062717966,394.27439179417644,450.39025804136367,239.31467176464537,411.6638211026977,2734.941001051259
Kantang,TH9202,2020,,,,,,,,,
Yan Ta Khao,TH9203,2020,258.15742269544035,389.5440473437309,376.87537871318705,274.4341796612038,400.702503291145,416.75796043487156,303.5398586234625,422.07672706772297,2842.0880778307637
Palian,TH9204,2020,279.4407306381737,416.5441787329065,358.39518086881526,252.99757552434164,348.10149159328455,362.720538708819,302.21729024562495,405.9502590248384,2726.367245336804
Sikao,TH9205,2020,,,,,,,,,
Huai Yot,TH9206,2020,,,,,,,,,
Wang Wiset,TH9207,2020,,,,,,,,,
Na Yong,TH9208,2020,268.2757546081496,404.60814711139176,366.1497401059335,273.0241611924036,399.0692674692183,467.71047277250653,269.6945244469272,438.680333867173,2887.2124015737036
Ratsada,TH9209,2020,232.91637015342712,292.58485889434814,247.72351574897766,168.1967430114746,351.81550163030624,400.61641025543213,313.13201808929443,575.053882598877,2582.0393003821373
Hat Samran,TH9210,2020,,,,,,,,,
Mueang Yala,TH9501,2020,,,,,,,,,
Betong,TH9502,2020,,,,,,,,,
Bannang Sata,TH9503,2020,,,,,,,,,
Than To,TH9504,2020,,,,,,,,,
Yaha,TH9505,2020,,,,,,,,,
Raman,TH9506,2020,140.91788536310196,327.264972448349,235.33198177814484,265.4109447002411,296.5698537826538,261.8351536989212,345.4304692745209,713.5344722270966,2586.2957332730293
Kabang,TH9507,2020,,,,,,,,,
Krong Pinang,TH9508,2020,,,,,,,,,
Mueang Trat,TH2301,2020,379.47799644186887,484.0312812335873,571.2710550874283,519.4825841247207,462.7025268689722,491.8388499483741,208.71545985194138,9.456621708143526,3126.9763752650356
Khlong Yai,TH2302,2020,,,,,,,,,
Khao Saming,TH2303,2020,373.3763112292644,445.9228138215744,469.84247428383253,459.50101773104495,433.0853175063338,448.5322052539394,208.07673639095148,8.203476735204674,2846.540352952146
Bo Rai,TH2304,2020,348.5395636761574,350.52400011062616,404.9885827470595,401.9505682163854,344.7424743046299,405.0140526760346,218.76622219024168,8.39934173230202,2482.9248056534366
Laem Ngop,TH2305,2020,319.59968185424805,600.319411277771,561.4725255966187,543.8975086212158,519.782347202301,566.4119972586632,199.05296802520752,8.413930535316467,3318.9503703713417
Ko Kut,TH2306,2020,,,,,,,,,
Ko Chang,TH2307,2020,,,,,,,,,
Mueang Phrae,TH5401,2020,132.06459704131848,137.51940516872125,169.38459847459265,427.05553891977314,216.61074956965996,69.32371324566212,32.39847590157941,4.330916299832817,1188.6879946211398
Rong Kwang,TH5402,2020,113.3982966086021,191.711980906247,207.36292741469205,448.70026120633554,224.37610776573322,68.6290213185881,34.27198155811764,5.99252533256167,1294.4431021108771
Long,TH5403,2020,122.8942065847755,164.42335006049493,161.3371952016179,476.87030041072427,213.23342409075758,89.93325705499183,43.502615087268104,6.335385312394398,1278.5297338030246
Sung Men,TH5404,2020,132.84967963157513,143.74448263841117,169.50876618752676,444.7827321524838,216.40511818882771,85.08041738073241,40.19787188470048,5.1913012047461216,1237.7603692690036
Den Chai,TH5405,2020,135.9559588330335,179.42488064379666,187.65689844858713,463.20195194551616,218.94867574524838,90.56361871591494,41.38960024781066,6.77461570157241,1323.9162002814796
Song,TH5406,2020,119.87040160996315,187.96061945084992,197.6509419334887,480.67436203307653,210.6143030954536,64.51953271860201,41.97025372302876,6.143106104354182,1309.4035206688168
Wang Chin,TH5407,2020,124.31058305501938,193.2883746623993,172.60325503349304,505.7450895309448,205.22493600845337,95.70632410049438,54.8111863322556,5.402577877044678,1357.0923266001046
Nong Muang Khai,TH5408,2020,110.33996979490064,170.17724103267028,188.40453550561216,429.371723855377,210.98094159023015,66.11411256623116,29.6856274982072,4.676719758161314,1209.7508716013897
Mueang Nan,TH5501,2020,115.9523222924831,249.32123602799007,224.8298201220376,384.38500705560057,255.9356116158622,73.70757403998148,51.04086758983987,0.7409700064432054,1355.9134087502382
Mae Charim,TH5502,2020,,,,,,,,,
Ban Luang,TH5503,2020,98.86421904340386,256.09663236141205,189.72719061374664,474.8359169960022,247.18781685829163,63.99950432777405,43.07254008948803,4.191826105117798,1377.9756463952363
