admin2Name,admin2Pcod,Year,SM,SM_1,SM_2,SM_3,SM_4,SM_5,SM_6,SM_7,F_SM
Mueang Tak,TH6301,2017,192.9841192641151,192.9841192641151,192.3980545569888,192.91983506026645,192.9841192641151,192.9841192641151,142.19181645168112,108.07014167900189,175.93954060054986
Ban Tak,TH6302,2017,112.59807909604521,112.59807909604521,110.91344632768363,111.49920903954805,112.59807909604521,112.59807909604521,62.54531073446328,39.55235404896422,96.862829566855
Sam Ngao,TH6303,2017,113.60418925579103,113.60418925579103,102.92996550024642,100.67634302612123,113.60418925579103,113.60418925579103,63.7610152784623,37.05751601774272,94.8551996057171
Mae Ramat,TH6304,2017,136.20650000000003,136.20650000000003,136.20650000000003,136.20650000000003,136.20650000000003,136.20650000000003,85.58932352941177,54.85650000000001,119.71060294117649
Tha Song Yang,TH6305,2017,321.0690909090909,341.80909090909097,341.80909090909097,341.80909090909097,341.80909090909097,341.80909090909097,290.7690909090909,248.8290909090909,321.2140909090909
Mae Sot,TH6306,2017,285.64042979177793,285.64042979177793,285.64042979177793,285.64042979177793,285.64042979177793,285.64042979177793,234.5448878804058,194.1469834490123,267.81680626001076
Phop Phra,TH6307,2017,377.23603653989557,377.23603653989557,377.23603653989557,377.23603653989557,377.23603653989557,377.23603653989557,327.0564317673378,284.6545115585384,359.39089532065617
Umphang,TH6308,2017,400.6880597014926,400.6880597014926,400.6880597014926,400.6880597014926,400.6880597014926,400.6880597014926,351.5571428571429,308.5413646055437,383.02835820895524
Wang Chao,TH6309,2017,232.60542333203279,232.83991416309016,232.83991416309016,232.83991416309016,232.83991416309016,232.83991416309016,182.69699570815453,145.6725321888412,215.6468152555599
Mueang Loei,TH4201,2017,199.78496602491504,288.26814835787087,296.29954699886747,296.29954699886747,296.29954699886747,296.29954699886747,237.50988108720276,196.1617214043035,263.3653631087203
Na Duang,TH4202,2017,145.88681687440078,226.62186001917547,261.28408437200386,261.28408437200386,261.28408437200386,261.28408437200386,202.61802492809207,159.61581975071908,222.48485738255033
Chiang Khan,TH4203,2017,270.2543618392781,353.1650193382037,366.10300816501945,366.10300816501945,366.10300816501945,366.10300816501945,307.1892565535024,268.8898581865063,332.98881607219596
Pak Chom,TH4204,2017,267.15000000000003,360.30000000000007,374.70000000000005,374.70000000000005,374.70000000000005,374.70000000000005,316.1,275.65000000000003,339.75
Dan Sai,TH4205,2017,249.31565483008788,343.13654066437584,346.91145475372286,346.91145475372286,346.91145475372286,346.91145475372286,287.5961053837343,242.74253531882403,313.80458190148914
Na Haeo,TH4206,2017,287.2575221238938,361.19085545722714,363.148377581121,363.148377581121,363.148377581121,363.148377581121,304.29970501474935,263.4182890855458,333.59498525073747
Phu Ruea,TH4207,2017,224.55726795096322,306.1898423817863,312.8660245183888,312.8660245183888,312.8660245183888,312.8660245183888,253.66777583187388,209.98047285464102,280.7324321366025
Tha Li,TH4208,2017,257.1069876688197,345.57657075748676,347.53135642982977,347.53135642982977,347.53135642982977,347.53135642982977,288.53916617733415,247.85143863769818,316.1499486200822
Wang Saphung,TH4209,2017,141.977106918239,232.0194609164421,267.5516442048518,267.5516442048518,267.5516442048518,267.5516442048518,208.214483378257,162.9508715184187,226.9210624438455
Phu Kradueng,TH4210,2017,96.59348298334542,151.7538377986966,233.03812454742936,256.36440984793626,256.36440984793626,256.36440984793626,195.7616944243302,148.8086169442433,199.3811232802317
Phu Luang,TH4211,2017,136.52760444209414,229.925647805394,277.89032258064515,277.89032258064515,277.89032258064515,277.89032258064515,217.17123215230043,169.94235854045476,233.14101665785302
Pha Khao,TH4212,2017,101.57095493812751,166.08295587205234,247.9323604949802,250.42764417464397,250.42764417464397,250.42764417464397,190.11977585804345,143.61270137753914,200.07521013308434
Erawan,TH4213,2017,127.5261403508772,206.40856725146205,255.74733918128655,255.74733918128655,255.74733918128655,255.74733918128655,196.3897368421053,152.02289473684212,213.16708698830416
Nong Hin,TH4214,2017,120.9309082693177,197.16375960234978,264.66113872571174,264.8159963849978,264.8159963849978,264.8159963849978,204.4158156348848,157.65702666064166,217.40957975598738
Mueang Satun,TH9101,2017,237.13561103810775,227.07805519053878,237.13561103810775,237.13561103810775,237.13561103810775,237.13561103810775,237.13561103810775,237.13561103810775,235.87841655716161
Khuan Don,TH9102,2017,228.26111111111112,214.5166666666667,228.26111111111112,228.26111111111112,228.26111111111112,228.26111111111112,228.26111111111112,228.26111111111112,226.54305555555553
Khuan Kalong,TH9103,2017,228.20916730328497,215.50267379679147,228.20916730328497,228.20916730328497,228.20916730328497,228.20916730328497,228.20916730328497,228.20916730328497,226.62085561497327
Tha Phae,TH9104,2017,230.90906768837806,221.1192848020434,230.90906768837806,230.90906768837806,230.90906768837806,230.90906768837806,230.90906768837806,230.90906768837806,229.6853448275862
La-Ngu,TH9105,2017,246.5512731481482,242.83206018518518,246.5512731481482,246.5512731481482,246.5512731481482,246.5512731481482,246.5512731481482,246.5512731481482,246.0863715277778
Thung Wa,TH9106,2017,,,,,,,,,
Manang,TH9107,2017,228.1950867052023,215.8820809248555,230.29552023121389,230.29552023121389,230.29552023121389,230.29552023121389,230.29552023121389,230.29552023121389,228.23128612716764
Mueang Trang,TH9201,2017,215.51314217443255,213.98781362007168,215.52078853046598,215.52078853046598,215.52078853046598,215.52078853046598,215.52078853046598,215.52078853046598,215.32821087216246
Kantang,TH9202,2017,218.60000000000002,215.3,225.9,225.9,225.9,225.9,225.9,225.9,223.66250000000005
Yan Ta Khao,TH9203,2017,199.61467617349973,190.12786690433754,212.60695187165777,212.60695187165777,212.60695187165777,212.60695187165777,212.60695187165777,212.60695187165777,208.173031788473
Palian,TH9204,2017,218.5854382022472,209.94759550561795,229.71842696629213,229.71842696629213,229.71842696629213,229.71842696629213,229.71842696629213,229.71842696629213,225.85544943820227
Sikao,TH9205,2017,,,,,,,,,
Huai Yot,TH9206,2017,203.4,200.5,203.4,203.4,203.4,203.4,203.4,203.4,203.03750000000002
Wang Wiset,TH9207,2017,,,,,,,,,
Na Yong,TH9208,2017,203.15286486486488,195.37351351351353,208.43027027027026,208.43027027027026,208.43027027027026,208.43027027027026,208.43027027027026,208.43027027027026,206.13850000000005
Ratsada,TH9209,2017,,,,,,,,,
Hat Samran,TH9210,2017,255.8,253.60000000000002,255.8,255.8,255.8,255.8,255.8,255.8,255.52499999999998
Mueang Yala,TH9501,2017,158.27824267782427,125.44853556485356,158.36569037656903,198.8924686192469,220.35606694560673,220.53179916317993,221.75606694560673,221.75606694560673,190.6731171548117
Betong,TH9502,2017,,,,,,,,,
Bannang Sata,TH9503,2017,,,,,,,,,
Than To,TH9504,2017,,,,,,,,,
Yaha,TH9505,2017,,,,,,,,,
Raman,TH9506,2017,148.03496316141994,113.7726054922974,144.16510381781646,183.6295378432686,212.1188211654387,212.1188211654387,212.1188211654387,212.1188211654387,179.75968687206964
Kabang,TH9507,2017,,,,,,,,,
Krong Pinang,TH9508,2017,,,,,,,,,
Mueang Trat,TH2301,2017,318.2144644644644,318.2144644644644,318.2144644644644,318.2144644644644,318.2144644644644,318.2144644644644,301.1078578578579,240.23621121121118,306.328856981982
Khlong Yai,TH2302,2017,,,,,,,,,
Khao Saming,TH2303,2017,318.27560793116356,318.27560793116356,318.27560793116356,318.27560793116356,318.27560793116356,318.27560793116356,295.23176206509544,233.57562663673772,304.8076295361017
Bo Rai,TH2304,2017,306.25988857938717,306.25988857938717,306.25988857938717,306.25988857938717,306.25988857938717,306.25988857938717,282.54447539461466,221.8528319405757,292.74457985143925
Laem Ngop,TH2305,2017,326.6,326.6,326.6,326.6,326.6,326.6,310.5,248.5,314.825
Ko Kut,TH2306,2017,,,,,,,,,
Ko Chang,TH2307,2017,,,,,,,,,
Mueang Phrae,TH5401,2017,171.64324935400518,202.862661498708,217.84718992248062,217.84718992248062,217.84718992248062,217.84718992248062,160.1437015503876,130.00232558139535,192.00508720930233
Rong Kwang,TH5402,2017,178.11585117227318,211.930632008155,267.2718144750255,267.2718144750255,267.2718144750255,267.2718144750255,209.63389398572886,177.52089704383283,230.78606651376148
Long,TH5403,2017,116.71166666666666,116.71166666666666,116.71166666666666,116.71166666666666,116.71166666666666,116.71166666666666,61.030448717948715,37.66108974358974,99.8701923076923
Sung Men,TH5404,2017,173.97044310171202,183.4659617321249,183.4659617321249,183.4659617321249,183.4659617321249,183.4659617321249,126.51586102719034,96.73001007049346,164.31826535750253
Den Chai,TH5405,2017,142.41533333333334,142.41533333333334,142.41533333333334,142.41533333333334,142.41533333333334,142.41533333333334,85.63866666666667,57.96333333333333,124.76175000000002
Song,TH5406,2017,156.36236374067704,189.94234079173836,209.20407343660358,209.20407343660358,209.20407343660358,209.20407343660358,152.07441193344812,122.8895008605852,182.26061388410787
Wang Chin,TH5407,2017,133.41015384615383,133.41015384615383,133.41015384615383,133.41015384615383,133.41015384615383,133.41015384615383,78.78533333333333,52.224410256410266,116.43383333333333
Nong Muang Khai,TH5408,2017,168.48000000000002,203.41093525179858,231.5634532374101,231.5634532374101,231.5634532374101,231.5634532374101,173.96676258992807,143.61424460431658,201.96571942446047
Mueang Nan,TH5501,2017,254.89728884254436,293.51011470281543,409.75505735140774,409.75505735140774,409.75505735140774,409.75505735140774,353.20688216892603,321.22533889468195,357.7324817518248
Mae Charim,TH5502,2017,,,,,,,,,
Ban Luang,TH5503,2017,243.60000000000002,266.5,378.45000000000005,378.45000000000005,378.45000000000005,378.45000000000005,322.80000000000007,291.25,329.74375000000003
Na Noi,TH5504,2017,248.83271028037385,288.4831775700935,369.81339563862934,412.7557632398754,412.7557632398754,412.7557632398754,355.50280373831777,320.94984423676016,352.7311526479751
Pua,TH5505,2017,247.66589595375726,290.45780346820817,405.5687861271677,405.5687861271677,405.5687861271677,405.5687861271677,350.17225433526016,320.21098265895955,353.8477601156069
Tha Wang Pha,TH5506,2017,251.90000000000003,290.05,410.1,410.1,410.1,410.1,354.85,325.15000000000003,357.79375000000005
Wiang Sa,TH5507,2017,256.71828807150223,295.2689927810244,402.94850464077,407.5418356823651,407.5418356823651,407.5418356823651,350.85369542798213,318.5887246476452,355.87546407700245
Thung Chang,TH5508,2017,,,,,,,,,
Chiang Klang,TH5509,2017,247.7973509933775,289.59403973509933,404.7119205298014,404.7119205298014,404.7119205298014,404.7119205298014,349.64701986754966,320.6682119205298,353.3192880794702
Na Muen,TH5510,2017,247.8,286.1,356.6,413.1,413.1,413.1,355.90000000000003,321.40000000000003,350.88750000000005
Santi Suk,TH5511,2017,262.1,308.5,416.3,416.3,416.3,416.3,360.3,328.40000000000003,365.56250000000006
Bo Kluea,TH5512,2017,265.0,296.1,393.1,393.1,393.1,393.1,338.5,308.70000000000005,347.5875
Song Khwae,TH5513,2017,,,,,,,,,
Phu Phiang,TH5514,2017,259.45406698564597,302.1956937799043,414.8062200956938,414.8062200956938,414.8062200956938,414.8062200956938,357.97703349282295,326.04162679425843,363.1116626794259
Chaloem Phra Kiat,TH5515,2017,265.0,296.1,393.1,393.1,393.1,393.1,338.5,308.70000000000005,347.5875
Mueang Phangnga,TH8201,2017,,,,,,,,,
Ko Yao,TH8202,2017,,,,,,,,,
Kapong,TH8203,2017,,,,,,,,,
Takua Thung,TH8204,2017,,,,,,,,,
Takua Pa,TH8205,2017,,,,,,,,,
Khura Buri,TH8206,2017,,,,,,,,,
