admin2Name,admin2Pcod,Year,SR,SR_1,SR_2,SR_3,SR_4,SR_5,SR_6,SR_7,SR_p75
Mueang Tak,TH6301,2017,4.541385191850454,6.039633598934716,7.197301318262285,9.518972295179436,8.905198627169469,10.86328820788642,7.880838617442537,5.607020730010591,7.473615486189412
Ban Tak,TH6302,2017,4.988195887373351,5.886707815141465,6.282955694275632,7.788201511589822,8.31226251087124,11.691501141767727,8.336498429801551,5.533581738329092,7.506051589231365
Sam Ngao,TH6303,2017,5.783733992083837,6.584847002421503,8.73689563539922,8.910747960165235,7.830452826072346,10.173182935165647,7.5135470785565355,5.736273612779902,7.644265947579649
Mae Ramat,TH6304,2017,2.4048767809124714,4.547441437167743,,11.543130823103738,7.2926531758342,7.604812943449604,7.241975849374814,4.309263594374701,6.046465857783315
Tha Song Yang,TH6305,2017,2.7894834052232715,,,5.576712793138213,12.130449818771364,11.151765851196997,8.428575101536598,6.862078969543691,8.07762894928753
Mae Sot,TH6306,2017,3.0601009789343916,5.15604723657328,,10.523892022426553,7.081559447687681,8.494163209915776,6.79394118429268,4.116147639608795,6.0552083143223365
Phop Phra,TH6307,2017,3.8483601599294124,4.146011899434176,,7.548130870761146,5.482277272850118,6.8610512646613655,7.644894273207065,5.268327520051738,5.923611221578727
Umphang,TH6308,2017,3.9962909200931467,3.990491445887275,,10.776920744198327,9.01430510753439,7.396807845933652,6.837852387931358,4.535041106238443,6.719986159341456
Wang Chao,TH6309,2017,4.68317084394119,5.7174345572498035,9.019148762238487,9.705839612346074,8.355033672208979,9.94096026633087,7.128373592563897,5.75392068555374,7.292596408809427
Mueang Loei,TH4201,2017,4.359026350917038,5.326724402749321,,9.517691335718379,7.967883688052291,8.755440006370595,6.809063390095578,5.390719977068994,6.2617503609338625
Na Duang,TH4202,2017,3.8240065653787076,5.530940616684474,,9.907780414854887,8.36469477198088,7.220396015649662,7.4524412786433505,5.5579855785158125,6.351374266460775
Chiang Khan,TH4203,2017,3.9731789431613875,4.396131376571466,,-11.91332959504562,8.926003585550557,9.657874742265074,7.136976599765552,4.9398614891214985,6.57516058444247
Pak Chom,TH4204,2017,4.937845634781207,5.127147349476999,,15.656799224006123,8.554247476804772,9.397097818565028,7.460344743178801,5.133481365181382,6.747639549881341
Dan Sai,TH4205,2017,3.9258748987768315,4.344812034409765,,9.423975392628662,7.2757253850333745,7.001293001473451,6.408263952544313,5.128039023421183,5.889303022651828
Na Haeo,TH4206,2017,3.9622122793139423,4.963452276880181,,15.866050153079337,7.708882452640752,8.916104830886507,7.429249911252363,5.891792817355936,6.71074150696622
Phu Ruea,TH4207,2017,4.2120849740132265,5.688300794875267,,10.75013515544975,6.475773433488995,7.8180269735807935,6.603545387624598,5.199009197365934,5.968356280943439
Tha Li,TH4208,2017,4.027067699377078,5.207692067262086,,9.853550042940057,7.222737455626415,11.267418110793937,7.218151348659588,5.04616638996075,6.5289138562816875
Wang Saphung,TH4209,2017,3.9710873545308596,5.489123361482431,,10.075776101290042,6.519540739192169,7.479704335799506,7.15457861780822,5.825068397929923,5.985142647658967
Phu Kradueng,TH4210,2017,4.379036420997248,4.678171783610578,,9.654130170953058,8.787970160919551,8.941049033636485,6.6635048479384364,4.9023548156601064,6.523035994041213
Phu Luang,TH4211,2017,3.959026517038748,4.954672047327285,,8.994703244125995,6.759016008361322,8.626330121366049,7.061389507429124,5.532423811013313,5.85496507274458
Pha Khao,TH4212,2017,3.585100415603222,4.495149784509006,,9.052489347784036,10.05051870325031,8.694315388455575,7.46537905212381,5.440180953811689,6.590989382844123
Erawan,TH4213,2017,3.746791914918833,5.774318583928673,6.634536571096566,10.227514914329165,7.594946417292699,7.517816555338711,8.187333993100813,6.3166385046699896,6.60088804348724
Nong Hin,TH4214,2017,3.7424176315582742,4.848682652098198,,9.179249570345657,7.349996879867288,7.3781047550809955,6.924668426746284,5.497590269445141,5.66422916654199
Mueang Satun,TH9101,2017,8.753182486846546,11.423561679155405,8.014667072024217,4.828132055629533,7.875246390599466,7.9017104847168635,9.212715822558783,6.171281523649647,8.596488687437327
Khuan Don,TH9102,2017,,10.816942678959165,7.4520317130836755,4.745135574517748,5.653927338879515,6.832053353974812,7.454253684287703,7.926735692682191,7.858955095228193
Khuan Kalong,TH9103,2017,10.315637479236583,15.858656681359122,11.601356515403063,6.209817182727552,7.927868644769112,10.87724449934492,10.380247438158092,10.34255941198095,10.821431582818462
Tha Phae,TH9104,2017,7.955426413336338,14.51578316020114,12.72683680773425,6.654078396032928,6.718953603399717,10.300665676441595,10.272094505637789,10.99917571461209,10.310679188491118
La-Ngu,TH9105,2017,8.242335024039992,11.59462878485066,9.181115382262579,7.148302688354816,6.640524316913746,8.96293465287337,8.931115977954647,9.428845808574527,8.806654443552517
Thung Wa,TH9106,2017,8.946637201040458,10.12521755147466,6.334335891295318,8.307357460514659,3.727238159071804,8.2224323574305,8.395470596949885,10.063544149187754,7.920665794200932
Manang,TH9107,2017,13.121256394699937,14.48165612670164,10.203221621311664,7.999041915023967,8.481108549190584,13.94691813981043,13.295876209345643,13.1009280422006,12.163672684030614
Mueang Trang,TH9201,2017,8.943210014586626,10.905528217773398,6.95853902182964,9.400021097497397,6.705483115034351,11.100944840058926,9.878239749400912,8.469592183220886,8.927058720333873
Kantang,TH9202,2017,9.167585334080014,10.154851740076422,9.630740822807482,9.971990696930884,5.125633614797573,9.106319415969859,9.706331875481295,10.232261397178593,8.969556206586459
Yan Ta Khao,TH9203,2017,10.3565631479445,13.466977220080558,8.644490087182538,8.555732708918997,4.333886169943451,10.909112993329737,11.41645248675983,10.250808801665844,9.58423632501651
Palian,TH9204,2017,9.707849585364636,12.90728897007403,9.037553890342867,10.0721463855919,6.518474708630322,11.627556556997655,9.3956248753965,9.839807099914278,9.681303903207786
Sikao,TH9205,2017,9.04894204763214,11.42221394097458,9.325453640112839,6.361718365003356,8.842077182346538,9.108888512358117,10.420231650410635,10.359508953648373,9.847695141346477
Huai Yot,TH9206,2017,7.134818618756603,11.59112383991828,8.939621772416784,10.754039283869815,9.64833526975628,15.164699722454081,11.429496813199385,10.42461931560121,11.005289390787949
Wang Wiset,TH9207,2017,10.442612779112492,12.156544059888635,7.441939598454837,8.734478827845148,8.134400905429194,11.242893051357779,10.379938233650721,10.946069472156276,10.158418992945398
Na Yong,TH9208,2017,10.273220602240334,10.58715469486496,7.209129222603961,11.7920673913593,6.7150899666666515,11.522112426165677,8.95606845752355,9.989435531724803,9.694547953732446
Ratsada,TH9209,2017,8.34086227006836,11.947782048718087,9.257013426444617,12.089614057781874,10.574724462291709,13.802612907089832,10.430231642923793,10.058686750799511,11.192576684987063
Hat Samran,TH9210,2017,8.894535424608042,12.59574416430897,9.061000251984366,10.13370145147299,2.2192171780484964,8.455181814788135,8.189404997538004,10.80051452376105,8.910395933568731
Mueang Yala,TH9501,2017,6.3961745785086315,8.931582385913314,5.857520911863212,6.87655438527998,6.923790732885147,6.392713242196429,7.121727237540991,-6.3829834827699665,6.972435305545733
Betong,TH9502,2017,9.5303207658122,11.72651257247423,9.156135666536459,8.797453729508069,8.721557427669776,8.600687683440652,10.06689494812228,8.677721358633685,9.568962286331454
Bannang Sata,TH9503,2017,11.203940240613335,15.055429610859765,10.452885498067642,10.081748892312836,11.511243991994629,11.71804149074509,10.376656840544374,4.214678614740147,10.730402683708292
Than To,TH9504,2017,9.066684832181188,9.53818892963964,8.252710870589569,4.177128710799226,8.713665597201963,8.043478757166985,8.088289373366685,6.7963189055135755,8.743788912601087
Yaha,TH9505,2017,11.141429052397609,13.358638434920548,5.6485873894085,9.789549444665404,8.562847915222497,7.697412632819451,8.8492753847773,5.554505580728504,9.427285462982736
Raman,TH9506,2017,6.89477709371212,8.168476486360008,5.212487694190644,6.654035495389008,7.361655087007567,6.3837755524805,6.30560770875201,2.160797919317001,6.841762045689176
Kabang,TH9507,2017,12.795894420253644,15.803201416043496,8.261903772765065,10.698353641025369,10.681884948828323,9.153476104093839,10.600901772650282,5.5146612352136115,10.558215521595766
Krong Pinang,TH9508,2017,11.480504254101751,13.971722852612436,9.221484645709172,9.664616094965616,10.453522656114233,9.396249659109905,10.690153481128313,2.2642702807235424,10.232616185216482
Mueang Trat,TH2301,2017,10.28843997784524,9.242112423106251,5.823555680335163,8.011528096587542,9.078183826840535,8.310687644265505,7.81640512215549,7.481124392874682,8.464666961618443
Khlong Yai,TH2302,2017,6.2420603005077595,6.160704897677075,,4.914142212775964,6.790193377645846,7.970004046786619,6.295662425053011,7.2416879293507685,6.696608195924462
Khao Saming,TH2303,2017,11.217528418538764,11.907264622152368,6.530293129838841,10.663992693343502,9.194954743010967,7.832397915551106,8.374428997835441,8.209569187596099,9.350916520078284
Bo Rai,TH2304,2017,9.256745942265514,10.497086625886498,7.1754058536437135,9.784026468577215,8.979562050072454,10.02898224817184,7.572607244248618,8.815904837748649,8.984776986973554
Laem Ngop,TH2305,2017,13.740320741692285,12.031893002379274,10.28404569600187,9.84317318173255,9.398520918506264,7.517765146577966,9.667792246311969,8.405128873763681,10.128211493519974
