admin2Name,admin2Pcod,Year,T_MAX,T_MAX_1,T_MAX_2,T_MAX_3,T_MAX_4,T_MAX_5,T_MAX_6,T_MAX_7,F_T_Max,T_Min,T_Min_1,T_Min_2,T_Min_3,T_Min_4,T_Min_5,T_Min_6,T_Min_7,F_T_Min,T_Mean,T_Mean_1,T_Mean_2,T_Mean_3,T_Mean_4,T_Mean_5,T_Mean_6,T_Mean_7,F_T_Mean
Mueang Tak,TH6301,2013,36.07177441590349,30.76699398067327,29.59681155093403,28.731990922778895,29.643906849258574,29.00241750730442,28.996027317622453,25.991866780537894,29.85022366562663,26.077152557255065,24.67278392582282,24.195059089041113,23.590569433461607,23.765974969709028,22.367052080312288,21.654326706935734,16.164971522418078,22.810986285619467,30.547625296273864,27.29701374636144,26.51242521619886,25.856477654475068,26.1956322230639,25.47291557826345,25.220821799799253,21.162553677576934,26.033183149001594
Ban Tak,TH6302,2013,35.438516276275536,30.622825131471156,29.160700754918384,28.021484316537233,28.979370543965917,28.65657128228084,28.867909614884557,26.116662850421882,29.48300509634444,25.123479669212863,24.152217727602693,23.436522180549964,22.92880871067561,23.20660508546795,22.271147506538505,22.0486962738622,17.263887426287386,22.553920572524643,29.61832988880301,26.824555023846216,25.748687473263043,25.051378753145706,25.577176677465157,25.299282474688358,25.446677635699572,21.654141287495243,25.652528651800786
Sam Ngao,TH6303,2013,34.46432189941409,29.97071736653648,28.989789835612,27.578427632649763,28.287548828125022,27.613800048828146,27.71096089680992,24.90030014935664,28.689483332166507,24.416354878743512,23.436150614420594,22.95102437337242,22.35843760172528,22.506121317545595,21.295950317382836,20.74166412353518,15.292621567670059,21.624790599299434,28.771342764960416,26.160566732618573,25.402442593044736,24.513269742329935,24.80278163486059,24.14160442352297,24.04328373803036,20.156420401030925,24.748964003799813
Mae Ramat,TH6304,2013,31.514514372173135,27.71234071537489,25.848185138903187,25.53124714955115,26.663486504805736,27.47571129621541,28.252736423425524,25.656015188494724,27.33177959861797,22.853859285053474,22.18277845951551,21.602928466796897,21.451815619217744,21.56247222472076,20.3629334042198,19.515501082570953,14.095147133464069,20.4534294594449,26.383322428474674,24.13618425706119,23.058469251487708,22.904828136198724,23.510967849909935,23.48944879029929,23.679261551215657,19.694769980171785,23.35715653060237
Tha Song Yang,TH6305,2013,30.157321675618512,27.15113677978518,25.471076456705752,25.369914245605493,26.701155598958355,27.597654215494813,28.25049438476565,25.694593721277595,27.04916838477642,22.259194946289085,21.78459421793622,21.29617411295575,21.1445983886719,21.310182698567733,20.224642435709658,19.17942250569664,13.9999081779929,20.149839685477485,25.353178702460426,23.538930447896348,22.591787211100282,22.514029290941053,23.157705137464752,23.373019896613247,23.432726012335902,19.651370041043172,22.9515933424819
Mae Sot,TH6306,2013,31.36390644720531,27.535125160742748,25.725351367096252,25.387623576374818,26.54806004764059,27.51478929215651,28.591944815595543,26.000729229917354,27.333441242091144,22.741161716045355,22.14406800493395,21.53489294611345,21.349028446298117,21.551264002416065,20.316577572993367,19.374715758364605,13.947255938069215,20.369870548154264,26.300752448109897,24.01269859622726,22.963536710712887,22.818483398524595,23.43133983314313,23.479928272426992,23.7056702509118,19.749784052744833,23.307774195350174
Phop Phra,TH6307,2013,29.243935776304948,26.06148439549854,24.40953376430207,24.10072375440052,25.233090680221054,25.63163528003914,26.015664643802886,23.72317053106206,25.5524048532039,20.850940733394424,20.535530540312866,20.01458199490078,19.768997192930925,20.051224874628023,18.797910758818723,17.741806760875683,12.621850904151367,18.7978554700016,24.29772062776648,22.465401398085103,21.579701308911805,21.379941986347088,21.931887131906585,21.71648606559785,21.517325176224425,17.859352406752627,21.59347701269899
Umphang,TH6308,2013,28.38023597164433,25.317422518522864,23.558687560592897,23.425289242509507,24.66196062392085,25.62101657591007,26.123724672621595,24.1108727477091,25.149901239178902,20.47857883176944,20.09109493089761,19.514866220225482,19.324856038853767,19.662287274789147,18.782155140310117,17.84001344763717,13.132285866895929,18.603267218922333,23.61562930821223,21.8557439881477,20.867099086005933,20.774879124406475,21.360522992046583,21.516435695224356,21.45203615584814,18.119715991430805,21.195257792665277
Wang Chao,TH6309,2013,35.20447200472913,30.212905242288247,29.128640126263075,28.527352469619238,29.309005089269057,28.835094922955445,28.922024532865425,26.09837110937207,29.529733187170216,25.386491261168455,24.28824429127425,23.881821588139147,23.294170505433854,23.475726412025057,22.26417279348982,21.588148616161824,16.20863940393556,22.54842685895349,29.809199310182947,26.884529840722152,26.175719104288554,25.64870055904568,25.97903170688875,25.35566939803894,25.145183573806136,21.17222251753548,25.771282001313583
Mueang Loei,TH4201,2013,32.49468087924994,29.803651838765628,29.341785056991327,29.248152378331653,28.60854040052242,27.481205148182188,27.659918459133653,23.113626292535507,28.468945056714045,24.31496818300378,23.787660123340366,23.326854974194756,23.355654180913195,22.78717888546794,20.86948152381231,20.402178693522558,14.103900182416645,21.618484593333946,27.976736378978003,26.448704952543164,25.846450380912145,25.830337463111995,25.23268803812996,24.132968758411604,23.939087218710643,18.71502066362884,24.7652492318033
Na Duang,TH4202,2013,32.29228066971056,29.584422651452236,29.15628290128948,29.08863073700106,28.43929195119377,27.337128421916326,27.506935081671745,22.939441662822748,28.29305175963225,24.162534783965942,23.646255098409345,23.170187256466715,23.250410134994006,22.654343213133576,20.633561729317307,20.16930416733474,13.922818196793232,21.451176822551858,27.786598112571323,26.283053865638365,25.675828997610438,25.707906624650107,25.06655355488288,23.9486393174129,23.755041639603213,18.5480393613191,24.596457684211043
