admin2Name,admin2Pcod,Year,ET,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,ET_7,Avg_ET,PET,PET_1,PET_2,PET_3,PET_4,PET_5,PET_6,PET_7,Avg_PET
Mueang Tak,TH6301,2013,114.92321843941636,120.75739056883066,104.25316134489324,114.38672023683657,100.91089025163886,117.17680270670336,78.11040389088603,58.80249524212308,101.16513533516601,158.15808839078036,122.21363924719817,104.25316134489324,114.38672023683657,100.91089025163886,117.17680270670336,101.48177204482977,95.24002960456761,114.22763797843098
Ban Tak,TH6302,2013,109.66342749529191,117.6946516007533,103.48580037664783,112.9618079096045,100.60135593220342,116.01295668549906,78.47570621468927,48.577514124293785,98.43415254237289,157.03016949152544,121.52640301318269,103.55303201506592,112.9618079096045,100.60135593220342,116.01295668549906,100.43043314500942,93.42576271186441,113.19274011299436
Sam Ngao,TH6303,2013,107.00014785608674,99.53745687530804,104.6639231148349,114.42843765401676,102.37378018728438,115.9258748151799,79.27560374568753,53.994726466239534,97.14999383932972,157.62552981764418,124.21113849186791,105.41444061113849,114.42843765401676,102.37378018728438,115.9258748151799,99.74499753573188,92.20418925579104,113.99104854608181
Mae Ramat,TH6304,2013,114.2848529411765,111.31497058823531,90.58135294117648,102.87711764705885,93.5474411764706,113.54235294117649,76.10335294117648,48.88302941176471,93.89180882352943,145.3809411764706,111.31497058823531,90.58135294117648,102.87711764705885,93.5474411764706,113.54235294117649,99.45467647058824,93.70352941176472,106.30029779411764
Tha Song Yang,TH6305,2013,115.22727272727273,110.58909090909091,90.42181818181818,101.83272727272728,93.40909090909092,112.32545454545455,77.76545454545455,59.61454545454546,95.14818181818183,143.03636363636366,110.58909090909091,90.42181818181818,101.83272727272728,93.40909090909092,112.32545454545455,99.04363636363638,92.11272727272728,105.34636363636365
Mae Sot,TH6306,2013,131.68291510945014,108.58606513614522,88.02839028296849,100.73422317138281,91.62936465563267,114.07768286171915,76.80014682327818,58.1013614522157,96.20501868659903,144.3928723972237,108.58606513614522,88.02839028296849,100.73422317138281,91.62936465563267,114.07768286171915,101.55982381206623,95.22935130806195,105.52972170315003
Phop Phra,TH6307,2013,133.02143922445933,107.08508575689781,87.55136092468304,99.90665548098434,89.99185309470543,113.38842281879192,75.68007084265473,58.39794929157345,95.62785467934377,143.6005779269202,107.08508575689781,87.55136092468304,99.90665548098434,89.99185309470543,113.38842281879192,101.1191275167785,96.25009321401936,104.86164709172257
Umphang,TH6308,2013,133.72878464818763,107.21876332622604,87.69936034115139,101.17590618336887,89.72835820895523,114.19786780383795,75.59232409381664,58.767164179104476,96.01356609808103,145.28038379530918,107.21876332622604,87.69936034115139,101.17590618336887,89.72835820895523,114.19786780383795,101.14946695095949,97.29765458422175,105.46847014925375
Wang Chao,TH6309,2013,119.76804525946159,117.5522044479126,99.5689426453375,110.9258291065158,97.54631291455328,117.05025360905192,77.98884120171675,59.63429574717129,100.00434061646509,154.81790870074133,117.5522044479126,99.5689426453375,110.9258291065158,97.54631291455328,117.05025360905192,102.2123683183769,96.75731564572766,112.05389192352715
Mueang Loei,TH4201,2013,140.3905152887882,128.94920724801813,114.28717440543602,123.48355039637599,103.46160815402038,111.2355322763307,63.41534541336354,54.69082672706681,104.98921998867496,158.39065685164218,128.94920724801813,114.28717440543602,123.48355039637599,103.46160815402038,117.72267836919592,98.28473952434881,89.89207248018121,116.80896092865231
Na Duang,TH4202,2013,134.93926174496644,129.97483221476514,115.48264621284757,124.2159156279962,102.17138063279005,109.90254074784276,63.03595397890702,52.97967401725792,104.08777564717163,157.31510067114095,129.97483221476514,115.48264621284757,124.2159156279962,102.17138063279005,118.21035474592524,99.75608820709493,90.89204218600193,117.25229506232024
Chiang Khan,TH4203,2013,144.67993124194243,128.83429308122047,113.44331757627847,122.12879243661368,104.35143962183069,112.48929952728838,63.43420713364849,57.29144821658789,105.83159110442632,156.5614954877525,128.83429308122047,113.44331757627847,122.12879243661368,104.35143962183069,117.3790717662226,96.78036097980234,87.33846153846156,115.8521540610228
Pak Chom,TH4204,2013,148.9,127.7,112.0,121.30000000000001,102.45,108.5,62.2,55.55,104.82499999999999,153.45,127.7,112.0,121.30000000000001,102.45,116.4,96.70000000000002,86.5,114.5625
Dan Sai,TH4205,2013,128.5589156166476,124.8344024436808,111.40462008400154,120.74864452080949,102.15257731958765,105.20504009163804,62.42707140129822,51.17464681176022,100.81323978617793,156.91603665521197,124.8344024436808,111.40462008400154,120.74864452080949,102.15257731958765,115.24177166857582,96.44677357770142,91.17468499427264,114.86493890798015
Na Haeo,TH4206,2013,135.7023598820059,127.07522123893807,111.80294985250738,121.15250737463127,103.99705014749262,104.94955752212391,62.948377581120944,54.19823008849558,102.72828171091444,158.3519174041298,127.07522123893807,111.80294985250738,121.15250737463127,103.99705014749262,116.14572271386432,96.49705014749263,91.35221238938054,115.79682890855457
Phu Ruea,TH4207,2013,133.16943957968476,125.39702276707531,111.59886164623468,120.75499124343258,101.86506129597198,106.0160245183888,62.111033274956206,51.45586690017513,101.54603765323994,155.56077057793343,125.39702276707531,111.59886164623468,120.75499124343258,101.86506129597198,115.01304728546411,96.53292469352014,91.09106830122592,114.72671847635726
Tha Li,TH4208,2013,142.66529653552556,128.01990604815035,113.14580152671756,121.7244862008221,104.90921902524956,108.45854374633001,62.794773928361714,54.21309453904875,104.49139019377567,159.12783323546685,128.01990604815035,113.14580152671756,121.7244862008221,104.90921902524956,117.21902524955962,96.53106283029948,88.5457428068115,116.15288461538461
Wang Saphung,TH4209,2013,126.1978436657682,129.17473495058402,114.94398921832888,124.74346810422287,103.68256963162624,111.2174303683738,63.8635040431267,52.73669362084458,103.32002920035939,161.1001617250674,129.17473495058402,114.94398921832888,124.74346810422287,103.68256963162624,119.51398023360291,100.54404312668466,92.93333333333337,118.32953504043131
Phu Kradueng,TH4210,2013,105.28446777697322,125.95604634322953,117.58359884141927,125.70568428674872,103.26118754525703,114.93182476466329,65.70061549601738,52.8649529326575,101.41104724837074,162.35510499637945,131.1275887038378,117.58359884141927,125.70568428674872,103.26118754525703,121.65202751629255,103.24326574945692,95.41911658218682,120.04344677769735
Phu Luang,TH4211,2013,119.07366472765732,128.62067689053416,114.80793231094661,124.11998942358542,103.51692226335274,110.4895822316235,64.2218931782126,51.64108937070334,102.06146879957696,161.6053939714437,128.62067689053416,114.80793231094661,124.11998942358542,103.51692226335274,119.3984135378107,101.27324167107349,93.49555790586994,118.35476599682708
Pha Khao,TH4212,2013,112.40051365865051,127.71846836329676,116.76096194256364,125.65029185150601,103.74464160635071,113.59140789166476,65.378332944198,52.86497781928556,102.2636995096895,161.84837730562694,131.24977819285553,116.76096194256364,125.65029185150601,103.74464160635071,121.37718888629468,103.63383142657017,95.0648377305627,119.91623861779128
Erawan,TH4213,2013,125.81564327485384,129.86476608187138,115.71961988304096,125.1422807017544,102.97172514619885,110.92573099415208,63.904736842105265,52.98163742690058,103.41576754385966,159.84947368421055,129.89789473684215,115.71961988304096,125.1422807017544,102.97172514619885,119.44804093567257,101.40149122807019,92.91616959064329,118.41833698830412
Nong Hin,TH4214,2013,116.14057840036153,129.99408043380026,115.54107546317216,124.54202440126528,103.10759150474469,112.15951197469501,64.70144600090376,52.012245820153645,102.27481924988705,161.43542702214194,130.05747853592408,115.54107546317216,124.54202440126528,103.10759150474469,120.1660641662901,102.05422503389067,93.67004066877543,118.82174084952557
Mueang Satun,TH9101,2013,118.46386333771352,110.29789750328514,114.53245729303548,116.26596583442839,113.56386333771354,108.26438896189225,96.43508541392904,87.80105124835744,108.20307161629435,118.46386333771352,110.29789750328514,114.53245729303548,116.26596583442839,113.56386333771354,108.26438896189225,96.43508541392904,106.20315374507229,110.50333442838371
Khuan Don,TH9102,2013,120.40000000000002,111.61111111111111,115.14444444444446,118.48333333333333,115.03333333333335,110.41666666666669,97.37222222222222,90.17222222222223,109.82916666666668,120.40000000000002,111.61111111111111,115.14444444444446,118.48333333333333,115.03333333333335,110.41666666666669,97.37222222222222,107.42222222222223,111.98541666666668
Khuan Kalong,TH9103,2013,121.41023682200154,112.43758594346829,116.34935064935068,120.34576012223074,116.03613445378151,111.56103896103896,98.7040488922842,91.36928953399543,111.02668067226892,121.41023682200154,112.43758594346829,116.34935064935068,120.34576012223074,116.03613445378151,111.56103896103896,98.7040488922842,109.25210084033615,113.26203208556153
Tha Phae,TH9104,2013,120.89821200510856,112.38199233716476,116.38735632183908,119.99808429118774,115.58339719029374,111.1772669220945,98.67752234993614,90.58122605363985,110.71063218390806,120.89821200510856,112.38199233716476,116.38735632183908,119.99808429118774,115.58339719029374,111.1772669220945,98.67752234993614,108.80561941251597,112.98868135376757
La-Ngu,TH9105,2013,121.93206018518518,113.74374999999999,116.37314814814815,123.23587962962964,116.00428240740742,112.73923611111111,101.08877314814815,91.52453703703705,112.08020833333333,121.93206018518518,113.74374999999999,116.37314814814815,123.23587962962964,116.00428240740742,112.73923611111111,101.08877314814815,113.20509259259259,114.79027777777777
Thung Wa,TH9106,2013,,,,,,,,,,,,,,,,,,
Manang,TH9107,2013,122.10679190751445,113.13049132947977,116.46098265895954,123.0742774566474,117.44421965317918,112.64176300578035,100.42514450867051,92.28309248554913,112.19584537572256,122.10679190751445,113.13049132947977,116.46098265895954,123.0742774566474,117.44421965317918,112.64176300578035,100.42514450867051,110.74624277456648,114.50373916184971
Mueang Trang,TH9201,2013,122.94456391875748,114.76917562724016,116.1884109916368,128.21123058542418,121.24767025089608,119.60764635603347,105.21708482676226,87.86523297491041,114.50637694145762,122.94456391875748,114.76917562724016,116.1884109916368,128.21123058542418,121.24767025089608,119.60764635603347,105.21708482676226,116.2882915173238,118.05925925925929
Kantang,TH9202,2013,125.7,116.10000000000001,118.10000000000001,129.4,121.2,120.7,107.0,91.60000000000001,116.22500000000002,125.7,116.10000000000001,118.10000000000001,129.4,121.2,120.7,107.0,120.30000000000001,119.81250000000003
Yan Ta Khao,TH9203,2013,124.91431966726088,115.77379679144387,118.42032085561499,127.07587641117054,121.83588829471185,120.55109922756984,105.08894830659537,91.51669637551993,115.64711824123589,124.91431966726088,115.77379679144387,118.42032085561499,127.07587641117054,121.83588829471185,120.55109922756984,105.08894830659537,115.34165181224007,118.62523767082591
Palian,TH9204,2013,123.81393258426966,115.09141573033706,117.78278651685392,125.76130337078652,120.26471910112359,118.7654382022472,104.44705617977529,91.80206741573033,114.71608988764045,123.81393258426966,115.09141573033706,117.78278651685392,125.76130337078652,120.26471910112359,118.7654382022472,104.44705617977529,114.12813483146068,117.50684831460673
Sikao,TH9205,2013,,,,,,,,,,,,,,,,,,
Huai Yot,TH9206,2013,125.4,115.30000000000001,117.9,128.9,124.5,120.7,104.80000000000001,82.4,114.9875,125.4,115.30000000000001,117.9,128.9,124.5,120.7,104.80000000000001,112.10000000000001,118.7
Wang Wiset,TH9207,2013,,,,,,,,,,,,,,,,,,
Na Yong,TH9208,2013,123.50281081081081,114.35037837837838,116.35091891891894,128.00043243243243,121.78054054054056,120.27664864864865,105.25708108108108,90.29502702702703,114.97672972972974,123.50281081081081,114.35037837837838,116.35091891891894,128.00043243243243,121.78054054054056,120.27664864864865,105.25708108108108,115.53902702702703,118.13222972972973
Ratsada,TH9209,2013,,,,,,,,,,,,,,,,,,
Hat Samran,TH9210,2013,126.10000000000001,117.5,120.0,129.20000000000002,121.60000000000001,120.30000000000001,106.2,90.30000000000001,116.4,126.10000000000001,117.5,120.0,129.20000000000002,121.60000000000001,120.30000000000001,106.2,117.10000000000001,119.75000000000001
Mueang Yala,TH9501,2013,120.71129707112972,110.56778242677824,108.19748953974897,121.19623430962342,113.33012552301255,109.12887029288703,92.95271966527197,88.27907949790796,108.04544979079498,120.71129707112972,112.06108786610879,117.3347280334728,121.19623430962342,118.10836820083682,109.12887029288703,92.95271966527197,88.27907949790796,109.97154811715482
Betong,TH9502,2013,,,,,,,,,,,,,,,,,,
Bannang Sata,TH9503,2013,,,,,,,,,,,,,,,,,,
Than To,TH9504,2013,,,,,,,,,,,,,,,,,,
Yaha,TH9505,2013,,,,,,,,,,,,,,,,,,
Raman,TH9506,2013,121.42685867381111,110.70750167448091,108.68178164768922,122.60649698593436,114.62324179504355,109.88713998660417,93.42243804420629,88.67220361687878,108.75345780308103,121.42685867381111,113.81292699263227,118.45586068318822,122.60649698593436,118.78868050904218,109.88713998660417,93.42243804420629,88.67220361687878,110.88407568653717
Kabang,TH9507,2013,,,,,,,,,,,,,,,,,,
Krong Pinang,TH9508,2013,,,,,,,,,,,,,,,,,,
Mueang Trat,TH2301,2013,138.96849349349347,114.08228228228229,106.65795795795796,119.74597097097096,105.01874374374374,121.64174174174174,107.59394394394393,77.65973473473474,111.42110860860858,144.25545545545546,114.08228228228229,106.65795795795796,119.74597097097096,105.01874374374374,121.64174174174174,115.25645645645643,124.98120620620618,118.95497685185185
Khlong Yai,TH2302,2013,,,,,,,,,,,,,,,,,,
Khao Saming,TH2303,2013,141.23415637860083,114.01569397680507,106.09083426861204,119.44433221099887,104.05237560793114,121.81258885147776,101.75699588477367,75.84949494949495,110.53205901608679,145.5838009726899,114.01569397680507,106.09083426861204,119.44433221099887,104.05237560793114,121.81258885147776,113.09233071455292,123.70177702955482,118.4742167040778
Bo Rai,TH2304,2013,134.04178272980502,113.49554317548748,105.64233983286908,118.72924791086349,103.17920148560816,120.34967502321263,97.33741875580316,71.96174558960074,108.09211931290622,145.19052924791086,113.49554317548748,105.64233983286908,118.72924791086349,103.17920148560816,120.34967502321263,109.31522748375114,117.9427112349118,116.73055942432686
Laem Ngop,TH2305,2013,142.0,114.0,106.80000000000001,120.10000000000001,106.10000000000001,122.9,109.9,79.4,112.64999999999999,144.5,114.0,106.80000000000001,120.10000000000001,106.10000000000001,122.9,116.7,127.30000000000001,119.80000000000001
Ko Kut,TH2306,2013,,,,,,,,,,,,,,,,,,
Ko Chang,TH2307,2013,,,,,,,,,,,,,,,,,,
Mueang Phrae,TH5401,2013,121.61036821705427,126.58930878552972,109.63475452196383,117.43313953488374,110.15839793281657,103.79257105943154,66.39166666666668,52.081330749353995,100.96144218346254,157.09366925064603,127.74828811369511,109.63475452196383,117.43313953488374,110.15839793281657,117.15801033591734,97.4405684754522,85.19793281653747,115.23309512273902
Rong Kwang,TH5402,2013,123.66529051987769,127.21916411824672,109.98348623853214,117.0733435270133,109.81202854230379,102.42461773700308,66.36834862385322,53.81462793068298,101.2951134046891,156.64775739041798,127.69770642201836,109.98348623853214,117.0733435270133,109.81202854230379,115.14841997961267,96.68246687054028,84.66890927624873,114.71426478083588
Long,TH5403,2013,111.95108974358975,121.87910256410258,110.55782051282051,117.63153846153847,109.95782051282049,111.6851923076923,72.61615384615384,45.09826923076923,100.17212339743591,157.32461538461538,130.13878205128205,110.55782051282051,117.63153846153847,109.95782051282049,117.1848717948718,99.17205128205126,86.10666666666665,116.00927083333332
Sung Men,TH5404,2013,123.65820745216514,127.67145015105741,109.37502517623363,117.86007049345419,109.48630412890232,104.18549848942598,66.86812688821753,50.60740181268882,101.21401057401812,157.97180261832833,127.67235649546828,109.37502517623363,117.86007049345419,109.48630412890232,116.66283987915408,97.49179254783485,86.36168177240687,115.36023413897283
Den Chai,TH5405,2013,123.23333333333332,127.95133333333335,109.47933333333333,117.90866666666668,109.46333333333334,105.67800000000001,67.38333333333334,47.28,101.04716666666667,158.48666666666668,127.95133333333335,109.47933333333333,117.90866666666668,109.46333333333334,117.188,98.23933333333335,86.70866666666666,115.67816666666667
Song,TH5406,2013,120.73706253585772,125.0401606425703,109.75725760183595,117.00022948938613,110.81394148020655,103.26999426276537,67.12989099254159,52.560068846815845,100.78857573149743,156.07808376362595,128.18537005163512,109.75725760183595,117.00022948938613,110.81394148020655,114.27194492254732,96.46672403901319,83.57687894434882,114.51880378657488
Wang Chin,TH5407,2013,108.77620512820513,119.33835897435898,110.23271794871795,116.95169230769231,109.15764102564104,114.66020512820513,76.0854358974359,51.15917948717949,100.7951794871795,158.09528205128206,129.60358974358974,110.23271794871795,116.95169230769231,109.15764102564104,116.32841025641027,99.70810256410256,87.436,115.93917948717952
Nong Muang Khai,TH5408,2013,122.22661870503599,126.95755395683454,109.82302158273384,117.49223021582736,110.80302158273383,103.75323741007196,66.57021582733813,52.988489208633105,101.32679856115108,156.54978417266187,127.80503597122303,109.82302158273384,117.49223021582736,110.80302158273383,116.9529496402878,97.14935251798562,84.75611510791369,115.16643884892088
Mueang Nan,TH5501,2013,131.28633993743483,129.36444212721585,110.53712200208551,115.74713242961418,110.3672575599583,101.02763295099062,64.65151199165798,56.08269030239833,102.38301616266945,154.4352450469239,129.36444212721585,110.53712200208551,115.74713242961418,110.3672575599583,116.76475495307612,94.35735140771638,81.00542231491137,114.07234098018769
