admin2Name,admin2Pcod,Year,EVI,EVI_1,EVI_2,EVI_3,EVI_4,EVI_5,EVI_6,EVI_7,EVI_p75
Mueang Tak,TH6301,2014,0.33215412052821314,0.4410589514210423,0.45755201692937864,0.5102321448921456,0.494053235501543,0.6028764023918589,0.5371948937577097,0.38795759827811505,0.4772879968920895
Ban Tak,TH6302,2014,0.33403211492398466,0.40137615978659785,0.5165516248915574,0.4130031606563809,0.4918164587448039,0.5889584186657448,0.5471852756867593,0.40229606890834096,0.4772470233844972
Sam Ngao,TH6303,2014,0.367883940601783,0.43404271228166397,0.5164738380235606,0.43940830061752983,0.4517781209706042,0.5527109034820995,0.5365488205756052,0.4304333224780413,0.4664105096278925
Mae Ramat,TH6304,2014,0.22861034905939406,,,,0.5533485458744233,0.5384162151434965,0.46422876382637884,0.32632025528357944,0.3998432974921351
Tha Song Yang,TH6305,2014,0.2884341357094375,,,,0.6368848200925152,0.6570908605039716,0.5732764833895085,0.42000393771821304,0.5071846856809332
Mae Sot,TH6306,2014,0.20926621319479902,,,0.5409348120089615,0.46592371490504375,0.5129800152400528,0.4728547585271639,0.3331777174502173,0.3939612912281333
Phop Phra,TH6307,2014,0.23033575210811683,,,0.5267144045104971,0.3977340155961576,0.4876881885686093,0.5198245111521924,0.40970441218549336,0.42509317337755775
Umphang,TH6308,2014,0.2919789432760518,0.34178013840425664,0.5801101024306117,0.6402216713737449,0.5353968670606862,0.5275156516455906,0.474652427664729,0.3789139448154451,0.4317014674204363
Wang Chao,TH6309,2014,0.31184116591346506,,0.5002281596331605,0.6185212656556919,0.551782011425174,0.6605603201772284,0.5961680264714928,0.4518453193070195,0.5007704334392519
Mueang Loei,TH4201,2014,0.38346492819485556,,,,0.542816372869787,0.5673817241674975,0.4874213124611473,0.3785697834022973,0.46426401001828765
Na Duang,TH4202,2014,0.36478738339041994,0.643443306483879,,,0.559136108903727,0.5439164622861549,0.501730038707568,0.3901600962114966,0.4618881531235648
Chiang Khan,TH4203,2014,0.37085052666640494,,,,0.5562461415494647,0.5716284118745596,0.4595022628050311,0.3603713609159424,0.4552006544069112
Pak Chom,TH4204,2014,0.43797679359840996,,,,0.5249705526172002,0.518369546008858,0.47382892242505187,0.372341040800977,0.46465881797317465
Dan Sai,TH4205,2014,0.36281720044845234,,,,0.5826523125015263,0.5374772330082446,0.4755603608420977,0.3526864033783777,0.45086164740222906
Na Haeo,TH4206,2014,0.44339487160404983,,,,0.6059956456325187,0.5607419937152708,0.49386003331651496,0.35980738215293456,0.47114517176898124
Phu Ruea,TH4207,2014,0.40088056645858916,,,,0.5699035055870031,0.5658228679135174,0.48373408362767184,0.3611769261469805,0.4613966481242867
Tha Li,TH4208,2014,0.4351847829330893,,,,0.5649691489521231,0.6102023058518153,0.5141731748747336,0.37647585028830904,0.49385861723343943
Wang Saphung,TH4209,2014,0.39130362406022784,,,,0.5362643771482669,0.572852279326232,0.5168923119926901,0.40449354881450555,0.4788391619290981
Phu Kradueng,TH4210,2014,0.4071118686750919,0.4561176426808128,0.3930417892282698,,0.5567181687215966,0.5548835631883554,0.5076125982525107,0.36432980492190764,0.45707920325777146
Phu Luang,TH4211,2014,0.3513210010222108,,,,0.5343886414099117,0.5667586634666466,0.5171238006052773,0.3794268653878298,0.46496167518941
Pha Khao,TH4212,2014,0.39665627040752316,0.38711895147018105,0.39698100917740065,,0.5971754565493058,0.5990520761111863,0.5378429835181177,0.3790966029115399,0.47275355629381693
Erawan,TH4213,2014,0.3870219963918937,0.40337351756356027,0.4263380243993736,,0.5908656591520911,0.6022769383899439,0.5625985534095743,0.43088119723786344,0.4953510151313248
Nong Hin,TH4214,2014,0.3932035587468061,,,,0.537855411463504,0.5629794022947484,0.5031297210782717,0.3945193251462178,0.47108563493287003
Mueang Satun,TH9101,2014,3.3994113755673295E8,0.5569456634678968,0.5638277070208574,0.5419514690260124,0.5426725292707648,0.5327943395909103,0.5598235988956546,0.5191862150104299,3.880972875846627E7
Khuan Don,TH9102,2014,0.6289842177473529,0.590196333590254,0.5432056983698026,0.5445992308694877,0.6971280287927563,0.5124902072632987,0.5659866475118402,0.5493854572563951,0.559422481346298
Khuan Kalong,TH9103,2014,0.6543201935192987,0.6528199041696882,0.6310467111553489,0.6497190182696159,0.5298266801532964,0.6170545683399274,0.6147376771378965,0.594559607826417,0.620849359722001
Tha Phae,TH9104,2014,0.7237028600469886,0.6339654544621649,0.6271395881141457,0.6220668842986081,0.5189288031430315,0.6052055581333509,0.6363746036265578,0.594713611785547,0.6225237368546795
La-Ngu,TH9105,2014,0.5804347556675866,0.5714554303242658,0.521433703094489,0.5518779250376474,0.4886222752586727,0.5378891170595032,0.5872736377659371,0.5460784991048989,0.5469189229818465
Thung Wa,TH9106,2014,0.5969083524999501,0.5670238182679181,0.5771595947349412,0.6271194052195386,0.5156918337818053,0.5659714938598919,0.6071309006680193,0.5441957671253352,0.5652655927622867
Manang,TH9107,2014,0.6848644287875169,0.6574964224122054,0.641550227383061,0.6059429092560565,0.5370448287074651,0.6307652823936091,0.6213828075562118,0.5807141965648726,0.6245239431735587
Mueang Trang,TH9201,2014,0.6099016382115273,0.6281596287627667,0.608870166387262,,0.5230584507833663,0.5709235256309213,0.5268953881082257,0.523766311535863,0.5679269067468573
Kantang,TH9202,2014,0.6203849573773909,0.5931925635555629,0.7134927972260129,0.5699260280480697,0.5722180039765088,0.5934621248972891,,0.54087660936433,0.5844134987648505
Yan Ta Khao,TH9203,2014,0.6389240090504629,0.6085757071959831,0.6418528403728396,0.598575742982109,0.5422688988987991,0.608903381363872,0.588420623567606,0.5432434631128522,0.6013794942824522
Palian,TH9204,2014,0.6147481947437688,0.610057742233517,0.6185764242136175,0.6108064870456198,0.5666031892999348,0.5807159378943925,0.5518990124349565,0.5416531559371779,0.5882381833232502
Sikao,TH9205,2014,0.6759091437948164,0.6303059752409518,0.6305320023590586,0.6441963732670746,0.573468878502819,0.6075886453743697,0.5287607297798308,0.5620379837779697,0.5980193776701742
Huai Yot,TH9206,2014,0.622819601060753,0.6479549373081002,0.6817015297299855,0.6191984514883911,0.5766402608796898,0.6127560450683942,0.5791547773359828,0.5651605583194208,0.608863425129182
Wang Wiset,TH9207,2014,0.6716275096456533,0.6454940125803998,0.5781853113453539,0.6614053966605131,0.6263794296561624,0.6219450705201294,0.5815011047330829,0.5714579825932087,0.61497604190317
Na Yong,TH9208,2014,0.5716551049230681,0.5524703152540453,0.5341181359941618,,0.48987732379464777,0.5478092083510763,0.48160676060674124,0.5170664509034694,0.542906710782614
Ratsada,TH9209,2014,0.5929636521008265,0.6511221870550454,0.6631612804984099,0.6058743297935631,0.5976153598160113,0.593207909492273,0.6145472633771166,0.5517198684301085,0.59772173974745
Hat Samran,TH9210,2014,0.6095421130808214,0.6241778709293796,0.6627128726975636,0.5097133450226824,0.49739552162704076,0.6067683364543479,0.6504912162176939,0.5871492132274436,0.5979717885186239
Mueang Yala,TH9501,2014,0.40560846775322895,0.47834974890131593,0.5024942566297216,0.502042901366975,0.5974182280144815,0.4364199521399856,0.4835778874018834,0.5261504261403149,0.46474721241277506
Betong,TH9502,2014,0.6573586946427928,0.6149111171827253,0.6104519254611048,0.6507520956955833,0.6065387610090115,0.6215598636652082,0.5679869096704581,0.5567968938505359,0.6102635798762757
Bannang Sata,TH9503,2014,0.6545357326312835,0.6536432975317795,0.5840105888828643,0.6074214520331689,0.7133131237837887,0.6173246322472595,0.5929327229633343,0.633558667505484,0.631394911653652
Than To,TH9504,2014,0.5120750536834916,0.42659996579762277,0.4730988723951626,0.4512404404201363,0.3493026810707815,0.5117910759878669,0.46926589059292007,0.397288245496217,0.47852458053085295
Yaha,TH9505,2014,0.5477432969415644,0.6094829773809297,0.5695850347695169,,,0.5596034426166611,0.563133293226144,0.5604874426351883,0.5663653568694348
Raman,TH9506,2014,0.4262794036034177,0.473785472510266,0.4571859769278204,0.4991699235140161,0.5949228167992995,0.5139825331099864,0.43800583229865603,0.4785587056251073,0.47737075237810805
Kabang,TH9507,2014,0.6597717612677287,0.6402263805660041,0.5813716737189574,,,0.5571419114266944,0.5950464268315218,0.5739750353163456,0.6061718564793468
Krong Pinang,TH9508,2014,0.5432709437541134,0.6057422076551335,0.5892659039780166,0.602239219252491,0.659861249429578,0.6254988787748753,0.6252220192548485,0.6195681157334567,0.6017241359107022
Mueang Trat,TH2301,2014,0.5887075821194407,0.5355561638823346,0.6485409981237178,0.5843092883079808,0.5619299102324599,0.5648398705932258,0.5294136521726523,0.4866137696746483,0.546544234256133
Khlong Yai,TH2302,2014,0.45376210603232403,0.48700239113196025,,0.4379073573981259,0.42870647656348876,0.44169698644088007,0.43387691510797055,0.4282396785406436,0.4398042174154517
Khao Saming,TH2303,2014,0.6345109005155379,0.6118738770293818,0.6087476175451457,0.5527441536753563,0.5800812789069321,0.5592421764538601,0.5595854786546122,0.5017473432882105,0.5644242392243728
Bo Rai,TH2304,2014,0.6428106118922823,0.6818660299026358,0.6605432895511995,0.5499829187278105,0.5899230239159413,0.5627331922904674,0.5591138225596067,0.517807113993373,0.5719195621096483
Laem Ngop,TH2305,2014,0.57126040813121,0.5834576088327244,0.5863174180614291,0.5851402992462228,0.5878676299006035,0.5597595084395532,0.5338240791877704,0.5197608440899372,0.5590214053153325
Ko Kut,TH2306,2014,0.6536360248804832,7.239221310378974,,0.6065545189288688,0.6247519224738645,0.620944123609712,0.6073558163349185,0.5631737411852289,1.716531871423891
Ko Chang,TH2307,2014,0.4827135969930456,0.32273813534113766,,0.6115652516092739,0.5344684872030427,0.6063819404606884,0.5502125151571814,0.5160124056647204,0.5166037486152869
Mueang Phrae,TH5401,2014,0.37554340744164455,0.3709494805093773,0.4305407421368623,0.4702814424074054,0.5556299499744041,0.5308959532862491,0.4397039371107776,0.2853741546842927,0.4239333630941061
Rong Kwang,TH5402,2014,0.35310192959469716,0.3990839510060617,0.3805434106896636,0.5065814519307967,0.5953571594139875,0.5023427844637977,0.42840789300236853,0.3343874242522362,0.40672101742765604
Long,TH5403,2014,0.4172246858232909,0.5156890456158425,0.48971222458867664,0.5598331419583078,0.5345974116684482,0.607724497904483,0.5045364750213982,0.3641709592115698,0.47794599660168474
Sung Men,TH5404,2014,0.30968350578513937,0.29023095263480925,0.39919980740845246,0.4147387142824385,0.5465194673322289,0.5790668724207534,0.4089727477435282,0.28117107263911084,0.39180656445349415
