admin2Name,admin2Pcod,Year,GCI,GCI_1,GCI_2,GCI_3,GCI_4,GCI_5,GCI_6,GCI_7,GCI_p75
Mueang Tak,TH6301,2017,2.9704441811762443,3.6921924431559736,3.97570341002341,4.7489561352127945,4.959518754012844,5.186725305332171,4.4701269723547385,3.734744623584891,4.193383979120984
Ban Tak,TH6302,2017,3.1660930375228937,3.717958674415852,3.6537799284455885,4.027629483563063,4.448031261117631,5.529561437623165,4.535896709808064,3.748159040575627,4.170519969618935
Sam Ngao,TH6303,2017,3.4996095045903215,3.984195262847403,4.472239735452016,4.508783088606921,4.467238858498253,5.307088659943256,4.581668238901924,3.720031573833647,4.322118679138721
Mae Ramat,TH6304,2017,1.546364295308793,2.9547098236256795,,5.445296983353304,4.091627616025322,4.107065107345972,4.535497741619823,3.455338616281224,3.813547745422102
Tha Song Yang,TH6305,2017,1.8371977224326244,,,3.6595546504261924,4.890696953134362,5.182955567770428,5.024907013568671,4.573330896929131,4.3365192335822975
Mae Sot,TH6306,2017,2.2013323251591173,3.314773297358968,,5.0782486623333165,3.7896420142654925,4.135598552306739,4.151039415690595,3.039834233858846,3.5724705125980916
Phop Phra,TH6307,2017,2.697568611013515,2.7484775242907316,,4.326526087745416,3.4528209388027,4.10899416124584,4.797357496433714,3.846155511216219,3.8182701996491697
Umphang,TH6308,2017,2.653836331301211,2.623594374180257,,5.666410660096703,5.045657653563481,4.276742770454659,4.461296869241933,3.4250304903473476,4.081037397207652
Wang Chao,TH6309,2017,3.0923445883103606,3.5840035718020826,4.8910088418185875,5.12415996947043,4.802835863433969,4.986233517816196,4.472724955989133,3.9793881315245008,4.280231779928843
Mueang Loei,TH4201,2017,2.8579441441294122,3.456805418173554,,4.403444951450312,4.312909980801503,4.7055910763458355,4.603787407227737,4.031106240472767,3.9499857188657033
Na Duang,TH4202,2017,2.6023081840029576,3.5911969211630965,,4.014938062353676,4.819319614716244,3.9785005284783312,4.890378362891021,4.125999349244819,3.9791743704123004
Chiang Khan,TH4203,2017,2.6605351644072486,3.047943771622257,,3.754538922015273,4.809870042869687,4.789928714983977,4.845960424956663,3.766879927590187,4.039330637031502
Pak Chom,TH4204,2017,3.1192715080302813,3.3861262233987763,,3.166039484464572,4.752235518761005,4.636114425878407,5.189625642823281,4.148815538542858,4.184354623761204
Dan Sai,TH4205,2017,2.6676394181761087,2.9579681493161796,,4.912946704084854,4.434003251577547,4.125864193232772,4.602992257502102,4.191377660729327,3.9629778729149385
Na Haeo,TH4206,2017,2.8176344464456697,3.612674713931183,,4.964089064037873,4.55580682071087,5.099705600189561,5.457677988372797,4.832145919000849,4.515362079019758
Phu Ruea,TH4207,2017,2.796710508084304,3.8434751934091236,,4.501234608350196,4.03198427572742,4.420685832328128,4.693619290098529,4.2527355462737315,4.047662955744223
Tha Li,TH4208,2017,2.753453544215732,3.368818213014553,,4.023490498604751,4.250184689623829,4.971861904409758,4.747338244995178,3.973285431333136,3.992217393003651
Wang Saphung,TH4209,2017,2.6240716271169235,3.4567660168222076,,4.124226010825599,3.942968259202653,4.062100362862004,4.545312604385183,3.9060576611394513,3.700842095676808
Phu Kradueng,TH4210,2017,2.915934967492855,3.119467625435845,,4.413480455729607,4.083991666893657,4.657966450811907,4.373698417715174,3.62296303428983,3.8582069583652903
Phu Luang,TH4211,2017,2.7326806806052377,3.3314619232534493,,3.6575766445933047,4.055680074351918,4.075374891340105,4.623948325386513,3.782514630905911,3.709668767981595
Pha Khao,TH4212,2017,2.4342698322568914,2.9362415341727734,,4.240881876899795,4.297359170190229,4.109334511447257,4.605624999689327,3.677532992222631,3.7343717371633156
Erawan,TH4213,2017,2.530974696102095,3.66617265638722,3.209492588688573,5.39232933638315,4.111724107449759,4.21678301649414,4.989780313990635,4.133493048710085,3.9981692300180027
Nong Hin,TH4214,2017,2.5168088498051233,3.1451341175681082,,3.330660365424649,3.552905002716495,3.495096997641972,4.4681424379420465,3.748141711466745,3.490859288406577
Mueang Satun,TH9101,2017,4.9014747809950885,5.601075213672867,4.2792576839215775,3.2428677269893313,4.047446893899581,4.333018643219374,4.690304024530038,3.8079253654471,4.526995005935339
Khuan Don,TH9102,2017,,5.675800711886974,4.1080173931627995,3.341878628020841,3.4014641117291706,4.211129962801973,4.272022635750201,4.860469104566887,4.510972499175299
Khuan Kalong,TH9103,2017,6.0343905628826935,7.463521135018495,5.253666774497086,4.154576082561404,3.7875247097017253,5.968926458409459,5.7086289550360325,5.921623339509678,5.627039272026494
Tha Phae,TH9104,2017,4.888867724663398,6.831544521403444,5.823600622163688,4.453211283769211,3.2304505246639366,5.545632083024089,5.267663760705685,6.322930490846932,5.349889086065097
La-Ngu,TH9105,2017,4.338771126655861,6.056935830667616,4.61773661785466,4.524140091824792,3.261931590938228,4.777875387612835,5.9036631720235615,5.608848764438925,4.916307501775446
Thung Wa,TH9106,2017,4.978444952999487,5.735630785080644,4.0624412040642675,4.748249365280812,1.5575225367413106,5.100135111522033,5.600606990580293,6.014873027131986,4.631099331802336
Manang,TH9107,2017,7.10976084077838,7.56675090645864,5.690456614472773,4.517626123056013,3.926670233326964,6.880624225612103,7.1254830072804,7.445638381853538,6.4166580103187965
Mueang Trang,TH9201,2017,4.818282789898527,5.455901931535819,4.39633623508905,5.036062962822883,3.497139183687566,5.057878452152144,5.769528534410295,4.95512549237582,4.773911376524359
Kantang,TH9202,2017,4.963978152131157,5.1936978118109325,5.8691930071618295,5.179814223718831,2.5719939824891003,5.1091921233889535,5.936831896330097,5.904186783512849,4.988645483248079
Yan Ta Khao,TH9203,2017,5.708167999876717,6.891216857332212,5.319841678956771,5.065712809597221,1.8950483094271164,5.702369399544622,6.517170351476561,5.930587188100814,5.185346856355917
Palian,TH9204,2017,5.371717850242356,6.334185682918381,5.535294228405815,5.372334407208802,3.262015585603276,5.759963914164836,5.842414488886816,5.923663517784679,5.319713799397051
Sikao,TH9205,2017,5.115627352868708,6.294067207519861,5.984154217969828,3.9751598174325613,4.35024314155869,5.036942042971572,6.206772071121051,6.513350037065695,5.6753095574764485
Huai Yot,TH9206,2017,4.483039102140533,6.017346761973157,5.457693526064862,5.784026710545857,4.748404643550419,6.019127981004499,6.35514784739028,5.972586090153747,5.595907509037308
Wang Wiset,TH9207,2017,5.7655670067662745,6.155372475712436,4.939898678960918,4.454964541229952,4.345825211105857,5.6060802254380695,5.885835485656889,6.496683555558296,5.5907839001593045
Na Yong,TH9208,2017,5.53304524603477,5.565205015876266,4.371335671143351,4.794693092328767,3.3757527437757555,5.473663780399669,5.352856410645194,6.661735890332412,5.241252342383552
Ratsada,TH9209,2017,5.333759775094728,6.0845574804109255,5.276000219055593,5.853404188600233,6.57060375152627,6.126483464466645,6.208884109394398,5.943585046048602,5.9741994915832874
