admin2Name,admin2Pcod,Year,LAI,LAI_1,LAI_2,LAI_3,LAI_4,LAI_5,LAI_6,LAI_7,LAI_p75
Mueang Tak,TH6301,2017,1.396922717328077,1.68254999177287,1.692830691770155,1.8865171210267222,1.9560453501049058,1.9739353059760303,1.7903209427795492,1.3544527508861466,1.7043445186252408
Ban Tak,TH6302,2017,1.5572784474951435,1.8373113550662208,1.487575969190188,1.6385620179051397,1.7744441635981887,1.999681661792822,1.8258763873623698,1.400420608507361,1.706676465505947
Sam Ngao,TH6303,2017,1.677064247288934,1.8682836841143207,1.8225337682161744,1.8107611527121807,1.8027566534274475,1.792824317530665,1.5779324793260472,1.433451830345263,1.7134309161039964
Mae Ramat,TH6304,2017,0.8423357236065657,1.664894759085582,,2.261649085554674,1.7774634326816103,1.9226074190107474,1.634966803075812,1.139847063950948,1.501829085903415
Tha Song Yang,TH6305,2017,1.1164839800935291,,,1.7090472098408216,2.1560168504461914,2.200632149775868,1.861473725098356,1.5415255843283433,1.757741817276265
Mae Sot,TH6306,2017,0.9377347870195059,1.5509304958886092,,1.8547368087257068,1.777480968573005,1.8606807670612218,1.6117500819246278,1.1214521567234004,1.4671588407086775
Phop Phra,TH6307,2017,1.0629031827978341,1.1501441234916732,,1.6778597099078003,1.593311478618322,1.6967748514771275,1.7108149375684405,1.3270565002287629,1.4726202856605022
Umphang,TH6308,2017,1.2643738081686613,1.717203909008023,,2.129407564272683,1.9976533051242316,1.7667367658265654,1.6381974361645841,1.2140695925178464,1.6561497342583191
Wang Chao,TH6309,2017,1.4526119769128056,1.6360020457411066,1.5878977902525482,2.0155699211055884,1.926644345936632,1.924077602782686,1.7677390208709307,1.4966648981435262,1.7393172004530535
Mueang Loei,TH4201,2017,1.299295235715654,1.6622814183651846,,1.8378701310020962,1.7829057734552738,1.9293517324813825,1.4630362898946643,1.2803928016258133,1.5350860128751727
Na Duang,TH4202,2017,1.193347592018364,1.5694562000752745,,1.9150645013510461,1.8633378066117774,2.3247522792434068,1.6275658107566404,1.3470844159606725,1.638956276563446
Chiang Khan,TH4203,2017,1.2692671573191556,1.5237142354704238,,1.7497405921806006,1.8393460423166532,1.9218880671627347,1.634892700255252,1.2117337260611445,1.5625458845539733
Pak Chom,TH4204,2017,2.2041342951896015,1.6014072119405598,,1.8643668607162296,1.7875367936232192,2.01028762572797,1.6094202593101028,1.1877098724302184,1.7334007133510767
Dan Sai,TH4205,2017,1.3437713972102736,1.4593892060926963,,2.143963353009997,1.8676325394369853,1.8138431547856706,1.496899271508016,1.2752452085025676,1.5504950384906855
Na Haeo,TH4206,2017,1.3939536768022065,1.7385652686849566,,2.1495635802519377,1.9981890939417086,1.914516089788258,1.751362556218193,1.4205457031037472,1.6820049751704753
Phu Ruea,TH4207,2017,1.4092682794811426,1.7266223808028014,,2.045048586470595,1.8304787322666705,1.8439084020807057,1.4873815615433352,1.2654313186551445,1.5498531773097046
Tha Li,TH4208,2017,1.3551588212368932,1.657916738629465,,2.0094471901262687,1.7766599737149305,2.0226712739937014,1.6104938508158742,1.2285787914396546,1.5832586090440717
Wang Saphung,TH4209,2017,1.2128466088603893,1.5201170535414703,,1.849162652795049,1.7218922028656038,1.9239640830765818,1.5119023755680197,1.3840252015489785,1.4906157518339143
Phu Kradueng,TH4210,2017,1.3952330386392806,1.604114646979742,,1.853936732314278,1.8354467269049468,2.1388494276803973,1.5538355985191459,1.2597072611150484,1.6063870141732703
Phu Luang,TH4211,2017,1.2422944624180794,1.5157281579038973,,1.827760484701285,1.7220657251855365,1.9954812128346657,1.5171761626998144,1.360784956108877,1.4946554568868382
Pha Khao,TH4212,2017,1.2002544960294828,1.5091192704294798,,1.8995762011312098,1.9239815941105034,2.6697319732282008,1.7220411029499272,1.3696626463648784,1.7092112334705405
Erawan,TH4213,2017,1.1493806616107831,1.5393385400380446,1.8930235276018623,2.118075186542918,1.9526385636658048,2.317283806729992,1.695226798765735,1.5546965399506898,1.6790373001354744
Nong Hin,TH4214,2017,1.2305457426825037,1.5877508304940562,,1.9080226214538853,1.8341431789654226,1.9397050797767532,1.5108548115617,1.3580693632163012,1.4732267357212847
Mueang Satun,TH9101,2017,1.816975136083569,2.068139929424295,1.840136483334866,1.8387792445527997,1.7676346243558643,1.8378845781930504,1.9680081389029322,1.6699740294109793,1.899955228260475
Khuan Don,TH9102,2017,,2.0634338852741823,1.7671288235102673,1.7197930312281353,1.6803481190450713,1.78087040871002,1.8550861298912906,1.8288175374536684,1.859542035932882
Khuan Kalong,TH9103,2017,2.26138638862495,2.40031136305358,2.0764109317906234,1.9599156286475008,2.0131535260160898,2.2463107299125036,2.1402194342711156,1.9377318924125166,2.1420730270591872
Tha Phae,TH9104,2017,2.0459208860488505,2.3084471341622432,2.152202037755595,2.099114119542135,1.7574825712514714,2.152064493490541,2.091925006663651,1.9410251788974038,2.0757768359205615
La-Ngu,TH9105,2017,1.8846819218358137,2.0657638952597206,2.2103048153833633,2.0907323390328862,1.541872859830102,1.9264028628957115,1.8443720590489825,1.792946046333166,1.8548177185012726
Thung Wa,TH9106,2017,1.9850100522072789,2.09860798570652,2.3281709985376993,2.032555845749503,0.4978409422638231,1.935733749363583,1.9141171665559695,1.7995115956552674,1.7359571180917022
Manang,TH9107,2017,2.280467603743127,2.421937960423568,2.651582165236343,2.3184047346981296,2.3439207160640105,2.423915989255141,2.452809657648309,2.0116029321892173,2.3803305471146734
Mueang Trang,TH9201,2017,1.971291363123497,2.339126777277711,1.9339311755147335,1.9293056476746466,1.8426518497179711,1.903891068978555,1.8385198714661362,1.5855705587261266,1.9295491760545211
Kantang,TH9202,2017,2.0543405328923,2.672756966768294,2.00528508239636,2.1522853455165767,1.72597303564206,1.9887173364378887,1.926471801772243,1.8715310168835142,2.04929745778517
Yan Ta Khao,TH9203,2017,2.199208980114994,2.2969367794041893,1.953004099845968,2.012447817830141,1.6377166487538328,2.010086590892372,1.9016017132080067,1.8673619913700705,1.9730813862431862
Palian,TH9204,2017,2.061673546365071,2.4383137765544505,1.9842316542849916,2.0422071324536173,1.6321533488724331,2.0063565927996883,1.860867262966111,1.8404551162422982,1.9722093360274955
Sikao,TH9205,2017,2.091693815702906,2.436244940995815,1.9594607594883988,1.9274833526940933,1.9893842284729217,1.9362569419947866,1.9048063764962881,1.8851778227282676,2.0486863152193955
Huai Yot,TH9206,2017,1.9182771970053485,2.171800227290988,2.0487310400418846,2.169577529197315,2.100156597806315,2.1217028191602965,1.8424452299258052,1.8274133260073722,2.031569091265234
Wang Wiset,TH9207,2017,2.2856581648646315,2.3051911606948403,2.0177880158417625,2.1098192958191713,1.9391094961979156,2.040738913198449,1.9405963693074633,1.904315126767292,2.0450197027454533
Na Yong,TH9208,2017,2.0651378687702633,2.2868150463250827,1.8470059540517156,1.8030461721771152,1.7748313519722432,1.9999729012968495,1.6243409461221339,1.8243575728917902,1.9688748234337083
Ratsada,TH9209,2017,1.7327022502795326,2.2790024519753014,2.0642991409356286,2.131225042570872,2.120558768063024,2.118315348747468,1.8103150568034403,1.8111010567300823,2.0579694934772155
Hat Samran,TH9210,2017,2.003424509461753,2.273143979785151,2.077660211151812,2.1643938496592794,1.0079915512849613,1.7948525768455221,1.8529988655391525,1.941887507136725,1.9033552846806039
Mueang Yala,TH9501,2017,1.7074683734185832,1.6402400003350086,1.5780718069159378,1.5763485927723224,1.6381626931788449,1.7862125676445935,1.4736810213542049,1.0774309640744626,1.6021948643789248
Betong,TH9502,2017,1.8138794897218502,1.9214209955086161,1.8181450781162771,1.9075287835324184,1.809941957434071,1.8696468284029562,1.7360019752619589,1.7497465211823875,1.836978238252097
