admin2Name,admin2Pcod,Year,NDVI,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDWI,NDWI_1,NDWI_2,NDWI_3,NDWI_4,NDWI_5,NDWI_6,NDWI_7,NDVI_p75,NDWI_p75
Mueang Tak,TH6301,2013,0.49421797812966534,0.6352657374538162,0.6297848375063331,0.7052780796932571,0.7016944769643187,0.7836039233951453,0.7609515279893251,0.6426944883256221,0.23660321947541166,0.46305352344272943,0.4214288212823053,0.5701765397870956,0.5902300485813196,0.6088955394895326,0.5505012955256818,0.4144758192309281,0.6714512506985126,0.46714772947599414
Ban Tak,TH6302,2013,0.4975627047287487,0.6802443270967673,0.6633393051044901,0.6955651998782488,0.7650067781553825,0.7905571363138724,0.749132447821932,0.6427066165590968,0.2550329831774474,0.5195787679975014,0.4465678963292815,0.5161690178067491,0.629693322292886,0.6300090711784341,0.5704679912137897,0.455201150239276,0.6875749254728051,0.5052421159614905
Sam Ngao,TH6303,2013,0.4725239799906864,0.7275717253060542,0.5930226607798231,0.7128713256064705,0.7384669470549218,0.7411230670441065,0.6870353846863306,0.6354970332078778,0.23767025349105828,0.4916519638438988,0.36878489494736155,0.5031791077045302,0.5825996959730574,0.5646975439942326,0.4915177920335022,0.4153235294880836,0.6537236444373868,0.4568337382965068
Mae Ramat,TH6304,2013,0.34830676592876897,,,,0.7586976640076439,0.6898934858680567,0.6617591234597539,0.552104316592603,0.00584628211819877,,,,0.5832854703742645,0.45631658118653345,0.46003021414151846,0.29811677533226405,0.5970240488615823,0.3529859654431923
Tha Song Yang,TH6305,2013,0.438912458318591,,0.534476637840271,,0.7925485382561016,0.7837783674217549,0.7376114385724941,0.6671096583091835,0.10620508031573545,,0.4839608371257782,,0.623435077349605,0.5964283163487062,0.5374132218550436,0.42829183640270246,0.6819326821936388,0.4553707583049423
Mae Sot,TH6306,2013,0.34693944300604795,,,,0.7123588794572157,0.6791642071395771,0.6603531068272703,0.5365230319498587,-0.003917199054949166,,,,0.5357785934955944,0.4486161809761705,0.46351505864677833,0.3014624582673449,0.5788548317831441,0.3373634564773
Phop Phra,TH6307,2013,0.42856544609084696,,,0.7930038802085384,0.6490176774677212,0.6909679805058807,0.6955681267746735,0.6565016944042108,0.10336864241717109,,,0.5466362007202641,0.44074527488471044,0.46121925357030097,0.4787021565863375,0.4301084498356476,0.6236546720193945,0.38145360944690576
Umphang,TH6308,2013,0.4676804543236942,0.6578611167325003,,,0.7706644194954494,0.7165524157355848,0.680273701950266,0.5821260166650584,0.11349899893278943,0.4791039122510978,,,0.6096993435416065,0.49876457990823264,0.43692800791486197,0.33462659394653976,0.6295539664911943,0.37551922008908095
Wang Chao,TH6309,2013,0.5274269703648936,0.6424999788821552,0.6732960312096438,0.7333808283515356,0.7033897046669316,0.7619973722501336,0.7391129581315432,0.6518963594057995,0.2404838427868693,0.456131473318771,0.4698763032831875,0.5534068021518616,0.5728070316332977,0.5573388874206259,0.49316120647431744,0.38965439985709266,0.6725369504537122,0.4335645458943643
Mueang Loei,TH4201,2013,0.5358955550675761,0.5857446269558988,,0.6978287183314635,0.7995615918920865,0.7658125272983125,0.6179330507283635,0.6402197034729183,0.2899182538552016,0.3721732038902546,,0.6076426824856508,0.6149628019558925,0.5880734906954374,0.47110210405979597,0.418755483623343,0.6393621219915581,0.441575071946044
Na Duang,TH4202,2013,0.4523827709305492,0.5630188612461325,,0.7367194921341913,0.7712589855545663,0.7478401135282525,0.7243793732670202,0.6714736384911638,0.15472780892580673,0.3398499891220689,,0.5748348263229824,0.6131036408814237,0.5633824292464625,0.525925928543966,0.4538017987350407,0.6333432560511527,0.4116260121064455
Chiang Khan,TH4203,2013,0.5640380590044266,0.5975188036668894,,0.6800824504557058,0.773948548424188,0.7736500598863095,0.5688284823758798,0.6162576181832068,0.31816675311793924,0.40305557154967003,,0.5189837171099799,0.6037675673462433,0.598330602049423,0.4578008406862457,0.3981524619369461,0.6392602945200916,0.438728208686646
