admin2Name,admin2Pcod,Year,Tot_Prec,Tot_Prec_1,Tot_Prec_2,Tot_Prec_3,Tot_Prec_4,Tot_Prec_5,Tot_Prec_6,Tot_Prec_7,Total_Precipitation
Mueang Tak,TH6301,2014,161.69252935639085,173.2177565735018,112.50148749456424,119.52527523012523,226.74057652220662,120.95603731292765,52.799023048411215,3.093855285087629,970.5265408232153
Ban Tak,TH6302,2014,141.94799216305793,148.47770758223425,92.77449728699567,105.8044430320454,203.90483079483215,134.18423537984376,58.67549350005596,2.2192288739958976,887.9884286130612
Sam Ngao,TH6303,2014,163.22143244096057,106.34247108336488,80.23298711420723,113.27261255607345,213.036995701121,131.10935364697315,48.02209081692933,3.272766472527344,858.5107098321571
Mae Ramat,TH6304,2014,122.12651928990496,273.0881862420662,225.90374664605832,232.2294297681135,208.96219503517244,189.86812057752235,58.25711677728915,2.6793158790160554,1313.1146302151428
Tha Song Yang,TH6305,2014,147.73506784439087,273.24001121520996,187.99614906311035,281.12451696395874,237.62587642669678,99.80724668502808,148.20547676086426,3.5411229133605957,1379.2754678726196
Mae Sot,TH6306,2014,110.72159433824167,221.00556002576704,287.10266935233824,241.36582401843125,221.40899518149024,129.65798073739109,87.76185091596375,0.6362828727839938,1299.6607574424072
Phop Phra,TH6307,2014,122.07896094930967,178.02425233654924,315.51088079855555,219.9291424559126,273.3648779154066,108.09093062804183,66.67145941187235,2.5007743805677958,1286.1712788762156
Umphang,TH6308,2014,156.87997063306662,170.28242674790897,362.72182777844944,256.9777632199801,272.48497356818274,189.78645066848168,49.61311868154086,3.6721830606460575,1462.4187143582565
Wang Chao,TH6309,2014,131.8231568279608,127.81788430595495,151.09753474065846,125.94883019774856,232.13265624423147,140.45159955337556,56.035420939178174,3.4087301841076045,968.7158129932156
Mueang Loei,TH4201,2014,168.37354981515708,174.59504656227094,192.0709834160185,254.8257544881435,294.1471162394667,84.21905859014804,30.452769429322633,3.396793455658988,1202.0810719961867
Na Duang,TH4202,2014,165.89029946733763,201.52432945560167,216.48683528472927,300.09683661447093,335.41780441964977,61.095402441961916,45.98820386249895,3.305725460279883,1329.8054370065302
Chiang Khan,TH4203,2014,193.7865273950216,182.36607254923925,240.38088697937985,273.7732956180337,351.89473408681795,83.6600771385868,30.33978817850834,0.0,1356.2013819455876
Pak Chom,TH4204,2014,,,,,,,,,
Dan Sai,TH4205,2014,203.5202645149337,151.03281187085702,104.99652861414027,233.12450605873263,313.16441922178996,84.03649140197558,81.01166747832697,2.7165646766778946,1173.603253837434
Na Haeo,TH4206,2014,,,,,,,,,
