admin2Name,admin2Pcod,Year,SM,SM_1,SM_2,SM_3,SM_4,SM_5,SM_6,SM_7,F_SM
Mueang Tak,TH6301,2013,26.815140621695924,53.981962359906966,97.76756185240009,151.25324592937199,192.9841192641151,192.9841192641151,152.81319517868477,109.17367308098966,122.22162719390992
Ban Tak,TH6302,2013,13.640941619585691,23.519924670433145,58.65254237288136,89.27807909604522,112.59807909604521,112.59807909604521,74.87389830508477,42.478794726930325,65.95504237288135
Sam Ngao,TH6303,2013,13.577230162641696,12.074667323804832,14.006801379990145,37.48447511089206,113.60418925579103,113.60418925579103,78.4096599310005,41.03095120749138,52.97402045342534
Mae Ramat,TH6304,2013,17.39117647058824,126.6373529411765,136.20650000000003,136.20650000000003,136.20650000000003,136.20650000000003,96.07570588235296,57.58961764705883,105.31498161764709
Tha Song Yang,TH6305,2013,73.64363636363636,195.76545454545456,336.40000000000003,341.80909090909097,341.80909090909097,341.80909090909097,305.24363636363637,258.3818181818182,274.3577272727273
Mae Sot,TH6306,2013,61.228003203416996,258.324225840897,285.64042979177793,285.64042979177793,285.64042979177793,285.64042979177793,243.08908168713296,194.4874799786439,237.46131373465036
Phop Phra,TH6307,2013,98.08361297539149,282.39097688292316,377.23603653989557,377.23603653989557,377.23603653989557,377.23603653989557,333.5177293064877,279.7688292319164,312.8381618195376
Umphang,TH6308,2013,119.89189765458421,281.87334754797445,393.18486140724946,400.6880597014926,400.6880597014926,400.6880597014926,356.70277185501067,301.4562899786781,331.8966684434968
Wang Chao,TH6309,2013,35.62614124073352,111.25938353492002,213.36753804135782,232.83991416309016,232.83991416309016,232.83991416309016,191.18033554428402,144.04237222005466,174.24943913382754
Mueang Loei,TH4201,2013,48.50880520951302,72.96002265005662,128.69527180067945,215.08615515288787,296.29954699886747,285.1673839184598,228.8231030577576,188.12250849377125,182.9578496602492
Na Duang,TH4202,2013,33.08767976989454,45.49271332694152,92.25977948226272,173.45896452540748,261.28408437200386,247.01299137104513,189.21006711409396,148.91160115052736,148.83973513902205
Chiang Khan,TH4203,2013,83.57425870219168,107.87039106145254,153.71216158143534,259.3529007305544,366.10300816501945,357.65685431886556,302.4243661366567,263.87292651482596,236.8208584013752
Pak Chom,TH4204,2013,103.2,135.9,207.0,328.65000000000003,374.70000000000005,361.1,305.20000000000005,266.35,260.2625
Dan Sai,TH4205,2013,72.3839633447881,121.74532264222988,213.69110347460864,329.4882016036656,346.91145475372286,329.67506681939676,275.7203512791142,227.1863306605575,239.60022432226046
Na Haeo,TH4206,2013,80.3315634218289,122.00530973451326,203.26873156342185,320.1280235988201,363.148377581121,343.9548672566372,291.1044247787611,245.46961651917408,246.17636430678468
Phu Ruea,TH4207,2013,57.29001751313485,89.15674255691768,165.06155866900176,277.2319614711034,312.8660245183888,297.39535901926445,242.7561295971979,196.31768826619967,204.75943520140106
Tha Li,TH4208,2013,82.55496183206108,130.98179682912505,228.67557251908394,330.17751027598354,347.53135642982977,332.43981209630067,278.41051086318265,236.28567234292427,245.88214914856138
Wang Saphung,TH4209,2013,33.34355795148249,52.26454627133873,118.33685534591197,205.35067385444748,267.5516442048518,253.2940521114106,195.432380952381,152.2179874213837,159.72396226415097
Phu Kradueng,TH4210,2013,26.58244026068067,26.075162925416365,69.85890658942795,145.07979724837074,256.36440984793626,244.83848660391024,184.81064446053583,139.86209268645908,136.68399257784213
Phu Luang,TH4211,2013,36.677260708619784,61.69106292966685,142.61644632469597,253.0962453728187,277.89032258064515,262.6113167636172,204.3567953463776,158.876784769963,174.72702934955052
Pha Khao,TH4212,2013,25.480387578799913,25.53733364464161,70.8163670324539,143.8548914312398,250.42764417464397,237.04176978753222,176.74326406724265,133.4603315433108,132.92024865748309
Erawan,TH4213,2013,28.486520467836257,36.703362573099426,86.40108187134504,161.65654970760235,255.74733918128655,241.10286549707604,182.3765204678363,140.85169590643278,141.66574195906438
Nong Hin,TH4214,2013,30.389019430637155,39.67858111161319,100.0032083145052,188.4745142340714,264.8159963849978,251.08788974243106,192.0051513782196,147.6625847266155,151.7646181653864
Mueang Satun,TH9101,2013,237.13561103810775,237.13561103810775,237.13561103810775,237.13561103810775,237.13561103810775,237.13561103810775,237.13561103810775,205.56544021024968,233.1893396846255
Khuan Don,TH9102,2013,228.26111111111112,228.26111111111112,228.26111111111112,228.26111111111112,228.26111111111112,228.26111111111112,228.26111111111112,198.58888888888887,224.55208333333331
Khuan Kalong,TH9103,2013,228.20916730328497,228.20916730328497,228.20916730328497,228.20916730328497,228.20916730328497,228.20916730328497,228.20916730328497,197.52482811306342,224.3736249045073
Tha Phae,TH9104,2013,230.90906768837806,230.90906768837806,230.90906768837806,230.90906768837806,230.90906768837806,230.90906768837806,230.90906768837806,199.5854406130268,226.9936143039591
La-Ngu,TH9105,2013,246.5512731481482,246.5512731481482,246.5512731481482,246.5512731481482,246.5512731481482,246.5512731481482,246.5512731481482,209.2753472222222,241.89178240740742
Thung Wa,TH9106,2013,,,,,,,,,
Manang,TH9107,2013,230.29552023121389,230.29552023121389,230.29552023121389,230.29552023121389,230.29552023121389,230.29552023121389,230.29552023121389,198.62962427745668,226.3372832369942
Mueang Trang,TH9201,2013,208.40370370370374,215.52078853046598,215.52078853046598,215.52078853046598,215.52078853046598,215.52078853046598,215.52078853046598,166.64492234169657,208.5216696535245
Kantang,TH9202,2013,212.20000000000002,225.9,225.9,225.9,225.9,225.9,225.9,176.5,218.01250000000002
Yan Ta Khao,TH9203,2013,209.89049316696375,212.60695187165777,212.60695187165777,212.60695187165777,212.60695187165777,212.60695187165777,212.60695187165777,171.66767676767682,207.1499851455734
Palian,TH9204,2013,229.71842696629213,229.71842696629213,229.71842696629213,229.71842696629213,229.71842696629213,229.71842696629213,229.71842696629213,191.3987865168539,224.92847191011234
Sikao,TH9205,2013,,,,,,,,,
Huai Yot,TH9206,2013,191.10000000000002,203.4,203.4,203.4,203.4,203.4,203.4,152.4,195.4875
Wang Wiset,TH9207,2013,,,,,,,,,
Na Yong,TH9208,2013,207.08832432432436,208.43027027027026,208.43027027027026,208.43027027027026,208.43027027027026,208.43027027027026,208.43027027027026,165.02518918918923,202.83689189189192
Ratsada,TH9209,2013,,,,,,,,,
Hat Samran,TH9210,2013,253.5,255.8,255.8,255.8,255.8,255.8,255.8,209.8,249.7625
Mueang Yala,TH9501,2013,220.95941422594146,218.49581589958163,203.2937238493724,221.12343096234312,213.04853556485358,221.75606694560673,221.75606694560673,221.75606694560673,217.77364016736402
Betong,TH9502,2013,,,,,,,,,
Bannang Sata,TH9503,2013,,,,,,,,,
Than To,TH9504,2013,,,,,,,,,
Yaha,TH9505,2013,,,,,,,,,
Raman,TH9506,2013,212.1188211654387,206.77414601473538,190.63382451440054,212.1188211654387,204.99450770261222,212.1188211654387,212.1188211654387,212.1188211654387,207.8745730073677
Kabang,TH9507,2013,,,,,,,,,
Krong Pinang,TH9508,2013,,,,,,,,,
Mueang Trat,TH2301,2013,189.6127877877878,318.2144644644644,318.2144644644644,318.2144644644644,318.2144644644644,318.2144644644644,305.00477977977977,228.90027527527525,289.3237706456456
Khlong Yai,TH2302,2013,,,,,,,,,
Khao Saming,TH2303,2013,192.7367751589974,318.27560793116356,318.27560793116356,318.27560793116356,318.27560793116356,318.27560793116356,298.7980733258512,224.3019266741489,288.40185185185186
Bo Rai,TH2304,2013,160.17075208913647,306.25988857938717,306.25988857938717,306.25988857938717,306.25988857938717,306.25988857938717,285.68254410399254,214.83454038997215,273.99840993500464
Laem Ngop,TH2305,2013,209.9,326.6,326.6,326.6,326.6,326.6,314.8,237.10000000000002,299.35
Ko Kut,TH2306,2013,,,,,,,,,
Ko Chang,TH2307,2013,,,,,,,,,
Mueang Phrae,TH5401,2013,30.325387596899226,32.003456072351426,119.63969638242898,216.9559754521964,217.84718992248062,194.9128875968992,150.12377260981913,117.70258397932818,134.9388687015504
Rong Kwang,TH5402,2013,40.1540265035678,40.829969418960246,124.88965341488277,257.3680428134557,267.2718144750255,245.40708460754334,199.7481141692151,165.52996941896026,167.64983435270133
Long,TH5403,2013,13.465576923076922,12.482243589743591,92.2623076923077,116.71166666666666,116.71166666666666,107.18891025641025,67.46955128205127,39.42410256410256,70.7145032051282
Sung Men,TH5404,2013,23.88388721047332,31.831268882175227,143.29154078549848,183.4659617321249,183.4659617321249,162.01419939577042,118.7088116817724,86.63937562940583,116.66262588116821
Den Chai,TH5405,2013,16.736,25.994000000000003,140.81533333333334,142.41533333333334,142.41533333333334,122.68266666666668,80.54466666666666,50.786,90.29866666666668
Song,TH5406,2013,29.115261044176716,28.6487091222031,121.81778542742398,209.20407343660358,209.20407343660358,190.3419965576592,146.8512908777969,115.32071141709694,131.3129876649455
Wang Chin,TH5407,2013,16.388717948717947,16.028717948717947,76.78892307692308,133.41015384615383,133.41015384615383,130.50164102564102,91.30389743589744,56.65220512820513,81.81055128205128
Nong Muang Khai,TH5408,2013,32.83294964028778,33.20014388489209,119.4456115107914,231.39251798561156,231.5634532374101,208.9038848920864,164.12791366906478,131.45985611510795,144.11579136690654
Mueang Nan,TH5501,2013,99.75578727841503,112.42148070907196,246.35787278415015,395.32575599582896,409.75505735140774,382.6680917622524,336.75839416058403,304.98029197080297,286.00284150156415
Mae Charim,TH5502,2013,,,,,,,,,
Ban Luang,TH5503,2013,81.45,80.15,204.35000000000002,346.85,378.45000000000005,358.90000000000003,315.40000000000003,283.20000000000005,256.09375
Na Noi,TH5504,2013,86.12679127725856,98.44797507788162,171.39283489096573,298.82928348909655,412.7557632398754,387.7672897196262,339.0526479750779,303.44984423676016,262.22780373831773
Pua,TH5505,2013,131.9826589595376,153.78323699421966,349.46300578034686,405.5687861271677,405.5687861271677,376.5601156069365,332.3739884393064,304.9722543352602,307.5341040462428
Tha Wang Pha,TH5506,2013,130.65,146.4,331.35,410.1,410.1,380.5,336.70000000000005,308.9,306.83750000000003
Wiang Sa,TH5507,2013,92.67349604675147,104.6747679614988,217.97961498796835,358.5349604675147,407.5418356823651,381.89099346854596,335.20402200068753,302.4952904778275,275.1243726366449
Thung Chang,TH5508,2013,,,,,,,,,
Chiang Klang,TH5509,2013,133.43178807947018,154.15430463576158,357.19139072847685,404.7119205298014,404.7119205298014,376.39403973509934,333.36556291390735,307.3854304635762,308.9182947019868
Na Muen,TH5510,2013,85.2,95.80000000000001,158.10000000000002,282.2,413.1,388.8,339.90000000000003,303.90000000000003,258.375
Santi Suk,TH5511,2013,133.9,157.60000000000002,329.8,416.3,416.3,387.20000000000005,341.20000000000005,310.5,311.6
Bo Kluea,TH5512,2013,149.70000000000002,164.70000000000002,314.0,393.1,393.1,372.20000000000005,325.90000000000003,299.90000000000003,301.57500000000005
Song Khwae,TH5513,2013,,,,,,,,,
Phu Phiang,TH5514,2013,106.81578947368422,124.00430622009569,261.1421052631579,411.9401913875598,414.8062200956938,388.2114832535885,341.84688995215316,310.0291866028708,294.84952153110044
Chaloem Phra Kiat,TH5515,2013,149.70000000000002,164.70000000000002,314.0,393.1,393.1,372.20000000000005,325.90000000000003,299.90000000000003,301.57500000000005
Mueang Phangnga,TH8201,2013,,,,,,,,,
Ko Yao,TH8202,2013,,,,,,,,,
Kapong,TH8203,2013,,,,,,,,,
Takua Thung,TH8204,2013,,,,,,,,,
Takua Pa,TH8205,2013,,,,,,,,,
Khura Buri,TH8206,2013,,,,,,,,,
Thap Put,TH8207,2013,,,,,,,,,
Thai Mueang,TH8208,2013,,,,,,,,,
Mueang Ranong,TH8501,2013,,,,,,,,,
La-Un,TH8502,2013,,,,,,,,,
Kapoe,TH8503,2013,,,,,,,,,
Kra Buri,TH8504,2013,,,,,,,,,
Suk Samran,TH8505,2013,,,,,,,,,
Mueang Chumphon,TH8601,2013,258.8,316.6,316.6,316.6,316.6,316.6,316.6,245.20000000000002,300.45
Tha Sae,TH8602,2013,,,,,,,,,
Pathio,TH8603,2013,,,,,,,,,
Lang Suan,TH8604,2013,,,,,,,,,
Lamae,TH8605,2013,,,,,,,,,
Phato,TH8606,2013,,,,,,,,,
Sawi,TH8607,2013,249.0,325.5,325.5,325.5,325.5,325.5,325.5,251.60000000000002,306.7
Thung Tako,TH8608,2013,249.0,325.5,325.5,325.5,325.5,325.5,325.5,251.60000000000002,306.7
Mueang Songkhla,TH9001,2013,167.89061662198392,157.09812332439677,130.03646112600535,166.16058981233243,138.7680965147453,225.83458445040213,225.83458445040213,225.83458445040213,179.68220509383374
Sathing Phra,TH9002,2013,167.38952772073924,150.4104722792608,125.88275154004108,133.91498973305954,104.1552361396304,213.4992813141684,213.4992813141684,205.96190965092404,164.339181211499
Chana,TH9003,2013,213.4986577181208,206.43489932885907,180.87499999999997,226.0760067114094,204.1236577181208,234.84194630872486,234.84194630872486,234.61375838926173,216.9132340604027
Na Thawi,TH9004,2013,,,,,,,,,
Thepha,TH9005,2013,229.88956289027658,224.16074933095453,202.58367528991974,243.6653880463872,223.62595896520963,243.6653880463872,243.6653880463872,243.6653880463872,231.86518733273866
Saba Yoi,TH9006,2013,247.13653846153852,240.51346153846157,218.39230769230767,248.1134615384616,230.6846153846154,248.1134615384616,248.1134615384616,248.1134615384616,241.14759615384617
Ranot,TH9007,2013,192.33721733668344,174.77270728643214,149.06611180904525,146.73806532663318,118.93935301507537,212.8832286432161,212.8832286432161,191.41922110552764,174.87989164572863
Krasae Sin,TH9008,2013,184.94430894308945,167.1997967479675,142.85650406504064,150.1310975609756,118.64430894308944,210.02073170731708,210.02073170731708,196.38333333333333,172.52510162601627
Rattaphum,TH9009,2013,205.08394750126203,200.4718828874306,180.23301362948007,211.3193841494195,190.1448258455326,215.83775870772337,215.83775870772337,205.81726400807673,203.09322942958102
Sadao,TH9010,2013,,,,,,,,,
Hat Yai,TH9011,2013,207.87811059907838,204.70691244239634,183.00506912442398,208.5467741935484,192.81405529953915,225.19055299539173,225.19055299539173,218.7163594470046,208.25604838709677
Na Mom,TH9012,2013,,,,,,,,,
Khuan Niang,TH9013,2013,180.56394611727418,166.92614896988908,141.29247226624406,168.8047543581617,141.04548335974644,218.49128367670366,218.49128367670366,212.6328050713154,181.03102218700477
Bang Klam,TH9014,2013,190.76659388646289,178.4665938864629,152.3665938864629,190.93755458515287,166.58253275109172,224.55283842794762,224.55283842794762,224.29104803493453,194.06457423580787
Singhanakhon,TH9015,2013,165.32081545064378,149.1332618025751,122.58948497854078,135.6824034334764,105.98369098712448,218.45836909871247,218.45836909871247,215.03218884120173,166.3323229613734
Khlong Hoi Khong,TH9016,2013,228.9,226.0,205.20000000000002,233.10000000000002,222.4,233.10000000000002,233.10000000000002,226.10000000000002,225.9875
Mueang Rayong,TH2101,2013,,,,,,,,,
Ban Chang,TH2102,2013,59.84062992125985,86.3140157480315,80.42062992125985,79.9688188976378,258.7103937007874,262.0937007874016,262.0937007874016,183.65606299212598,159.1372440944882
Klaeng,TH2103,2013,122.99811023622047,313.14582677165356,328.4914015748032,328.57908661417326,328.57908661417326,328.57908661417326,300.571937007874,225.9572283464567,284.61272047244097
Wang Chan,TH2104,2013,130.99688195991092,253.14031180400892,303.80022271714927,340.6926503340758,345.0930957683742,345.0930957683742,318.3850779510023,246.74376391982184,285.4931375278396
Ban Khai,TH2105,2013,114.29797101449276,186.4804347826087,205.68101449275363,240.1769565217391,324.5537681159421,324.5537681159421,304.24376811594203,231.41159420289856,241.42490942028985
Pluak Daeng,TH2106,2013,83.63092613009924,111.5704520396913,109.5883131201764,113.35341786108049,283.97695700110256,289.74112458654906,277.2975192943771,203.77772877618526,184.11705485115772
Khao Chamao,TH2107,2013,121.7613725490196,302.00539215686274,330.95705882352945,331.06686274509804,331.06686274509804,331.06686274509804,301.5687254901961,229.4042156862745,284.86216911764706
Nikhom Phatthana,TH2108,2013,75.50531147540985,110.97029508196725,108.50000000000001,113.79862295081969,278.27580327868856,278.3348196721312,271.6496393442624,196.21718032786887,179.15645901639348
Mueang Yasothon,TH3501,2013,40.152052322958966,38.49615095474366,182.01461434370776,216.0187490602917,306.1012629679748,297.2768305517967,225.14609833107804,166.82543978349125,184.00389978950525
Sai Mun,TH3502,2013,41.04671977507029,39.75656044985943,180.2575913776945,219.20871602624186,310.12938144329905,295.2610121836926,223.50599812558576,166.07769447047798,184.40545923149017
Kut Chum,TH3503,2013,44.9285428219347,43.99956869993838,194.44959950708568,239.0476740603821,317.21407886629703,298.08833949476286,226.44830560690085,169.8223505853358,191.74980745532966
Kham Khuean Kaeo,TH3504,2013,41.76752011704463,40.009144111192384,190.25876615459637,224.9745915630334,302.0376493538161,299.09978054133137,226.29648866130205,167.2787125091441,186.46533162643254
Pa Tio,TH3505,2013,44.67623180291152,43.273096304591256,198.16800111982087,236.7981522956327,307.0780515117581,296.56461366181406,223.31797312430004,166.0035274356103,189.48495590705488
Maha Chana Chai,TH3506,2013,41.27052052052052,39.49226726726726,191.32667667667667,227.2542792792793,301.49476976976985,301.3080830830831,229.3406156156156,169.166991991992,187.5817755255256
Kho Wang,TH3507,2013,43.520780711825495,41.686567164179124,199.44626865671646,240.37858783008042,303.0097014925374,303.0097014925374,231.37256027554537,170.8267508610793,191.65636481056262
Loeng Nok Tha,TH3508,2013,48.219958699019095,49.09021166752709,228.09169850283942,280.47734641197724,317.24525554981943,290.91233866804333,220.02060918946827,168.41622096024784,200.30920495611772
Thai Charoen,TH3509,2013,48.56448120300752,47.91966917293235,213.28369924812034,261.7021353383459,318.32914285714287,298.18541353383466,226.07684210526313,171.1197894736842,198.14764661654138
Mueang Lamphun,TH5101,2013,12.12593800978793,10.822675367047308,69.77025557368137,108.79842305600873,108.79842305600873,108.78346927678088,83.32142468733008,48.65889070146819,68.88493746601415
Mae Tha,TH5102,2013,11.600000000000001,10.4,47.800000000000004,104.7,104.7,104.7,77.9,41.6,62.925
Ban Hong,TH5103,2013,11.401651651651653,10.23798798798799,46.73108108108109,104.62432432432433,105.35180180180183,105.35180180180183,78.86606606606608,43.509459459459464,63.25927177177178
Li,TH5104,2013,12.06635346756152,10.73771812080537,25.467225950783,69.9821029082774,103.26178970917225,103.26178970917225,70.92747203579415,35.99570469798657,53.96251957494407
Thung Hua Chang,TH5105,2013,12.020570948782535,10.678169605373636,34.97774979009237,91.331905961377,103.29622166246851,103.29622166246851,71.14710327455919,35.74156171284635,57.81118807724601
Pa Sang,TH5106,2013,11.043328550932568,9.94332855093257,48.35609756097561,106.02912482065999,106.02912482065999,106.02912482065999,79.71836441893831,44.67446197991392,63.97786944045911
Ban Thi,TH5107,2013,14.884512683578105,13.255540720961282,101.57222963951934,128.3890520694259,128.3890520694259,127.7060080106809,101.85340453938582,67.94125500667556,85.4988818424566
Wiang Nong Long,TH5108,2013,11.321739130434782,10.206376811594202,49.8095652173913,106.34086956521739,106.34086956521739,106.34086956521739,79.7136231884058,44.79188405797102,64.35822463768116
Mueang Lampang,TH5201,2013,13.0243195785777,11.637284167398304,85.77354404448349,111.24047410008782,111.24047410008782,111.12352941176474,76.99841966637402,44.044395668715254,70.63530509218614
Mae Mo,TH5202,2013,12.90149597238205,11.502646720368238,92.10287686996548,111.0355581127733,111.0355581127733,103.95143843498275,65.29010356731877,37.41070195627158,68.15379746835444
