admin2Name,admin2Pcod,Year,T_MAX,T_MAX_1,T_MAX_2,T_MAX_3,T_MAX_4,T_MAX_5,T_MAX_6,T_MAX_7,F_T_Max,T_Min,T_Min_1,T_Min_2,T_Min_3,T_Min_4,T_Min_5,T_Min_6,T_Min_7,F_T_Min,T_Mean,T_Mean_1,T_Mean_2,T_Mean_3,T_Mean_4,T_Mean_5,T_Mean_6,T_Mean_7,F_T_Mean
Mueang Tak,TH6301,2012,33.02072069012594,30.05249681288389,29.252969357991375,28.57395760461702,30.069957720173143,30.007369223326954,31.142973193104496,30.59182264601749,30.33903340603004,25.143832909098574,24.633551701592207,24.02436808256431,23.69231344106489,23.65085148763401,22.79643940464621,22.826702101398443,21.020311610367607,23.473546342295776,28.59002369799979,26.8810248525157,26.27512712368005,25.782129732767764,26.321521427324694,26.244764281782086,26.871280407395457,25.85588338862679,26.60271936401154
Ban Tak,TH6302,2012,32.15861387128073,29.023187092163578,28.211753938755336,27.629358190777683,29.697808738503902,29.83906192706465,31.48532186340101,30.693751177607723,29.842357099944323,24.456567086466645,23.809289942481993,23.054506171800192,22.842487817523146,23.15773603651261,23.0504805641613,23.361144329670314,21.559922777999628,23.161516840826977,27.708696655452872,25.915480170609275,25.19066168223612,24.773656494072444,25.752787377855665,26.234623524847333,27.1927847276398,26.057670487819916,26.103295140066674
Sam Ngao,TH6303,2012,31.327579577215808,28.340829976399764,27.707226053873722,27.272695922851586,28.944184366862,28.664995829264345,29.88468933105471,28.870501273018995,28.876587791317615,23.61987957132276,23.123000590006534,22.480314636230492,22.244949340820334,22.50994364420575,22.116833496093772,22.100693257649763,19.709616960798012,22.238153937140925,26.896239458281446,25.21239975823298,24.639587338765484,24.31105225880943,24.964997651841927,25.057394112481024,25.580877431233752,24.204849333990204,25.10842466795453
Mae Ramat,TH6304,2012,29.179034758358405,25.83469934831588,25.151332251833217,24.903881600363235,27.50441166820863,28.488947451942867,30.145923994097814,29.797339792352,27.625696358184005,22.67183353043297,21.92930437697028,21.477793934604602,21.272136417857407,21.651691796018387,20.64095728609857,21.045233008669157,18.327414153364394,21.12704556300197,25.043104875798832,23.256780669006012,22.75864855952572,22.425759033069298,23.700793635942805,24.16801023775516,25.19994014253674,23.96446836202906,23.814688189457947
Tha Song Yang,TH6305,2012,28.76800295073413,25.317447408040387,24.82806396484377,24.721522013346377,27.346846008300805,28.414439392089868,29.247426859537782,28.241799926757835,27.110693565456366,22.18414748619345,21.67884216308596,21.22722066243492,21.064616902669293,21.25596059163414,20.359392801920595,20.36764068603518,17.255232892717657,20.6741317733364,24.493772234861893,22.841447067260756,22.376805220709926,22.131796073913588,23.281390338473877,23.81750967237686,24.389161936442097,22.77539899916878,23.263410192900974
Mae Sot,TH6306,2012,28.892596979851383,25.795920384094433,25.133950693369968,24.722876936166813,27.227264918327734,28.42508485892402,30.083579369747305,29.60510910067639,27.485797905144754,22.574515398924195,21.90000097942092,21.440637307315328,21.256587989083545,21.561555605861745,20.439088417122303,20.767712744630657,18.266418965057074,21.02581467592697,24.912300415400427,23.262371709123794,22.77876797618166,22.3931301591091,23.602536843089837,24.026761439489967,24.998340336462984,23.749458908837713,23.715458473461933
Phop Phra,TH6307,2012,27.290320842189555,24.75425382647023,24.139596443066672,23.526062912228486,25.729840560891187,26.4944627230195,27.301833966682725,26.62486119058922,25.7326540581422,20.834420235460374,20.444085624300225,19.97004185873889,19.82405108857431,19.99973524904802,18.83620908068517,18.94434339424662,16.89917920493142,19.469008216998127,23.242496102960935,22.025866384981256,21.547505191642227,21.089340115689705,22.049602843244433,22.16245794332806,22.568698172733725,21.39959971172667,22.010695808288375
Umphang,TH6308,2012,26.294028387112622,23.713705745088905,23.2895012410482,22.604501661217753,25.082470915421222,26.471277456974658,27.287880611696124,27.136962992982117,25.235041126442695,20.322475800521396,19.909797166465008,19.497717650040357,19.330704973746062,19.598274085003418,18.684895287112937,18.873640638710818,17.424124143612335,19.20520371815154,22.49666369684575,21.206654067845758,20.876991534210084,20.364073705442884,21.434022115440207,21.94729905096232,22.48686992774266,21.791768036678487,21.575542766896017
Wang Chao,TH6309,2012,32.61369580030355,29.77493592288818,28.945401824363064,28.385069676793382,29.762000953734244,29.874031299969563,31.166874962751585,30.765694620033866,30.160963132604675,24.635259153029093,24.363348497585456,23.791827526541823,23.512388981145957,23.31856106874521,22.297979653553845,22.4108643275172,20.72450217885615,23.13184142337184,28.153953236030635,26.67641804804272,26.069822630381967,25.58027630287952,26.07508944825223,26.006442870204317,26.643380846762838,25.71419811507451,26.364947687203593
Mueang Loei,TH4201,2012,31.264523066603697,29.893066702983187,29.283515000660202,28.71642365627638,29.140991100024713,28.828047589891057,29.891937272827402,27.691181311362957,29.338710712578703,23.891193330961247,24.053653905965298,23.558518352462016,23.12045242479253,22.81110264586991,22.023457950998676,21.77122938064565,19.132442837167222,22.54525635360782,27.02941575231284,26.58636621413661,26.047892929548272,25.431175107829215,25.507113509889066,25.266494331225385,25.728829285404654,23.37753703687789,25.62185302090299
Na Duang,TH4202,2012,31.063262859350402,29.714364259634472,29.089988123955447,28.54363761636158,28.963169549590944,28.608135067764234,29.64306575338642,27.48638673306531,29.1390012453886,23.7012423402921,23.922181155076697,23.4185822671919,23.00526592197706,22.611551624506887,21.736515367802127,21.506041038095685,18.87784753730305,22.347403406530688,26.841742278233408,26.44398532000745,25.883701889708686,25.29271021253042,25.334330269353337,25.03404252730794,25.50636259493348,23.184061948373657,25.440117130056045
Chiang Khan,TH4203,2012,31.254783236208816,29.946775796455277,29.323125406901063,28.76514336658503,29.194548184578903,29.017523998238214,30.181175642403964,27.7945497028093,29.434703166772564,23.925017256370424,24.13660367196069,23.405813132838226,23.02444121957525,22.758367916352594,22.08211166649537,21.701676007544112,18.847134087354643,22.485145619811416,27.082688526185134,26.681304504364824,26.03949249037063,25.399738963091846,25.57933076245048,25.43732605768694,25.941991426345236,23.32306278754597,25.68561693975513
Pak Chom,TH4204,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Sai,TH4205,2012,29.856586299316618,27.539644767565633,26.978408553015207,26.23433339325065,27.683071896060508,27.548556947812955,29.035251657115694,27.299228966921078,27.77188531013229,22.40464718996826,22.078275088355678,21.57182979374144,21.25954698835103,21.341545166462794,20.722385200248993,20.94647566016343,18.52030227349731,21.105625920098618,25.515756066628196,24.276857748159724,23.845662732013732,23.28065102159179,23.861160709162213,24.059386353638313,24.792507730188273,22.805446084709732,24.054678555761498
Na Haeo,TH4206,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
